Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Robert Thomas,Baringo Ward 8,"0.57215, 35.460676",2021-08-17,Organic,Irrigated,Yes,67,88,55,23,0,16,0,0,0,0,0,0,2992,2662,2794,560,736,720,0,0,0,0,0,0,249
F002,Ashley Hernandez,Baringo Ward 1,"1.84919, 37.803035",2020-10-30,Organic,Irrigated,Yes,0,11,10,29,12,0,16,16,29,0,0,0,442,441,541,180,108,84,927,750,1326,0,0,0,123
F003,Amber Smith,Baringo Ward 10,"-3.698578, 35.900601",2023-05-31,Organic,Irrigated,No,0,75,78,31,5,29,0,21,11,0,0,0,4494,3954,2394,1399,1026,1200,757,586,566,0,0,0,250
F004,David Long,Baringo Ward 5,"-2.786097, 39.993693",2022-12-25,Organic,Irrigated,Yes,22,6,0,1,0,18,17,0,0,0,0,0,78,60,54,792,702,738,0,0,0,0,0,0,64
F005,Kristina Hudson,Baringo Ward 8,"-2.816632, 36.452895",2023-09-11,Organic,Irrigated,Yes,0,27,20,1,11,11,61,63,45,0,0,0,1029,829,702,605,671,374,2511,1998,2214,0,0,0,239
F006,Alice Cook,Baringo Ward 9,"4.496579, 37.15772",2021-11-06,Conventional,Irrigated,No,27,0,45,0,33,3,31,0,29,14,0,0,2115,2250,1485,288,585,339,1450,870,986,0,0,0,182
F007,Joseph Rodriguez,Baringo Ward 11,"0.233162, 35.908777",2020-11-07,Conventional,Irrigated,No,14,17,26,11,0,43,4,26,48,0,21,4,709,1469,1080,1290,860,1634,2594,1866,2014,298,372,344,214
F008,Stephen Walsh,Baringo Ward 10,"-4.202435, 38.259824",2022-05-25,Conventional,Irrigated,Yes,0,22,12,13,7,0,8,0,3,0,0,0,644,350,626,70,35,91,141,60,150,0,0,0,65
F009,Dana Curry,Baringo Ward 6,"-1.645925, 37.16707",2023-11-06,Conventional,Rain-fed,Yes,53,56,3,0,27,39,2,1,29,0,0,0,462,414,408,1272,1374,2262,1460,1169,999,0,0,0,210
F010,Derrick Jones,Baringo Ward 6,"0.078546, 35.220841",2021-11-08,Conventional,Rain-fed,No,33,0,17,15,11,0,6,0,25,0,0,0,731,595,714,143,132,77,775,1150,575,0,0,0,107
F011,Brenda Roberts DVM,Baringo Ward 4,"2.890639, 39.443275",2024-06-13,Organic,Irrigated,Yes,37,45,13,9,0,9,0,23,47,0,18,0,1195,983,1007,297,207,450,2297,2132,2416,180,270,270,201
F012,Dustin Turner,Baringo Ward 8,"2.101612, 39.072457",2021-12-16,Organic,Irrigated,No,16,17,18,40,22,0,43,8,0,0,0,0,633,943,1070,220,220,110,40,104,104,0,0,0,164
F013,Kimberly Myers,Baringo Ward 11,"-3.654813, 34.293125",2024-02-21,Organic,Irrigated,No,45,0,64,20,12,0,0,36,5,0,0,5,1536,2944,3200,132,108,108,502,295,621,225,140,125,187
