Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Mr. Mike Walters,Bomet Ward 4,"-2.779873, 35.073818",2024-02-27,Conventional,Irrigated,No,16,42,36,16,11,8,13,0,4,0,0,5,2040,2178,1254,322,465,549,196,92,148,195,125,250,151
F002,Anthony Hamilton,Bomet Ward 12,"-3.647819, 37.467687",2020-11-30,Conventional,Rain-fed,Yes,5,81,55,20,3,0,16,0,44,0,0,0,3059,2564,2214,24,21,36,1100,1716,1980,0,0,0,224
F003,Alex Arellano,Bomet Ward 9,"3.349343, 36.319463",2020-11-05,Conventional,Rain-fed,Yes,0,60,51,8,35,30,0,0,0,0,10,0,2802,1380,2931,1665,1140,1750,0,0,0,140,80,90,194
F004,Christine Edwards,Bomet Ward 3,"0.604028, 38.901629",2021-10-14,Organic,Rain-fed,Yes,2,0,13,7,3,0,22,16,19,21,0,0,546,559,325,27,33,33,762,1019,1098,0,0,0,103
F005,Danielle Gonzalez,Bomet Ward 9,"0.840225, 37.347807",2020-07-01,Organic,Irrigated,Yes,86,0,60,21,33,0,0,21,9,0,0,12,1560,2340,2460,264,165,396,423,432,441,396,252,264,242
F006,Anthony Montgomery,Bomet Ward 11,"0.769757, 41.189603",2023-08-14,Organic,Irrigated,Yes,12,8,18,8,7,2,9,2,0,0,0,0,898,788,828,176,166,115,18,14,10,0,0,0,66
F007,Eric Dominguez II,Bomet Ward 8,"-0.028649, 37.84527",2024-06-24,Conventional,Rain-fed,No,6,3,49,2,10,10,22,62,19,0,21,16,1347,1650,1289,550,620,500,952,1742,1466,745,690,1014,220
F008,Jessica Barrett,Bomet Ward 11,"1.311674, 36.036438",2021-08-16,Organic,Rain-fed,Yes,29,16,17,0,0,16,22,38,14,0,0,0,743,469,759,368,496,560,952,776,1072,0,0,0,152
F009,Curtis Smith,Bomet Ward 11,"2.154519, 38.354202",2023-03-23,Organic,Rain-fed,No,8,33,0,17,9,14,23,0,0,0,0,0,363,495,165,499,631,515,0,0,0,0,0,0,104
F010,Tammy Bailey,Bomet Ward 11,"-2.34458, 41.182318",2022-12-26,Organic,Irrigated,No,49,23,14,0,0,5,1,4,12,0,17,0,730,828,630,225,230,225,588,600,324,238,85,238,125
F011,Robert Robinson,Bomet Ward 3,"4.454597, 39.150732",2022-06-11,Conventional,Irrigated,No,2,13,12,0,0,6,15,0,5,0,0,0,383,617,665,168,288,276,160,210,125,0,0,0,53
F012,Anna Valencia,Bomet Ward 11,"3.315367, 39.840543",2022-01-09,Organic,Irrigated,No,24,10,1,5,11,12,6,4,8,0,0,0,146,133,177,685,602,478,256,240,428,0,0,0,81
