Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Tamara Garza,Bungoma Ward 7,"4.27832, 37.643442",2025-09-21,Conventional,Irrigated,Yes,28,5,16,9,0,20,0,0,0,0,0,0,817,397,467,580,520,400,0,0,0,0,0,0,78
F002,Tracy Newman MD,Bungoma Ward 6,"-4.200377, 37.632996",2021-04-18,Organic,Rain-fed,No,53,0,14,0,54,0,53,43,0,0,0,0,434,490,420,270,324,648,516,301,387,0,0,0,217
F003,Charles Parker,Bungoma Ward 6,"-3.763105, 38.771065",2025-12-06,Organic,Irrigated,No,24,21,19,0,24,0,3,37,13,1,11,0,637,1099,1023,240,288,264,792,445,751,99,99,99,153
F004,Nicholas Oneill,Bungoma Ward 12,"-2.647693, 36.333712",2020-12-17,Organic,Rain-fed,Yes,21,27,28,4,24,9,2,7,25,0,0,0,1357,1535,1301,408,348,609,834,792,1334,0,0,0,147
F005,Christine Galloway,Bungoma Ward 4,"-1.368229, 36.628981",2023-10-27,Conventional,Irrigated,No,0,29,29,5,0,10,1,17,0,15,0,3,1508,1711,1218,380,440,430,187,85,102,120,135,108,109
F006,Amy Griffin,Bungoma Ward 2,"-0.354122, 41.481762",2023-09-13,Organic,Irrigated,Yes,0,68,0,24,0,21,0,19,22,9,0,18,612,748,680,924,609,567,1256,1067,866,576,720,450,181
F007,Samantha Henderson,Bungoma Ward 1,"1.844871, 35.795284",2021-12-28,Organic,Irrigated,No,7,22,22,0,0,0,11,0,0,0,0,0,792,1100,880,0,0,0,0,0,0,0,0,0,62
F008,Nicole Oliver,Bungoma Ward 2,"-2.483682, 38.393596",2022-12-24,Conventional,Irrigated,No,0,22,0,0,23,31,37,0,28,0,0,0,308,132,110,1105,1416,1633,1036,1064,896,0,0,0,141
F009,Lauren Richardson,Bungoma Ward 9,"4.481222, 39.212046",2023-02-11,Organic,Irrigated,Yes,17,27,12,8,4,12,0,11,10,0,0,0,510,813,579,396,508,468,330,433,388,0,0,0,101
F010,Christopher Jackson,Bungoma Ward 1,"-1.470542, 39.293489",2025-06-11,Conventional,Rain-fed,No,78,0,39,25,11,13,2,29,47,0,0,0,1716,1365,1131,630,485,451,1852,1747,2492,0,0,0,244
F011,Tara Ortega,Bungoma Ward 7,"-3.164263, 41.522312",2025-04-28,Conventional,Irrigated,Yes,22,10,48,20,0,27,0,0,19,0,1,0,1732,1760,1128,1242,1296,594,741,551,760,10,10,15,147
F012,Krista Quinn,Bungoma Ward 9,"-4.044357, 34.057454",2022-12-14,Conventional,Rain-fed,No,7,16,17,5,16,14,0,0,0,0,0,0,454,603,988,628,712,856,0,0,0,0,0,0,75
F013,Hector Kim,Bungoma Ward 9,"2.270728, 35.925203",2025-03-02,Conventional,Irrigated,No,26,0,63,35,0,23,0,9,20,0,0,0,2583,1701,2079,529,874,805,779,646,1057,0,0,0,176
F014,Julia Woods,Bungoma Ward 5,"-1.563536, 36.631042",2025-04-08,Organic,Rain-fed,Yes,8,19,5,11,13,1,0,17,8,0,0,0,302,412,431,86,196,86,269,301,430,0,0,0,82
F015,Kenneth Romero,Bungoma Ward 9,"-1.75582, 40.555017",2022-08-17,Conventional,Irrigated,Yes,40,27,80,30,33,14,0,0,0,0,0,0,3709,2349,4058,821,1055,964,0,0,0,0,0,0,224
F016,Lisa Brown,Bungoma Ward 1,"2.606094, 40.735446",2021-05-08,Conventional,Irrigated,Yes,0,18,0,8,11,10,11,0,2,0,0,0,90,270,270,655,335,531,66,82,66,0,0,0,60
F017,Nicole Moore,Bungoma Ward 3,"-3.532364, 39.905186",2025-05-03,Conventional,Irrigated,Yes,10,51,2,4,21,6,11,10,45,0,0,0,639,535,751,489,303,441,1895,1890,1315,0,0,0,160
F018,Teresa White,Bungoma Ward 8,"-0.492813, 36.266758",2021-08-25,Organic,Irrigated,No,3,1,23,0,0,16,0,4,5,3,2,3,699,976,971,576,576,592,179,219,170,118,125,132,60
F019,Hailey Walters,Bungoma Ward 8,"-0.465673, 41.518913",2024-10-15,Organic,Rain-fed,Yes,1,16,29,22,0,18,0,38,33,0,21,0,1439,1082,875,540,414,540,1048,1182,2017,189,189,252,178
F020,Maria Moss,Bungoma Ward 4,"1.301437, 39.154406",2020-12-31,Conventional,Rain-fed,No,5,13,7,2,0,14,5,3,7,0,0,0,390,372,345,364,602,490,185,349,344,0,0,0,56
F021,Lance Martin,Bungoma Ward 3,"-2.006104, 40.999607",2021-10-08,Conventional,Irrigated,Yes,58,0,51,4,0,0,0,41,41,0,0,0,1938,2091,1071,0,0,0,1394,1517,1435,0,0,0,195
F022,John Fields,Bungoma Ward 1,"-2.195145, 39.973229",2020-09-29,Conventional,Rain-fed,Yes,10,46,0,2,1,12,2,9,0,0,11,7,460,506,230,505,570,269,108,117,99,321,224,273,100
F023,Tonya Williams,Bungoma Ward 1,"-1.116054, 35.707238",2022-01-27,Conventional,Rain-fed,No,9,31,61,29,22,0,22,44,0,7,11,13,2232,2779,2750,242,286,242,264,264,528,666,750,537,249
F024,Laura Clark,Bungoma Ward 8,"-1.05048, 35.141339",2024-06-22,Organic,Irrigated,No,61,4,24,15,0,6,31,6,5,25,9,6,1132,584,992,174,138,288,198,317,283,330,363,342,192
F025,Jennifer Johnson,Bungoma Ward 11,"-3.144162, 35.063954",2024-10-18,Conventional,Irrigated,No,4,0,34,27,28,10,26,0,10,10,0,3,918,1428,1088,614,512,700,400,240,390,144,126,66,152
F026,Christina Zavala,Bungoma Ward 3,"2.422136, 34.841623",2022-11-29,Organic,Irrigated,Yes,29,47,0,41,29,37,16,24,0,0,0,0,329,282,235,1625,1186,1157,288,264,216,0,0,0,223
F027,Cameron Lewis,Bungoma Ward 1,"-0.991081, 41.691991",2024-12-22,Organic,Irrigated,Yes,13,2,0,11,17,6,2,10,9,0,0,0,28,26,30,408,395,331,510,356,543,0,0,0,70
F028,Rachel Fuller,Bungoma Ward 6,"-1.102504, 37.293785",2023-12-05,Conventional,Rain-fed,No,77,14,47,36,0,51,0,0,6,4,0,0,2231,1339,1197,1683,1632,1530,126,132,120,0,0,0,235
F029,George Hayes,Bungoma Ward 9,"-2.991543, 40.343218",2020-04-02,Organic,Irrigated,Yes,0,0,29,0,22,0,0,20,24,7,10,0,1015,1189,1015,330,264,330,960,860,684,120,110,140,112
F030,Walter Gonzalez,Bungoma Ward 9,"2.882007, 40.704892",2022-04-26,Organic,Irrigated,No,44,15,30,17,8,2,0,0,0,2,19,18,810,1515,795,168,118,104,0,0,0,965,635,969,155
F031,Allison Rose,Bungoma Ward 11,"-1.124517, 38.594537",2023-09-21,Organic,Irrigated,Yes,17,2,8,22,0,15,9,7,6,0,0,0,312,390,398,555,630,585,356,320,285,0,0,0,86
F032,Ray Navarro,Bungoma Ward 8,"-0.2024, 39.458371",2021-12-04,Conventional,Rain-fed,No,69,21,24,2,13,29,8,0,9,7,0,24,1227,1428,627,658,1590,1242,243,342,423,552,768,600,206
F033,Dr. Taylor Warren MD,Bungoma Ward 10,"2.052596, 37.919163",2022-09-15,Organic,Irrigated,Yes,71,5,58,0,30,26,0,0,5,0,0,0,1394,2471,1765,1406,1478,1724,210,115,100,0,0,0,195
F034,Crystal Christensen,Bungoma Ward 6,"-2.887895, 35.814959",2022-04-04,Organic,Rain-fed,No,0,84,27,0,3,0,0,27,50,0,0,0,1464,1263,1464,18,15,27,1389,2139,1212,0,0,0,191
F035,Susan Hoover,Bungoma Ward 7,"-2.790709, 36.749776",2020-04-29,Organic,Rain-fed,No,0,4,52,18,11,7,13,31,12,0,0,0,1924,1392,1740,363,305,497,624,847,788,0,0,0,148
F036,Susan Fischer,Bungoma Ward 5,"2.331532, 40.034267",2024-06-21,Organic,Irrigated,Yes,89,14,28,0,0,30,0,40,0,0,20,10,756,784,966,660,870,690,400,320,400,550,430,610,231
F037,Kelsey Webb,Bungoma Ward 8,"-3.675743, 35.661801",2023-10-21,Conventional,Irrigated,Yes,63,25,21,0,17,5,28,0,7,21,0,33,683,1035,851,398,309,272,350,294,196,1650,1452,1551,220
F038,Sara Fuller,Bungoma Ward 1,"-4.194491, 38.87903",2021-06-29,Organic,Rain-fed,Yes,23,13,0,0,10,0,3,0,11,0,0,3,78,143,130,150,120,110,264,418,352,63,108,72,63
F039,Mrs. Chelsea Avery,Bungoma Ward 5,"-3.954602, 39.923938",2024-02-16,Organic,Irrigated,Yes,19,44,0,39,41,32,0,0,0,0,0,14,352,396,308,1498,941,1037,0,0,0,448,294,322,189
F040,Rebecca Padilla,Bungoma Ward 10,"0.232785, 38.737846",2022-06-15,Conventional,Irrigated,Yes,0,58,42,18,0,0,5,24,6,0,0,0,1934,2150,1720,0,0,0,444,462,450,0,0,0,153
F041,David Boone,Bungoma Ward 3,"2.313342, 41.127377",2024-03-07,Conventional,Rain-fed,No,3,50,2,25,34,0,11,6,0,15,31,27,734,350,410,374,340,340,66,66,60,966,1451,1363,204
F042,Charles Powell,Bungoma Ward 9,"3.391873, 36.968029",2020-04-09,Conventional,Irrigated,No,40,9,29,41,39,0,0,0,4,16,16,7,799,1192,958,273,195,351,84,104,152,507,468,407,201
