Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Chad Mccall,Busia Ward 10,"-4.320343, 40.784363",2020-07-13,Conventional,Rain-fed,No,27,0,29,8,11,2,20,8,7,0,0,0,1073,1421,696,126,169,138,387,411,244,0,0,0,112
F002,Lisa Johnson,Busia Ward 10,"-0.634278, 40.300994",2020-10-22,Conventional,Rain-fed,No,29,12,29,8,0,0,6,8,4,9,0,11,1589,934,896,0,0,0,312,312,232,374,275,484,116
F003,Jamie Sheppard,Busia Ward 5,"-0.873377, 40.184331",2022-09-26,Organic,Rain-fed,No,49,0,33,19,9,0,0,5,18,0,0,0,1386,1617,1551,135,54,90,529,644,770,0,0,0,133
F004,Lindsay Edwards,Busia Ward 3,"-2.768871, 39.844122",2025-04-07,Organic,Irrigated,No,11,17,6,34,27,43,16,21,4,0,0,0,354,306,217,2426,1275,2168,442,311,274,0,0,0,179
F005,Angela Brown,Busia Ward 10,"3.570365, 36.755667",2020-02-23,Organic,Rain-fed,No,5,1,5,5,1,9,32,0,18,8,4,25,187,224,240,405,300,378,846,450,864,1152,1032,1124,113
F006,John Walker,Busia Ward 10,"-4.483697, 39.314476",2020-06-17,Organic,Irrigated,Yes,22,27,25,0,0,14,9,0,5,0,0,0,1330,1035,1062,308,462,336,125,190,120,0,0,0,102
F007,Jeff Jackson,Busia Ward 8,"-4.063394, 41.268618",2025-04-19,Organic,Irrigated,Yes,1,5,13,11,5,0,12,1,2,0,0,0,549,370,699,25,60,70,93,53,73,0,0,0,50
F008,Alyssa Green,Busia Ward 6,"3.115049, 37.074911",2023-04-20,Conventional,Irrigated,No,94,51,10,15,25,5,26,4,19,0,0,0,796,526,1065,565,470,410,419,945,858,0,0,0,249
F009,Brenda Moore,Busia Ward 8,"0.032455, 36.830278",2022-07-24,Organic,Irrigated,No,11,0,7,11,20,18,11,0,27,0,0,0,350,350,245,894,720,696,1269,1188,567,0,0,0,105
F010,Dawn Olson,Busia Ward 3,"1.081082, 39.159675",2022-06-15,Conventional,Rain-fed,No,15,46,2,25,5,0,0,0,12,0,0,16,376,306,316,25,65,30,504,408,588,368,336,752,121
F011,Vanessa Cook,Busia Ward 6,"4.227129, 41.358646",2023-01-17,Conventional,Rain-fed,No,20,32,0,36,28,23,7,6,12,0,0,0,160,192,448,1264,968,1450,618,354,522,0,0,0,164
F012,Rodney Hudson,Busia Ward 12,"1.355464, 38.640236",2024-03-31,Conventional,Rain-fed,No,28,9,18,5,0,0,5,7,17,0,1,0,441,684,657,0,0,0,685,781,460,14,7,7,90
F013,Eric Hodges,Busia Ward 4,"0.049373, 40.900724",2025-07-18,Conventional,Rain-fed,No,43,0,31,0,25,11,25,0,38,0,0,0,620,1519,837,647,591,470,874,1368,1824,0,0,0,173
F014,Angela Johnson,Busia Ward 6,"0.295859, 36.96875",2021-02-22,Organic,Rain-fed,No,17,25,0,22,17,0,0,42,31,0,0,0,125,200,175,170,136,255,1627,1330,1733,0,0,0,154
F015,Aaron Melendez,Busia Ward 9,"4.050936, 40.590558",2025-02-10,Conventional,Rain-fed,Yes,28,66,74,9,0,14,0,0,25,0,0,0,3382,3546,3760,406,336,364,1200,1150,1175,0,0,0,216
F016,Anthony Smith,Busia Ward 9,"-0.105679, 38.001243",2024-09-16,Conventional,Irrigated,No,1,43,15,12,0,23,4,23,16,0,0,0,1150,818,805,1127,736,851,929,801,895,0,0,0,137
F017,Doris Frazier,Busia Ward 9,"-0.549586, 39.924287",2023-07-14,Organic,Rain-fed,Yes,0,27,8,0,5,2,0,0,0,0,7,6,505,647,535,115,145,115,0,0,0,229,246,242,55
F018,Dr. Carolyn Arnold,Busia Ward 2,"-1.377554, 40.882548",2021-07-23,Organic,Rain-fed,Yes,23,53,13,0,0,7,17,17,0,0,0,0,1313,1263,1300,140,224,175,187,255,85,0,0,0,130
F019,Susan Bryant,Busia Ward 12,"0.137168, 38.454025",2025-09-20,Conventional,Rain-fed,Yes,20,33,30,0,34,0,17,0,10,0,0,0,1392,1632,1503,238,442,442,480,400,450,0,0,0,144
F020,Michelle Carlson,Busia Ward 9,"-3.360532, 35.951576",2021-01-06,Conventional,Rain-fed,Yes,51,74,20,6,6,12,0,0,0,0,0,0,1582,1922,1260,462,528,618,0,0,0,0,0,0,169
F021,Melinda Nguyen,Busia Ward 3,"1.145307, 36.912337",2024-01-23,Conventional,Irrigated,Yes,12,21,25,0,23,0,0,0,0,0,0,0,914,1310,1218,276,299,322,0,0,0,0,0,0,81
F022,Madison Valdez,Busia Ward 8,"4.303942, 40.831871",2020-10-04,Conventional,Rain-fed,No,10,7,2,7,2,11,6,1,4,5,1,1,156,181,120,483,365,403,127,156,175,46,46,35,57
F023,Hannah Mathis,Busia Ward 2,"-2.686687, 37.309412",2023-01-23,Organic,Rain-fed,Yes,30,12,0,10,15,13,5,9,0,3,12,10,84,60,180,654,592,483,117,72,63,578,328,448,119
F024,Jessica Anderson,Busia Ward 5,"3.143873, 36.003998",2025-01-22,Organic,Rain-fed,No,90,0,8,0,30,0,50,8,16,0,36,0,224,344,384,450,360,420,656,528,480,288,540,324,238
F025,Keith Hughes,Busia Ward 9,"1.393786, 40.245758",2024-12-25,Organic,Rain-fed,Yes,24,5,2,0,15,4,13,0,6,0,0,0,112,122,125,263,316,236,240,258,150,0,0,0,69
F026,Mr. Andrew Moore,Busia Ward 7,"-0.463065, 37.769052",2025-08-12,Conventional,Rain-fed,Yes,0,47,10,0,28,45,0,7,11,0,4,16,914,883,1015,1956,1141,2074,481,305,615,488,708,820,168
F027,Cameron Garza,Busia Ward 12,"1.37848, 37.786252",2020-06-30,Conventional,Rain-fed,Yes,0,49,5,0,0,20,22,0,31,0,0,0,499,635,748,400,960,720,1550,961,1519,0,0,0,127
F028,Maureen Powell,Busia Ward 5,"-1.032453, 35.181696",2020-12-04,Conventional,Rain-fed,No,35,2,0,32,3,22,18,9,30,8,0,0,24,14,10,794,1142,464,1383,1194,1446,0,0,0,159
F029,Cameron Walker,Busia Ward 10,"2.76142, 36.31501",2024-07-17,Organic,Irrigated,Yes,74,73,0,1,33,13,13,0,0,0,0,0,657,1095,949,623,557,713,0,0,0,0,0,0,207
F030,Thomas Page,Busia Ward 3,"-4.450984, 40.940384",2023-11-29,Conventional,Rain-fed,Yes,0,2,12,11,7,12,14,5,0,0,0,0,398,514,424,477,488,536,70,55,70,0,0,0,63
F031,Laura Mccoy,Busia Ward 2,"0.999149, 36.930095",2020-12-10,Organic,Irrigated,Yes,13,45,55,0,23,0,36,19,0,0,0,0,1825,2570,2410,161,230,230,133,133,228,0,0,0,191
F032,Shannon Bradford,Busia Ward 11,"-2.778063, 37.524894",2025-09-27,Conventional,Irrigated,Yes,2,27,80,0,13,37,13,0,31,0,19,20,2962,3309,3842,1675,1129,968,682,992,713,795,948,768,242
