Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Tina Johnson,Elgeyo-Marakwet Ward 3,"-4.255125, 36.434384",2021-10-22,Conventional,Irrigated,Yes,10,48,33,36,0,48,0,8,31,0,0,0,1905,1044,1449,1728,2208,1584,856,1274,732,0,0,0,214
F002,Diana Best,Elgeyo-Marakwet Ward 7,"-0.100971, 35.699999",2024-05-10,Organic,Irrigated,Yes,71,52,33,0,7,6,14,2,8,0,23,7,1581,2104,1085,229,162,210,210,268,390,563,474,355,223
F003,Dakota Houston,Elgeyo-Marakwet Ward 9,"-2.420228, 39.118173",2022-12-12,Organic,Rain-fed,No,13,15,0,14,7,0,0,0,12,4,0,0,105,75,90,70,49,105,276,432,420,0,0,0,65
F004,Howard Price,Elgeyo-Marakwet Ward 9,"-1.920237, 41.241106",2024-05-05,Conventional,Irrigated,Yes,92,67,0,0,0,0,37,28,25,0,0,0,603,469,804,0,0,0,1168,1102,1024,0,0,0,249
F005,Scott Cortez,Elgeyo-Marakwet Ward 6,"2.722773, 34.695678",2020-06-08,Conventional,Irrigated,Yes,18,63,35,0,3,27,14,0,0,14,13,0,1666,1638,1610,801,1239,1278,0,0,0,195,91,65,187
F006,James David,Elgeyo-Marakwet Ward 8,"-2.786622, 41.04683",2020-08-28,Organic,Rain-fed,Yes,0,18,67,11,5,0,12,37,29,0,0,0,3285,2927,3226,75,70,40,1251,1820,1316,0,0,0,179
F007,Daniel Johnston,Elgeyo-Marakwet Ward 3,"-1.863257, 34.753764",2022-04-22,Organic,Rain-fed,Yes,85,35,64,4,18,4,0,22,0,7,0,0,1985,3131,2677,422,258,390,110,308,220,0,0,0,239
F008,Matthew Rodriguez,Elgeyo-Marakwet Ward 3,"-0.2323, 34.541401",2023-01-28,Conventional,Rain-fed,No,57,65,54,2,0,25,4,31,0,0,0,0,2940,3307,3318,1200,525,1200,248,465,403,0,0,0,238
F009,Danielle Miller,Elgeyo-Marakwet Ward 3,"4.236532, 40.636005",2025-12-07,Organic,Irrigated,No,4,0,36,0,0,27,0,20,15,0,0,11,900,828,1548,729,1188,1269,860,865,765,286,275,517,113
F010,Stacey Smith,Elgeyo-Marakwet Ward 1,"1.932718, 40.455237",2021-01-09,Conventional,Irrigated,Yes,45,20,55,0,10,19,2,3,19,0,0,0,1365,2325,2610,632,745,681,932,765,900,0,0,0,173
