Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Dustin Smith,Embu Ward 5,"-4.067987, 37.72944",2022-09-26,Organic,Rain-fed,Yes,10,0,0,2,0,5,20,26,16,2,9,15,0,0,0,220,235,195,1020,964,754,513,756,447,105
F002,Katherine Hill,Embu Ward 5,"-2.875505, 35.461167",2025-12-25,Organic,Rain-fed,No,53,49,40,0,12,21,11,0,8,0,0,0,2161,1775,2077,1047,735,987,280,264,392,0,0,0,194
F003,Paul Thomas,Embu Ward 3,"-1.773579, 41.135235",2021-01-28,Conventional,Irrigated,No,11,13,32,9,0,0,0,18,16,4,0,0,1448,1129,1315,0,0,0,608,904,804,0,0,0,103
F004,Anne Turner,Embu Ward 1,"-3.901319, 38.723836",2020-10-15,Conventional,Rain-fed,No,3,31,99,0,36,28,0,26,7,0,0,0,4963,3930,3614,1156,1292,1736,573,467,455,0,0,0,230
F005,Lori Thompson,Embu Ward 5,"-3.626796, 40.023512",2024-10-17,Conventional,Rain-fed,No,44,22,51,0,0,0,0,30,30,0,0,0,1430,1895,2602,0,0,0,1470,1260,1410,0,0,0,177
F006,Crystal Vega,Embu Ward 6,"-3.955924, 34.233577",2021-02-11,Organic,Irrigated,Yes,8,17,19,0,20,7,14,19,0,0,0,0,877,1025,1002,434,594,480,209,247,133,0,0,0,104
F007,Carl Matthews,Embu Ward 3,"-1.703468, 35.705851",2024-04-19,Conventional,Irrigated,Yes,17,17,17,5,0,2,0,7,0,0,0,2,578,748,680,46,60,40,63,98,98,72,82,100,67
F008,Carl Lane,Embu Ward 2,"-4.273282, 39.018961",2022-05-01,Conventional,Irrigated,Yes,11,0,6,4,12,1,7,0,4,0,0,0,150,120,240,82,167,147,148,100,92,0,0,0,45
F009,Kevin Brennan,Embu Ward 8,"-3.189402, 34.594752",2022-10-28,Organic,Irrigated,Yes,22,0,19,0,0,5,0,10,0,12,2,0,475,437,760,240,150,230,80,80,150,20,20,22,70
F010,Shannon Mullins,Embu Ward 9,"1.752079, 34.503622",2022-01-13,Conventional,Irrigated,Yes,62,47,51,2,8,27,10,0,0,7,5,5,2855,1725,2055,1273,1376,1047,0,0,0,305,180,210,224
F011,Erik Little,Embu Ward 4,"-3.848344, 36.685421",2022-12-22,Conventional,Rain-fed,Yes,14,5,35,37,0,26,7,9,0,6,0,19,1320,1075,1575,1118,884,988,63,117,45,931,760,418,158
F012,Cassandra Coleman,Embu Ward 5,"-0.394347, 41.602615",2021-01-05,Conventional,Rain-fed,No,15,21,22,0,0,12,0,0,18,0,0,0,957,1288,783,372,480,420,396,540,414,0,0,0,88
