Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees,Latitude,Longitude
F001,Claudia Delacruz,Nziu,"-1.361118, 37.374807",2023-08-22,Organic,Rain-fed,No,1,9,0,16,14,4,2,10,2,0,12,4,45,126,99,250,328,336,190,166,130,280,272,232,74,-1.361118,37.374807
F002,Justin Wallace,Makindu,"-1.52932, 37.79411",2022-05-18,Conventional,Irrigated,Yes,12,10,39,24,0,36,7,25,20,10,0,0,1115,949,1328,1368,720,1368,1160,1150,785,0,0,0,183,-1.52932,37.79411
F003,Katherine Flynn,Kasikeu,"-1.613091, 37.884854",2021-04-15,Conventional,Rain-fed,No,7,15,21,2,0,1,31,25,8,8,15,0,855,999,783,44,48,43,611,536,638,165,90,90,133,-1.613091,37.884854
F004,Kari Nguyen,Wote,"-2.015324, 37.729577",2021-12-30,Organic,Rain-fed,No,18,0,8,9,6,0,0,6,9,5,8,0,192,192,216,84,48,84,429,378,300,48,96,80,69,-2.015324,37.729577
F005,Stephanie Alexander,Kibwezi,"-2.087072, 37.488477",2021-08-10,Organic,Irrigated,No,7,13,43,1,11,7,22,22,2,0,0,0,1416,964,1648,358,397,402,390,230,332,0,0,0,128,-2.087072,37.488477
F006,Gloria Woodard,Kyemole,"-1.730862, 38.017858",2021-05-09,Organic,Irrigated,Yes,0,0,0,0,53,7,0,42,38,47,34,13,0,0,0,980,1124,814,1766,1366,1504,737,1032,1147,234,-1.730862,38.017858
F007,James Collins,Mtito Andei,"-1.922407, 37.354497",2025-01-26,Organic,Irrigated,No,21,0,75,27,25,0,5,42,36,0,0,0,2775,2700,3075,275,125,375,1668,1806,1494,0,0,0,231,-1.922407,37.354497
F008,Jeffery Oconnor,Nzaui,"-2.393293, 37.828983",2020-06-29,Conventional,Irrigated,Yes,24,21,15,0,3,3,7,15,7,0,0,0,960,741,828,102,114,93,501,343,392,0,0,0,95,-2.393293,37.828983
F009,Alison Johnson,Makindu,"-2.00441, 37.505272",2021-12-16,Organic,Rain-fed,Yes,12,0,89,40,4,29,25,6,8,0,0,0,3649,2937,2403,1084,1494,1412,318,380,456,0,0,0,213,-2.00441,37.505272
F010,David Gordon,Kitise,"-2.180476, 37.907379",2023-03-25,Organic,Irrigated,No,8,34,0,14,0,17,0,10,9,17,11,0,272,442,170,714,731,340,357,434,303,165,88,110,120,-2.180476,37.907379
F011,Matthew Stewart,Mbooni,"-1.822957, 37.648479",2024-03-07,Organic,Rain-fed,No,40,45,15,15,0,24,0,2,0,0,0,0,1050,945,1245,528,720,528,22,28,20,0,0,0,141,-1.822957,37.648479
F012,Christine Wilson,Kalawa,"-2.256263, 37.568335",2022-08-27,Organic,Rain-fed,No,42,21,37,0,20,0,0,7,13,5,0,11,1838,2086,1748,200,280,140,694,721,673,275,253,363,156,-2.256263,37.568335
F013,Jeanne Knapp,Sultan Hamud,"-1.86583, 38.019124",2024-09-12,Organic,Rain-fed,No,58,14,12,29,23,25,16,0,4,0,0,0,654,478,490,1380,1055,1163,152,116,112,0,0,0,181,-1.86583,38.019124
F014,Douglas Bass,Kitise,"-1.498389, 37.763176",2025-08-18,Conventional,Irrigated,No,38,42,58,0,0,0,22,18,0,0,15,0,2182,2572,3136,0,0,0,270,234,216,195,165,135,193,-1.498389,37.763176
F015,Scott Orr,Kitise,"-1.789246, 37.250588",2024-03-30,Conventional,Irrigated,Yes,16,38,0,0,4,0,20,17,19,9,0,1,304,190,342,40,36,56,812,675,518,24,20,46,124,-1.789246,37.250588
F016,Shannon Reynolds,Kyemole,"-1.688736, 38.005658",2025-09-11,Conventional,Irrigated,No,35,43,19,6,2,0,31,0,0,10,16,0,652,1256,1457,12,20,22,0,0,0,144,208,160,162,-1.688736,38.005658
F017,Jesse Bradford,Makindu,"-1.949068, 37.798277",2025-12-21,Organic,Irrigated,Yes,0,102,29,20,5,0,0,0,56,0,36,0,2674,2356,1380,35,45,45,2520,2632,1512,468,504,396,248,-1.949068,37.798277
F018,Maurice Roberts,Mtito Andei,"-2.228275, 37.995578",2020-03-30,Conventional,Irrigated,Yes,1,6,5,8,14,0,1,3,18,0,0,0,269,241,290,154,154,196,567,795,945,0,0,0,56,-2.228275,37.995578
F019,Sara Allen,Kyemole,"-1.658669, 37.918844",2022-01-21,Organic,Rain-fed,No,8,5,1,7,15,17,1,2,9,13,11,11,76,60,57,628,760,905,343,294,310,583,462,484,100,-1.658669,37.918844
F020,Shawn Meyers,Mbooni,"-1.888348, 37.324569",2024-11-10,Organic,Irrigated,No,42,11,20,0,24,13,14,19,6,0,0,0,477,808,1145,469,919,806,504,416,356,0,0,0,149,-1.888348,37.324569
F021,Steven Gomez,Kalawa,"-2.318847, 37.934353",2024-05-13,Organic,Irrigated,Yes,33,34,53,0,10,0,0,35,0,0,0,0,1544,1775,1525,60,50,150,315,455,245,0,0,0,165,-2.318847,37.934353
F022,Ms. Heather Underwood,Kilungu,"-1.52296, 37.268114",2020-08-30,Organic,Rain-fed,No,30,36,0,33,0,0,24,4,17,0,0,0,396,324,360,0,0,0,401,753,519,0,0,0,144,-1.52296,37.268114
F023,John Todd,Ukia,"-1.870945, 37.816985",2022-05-20,Organic,Irrigated,No,58,37,20,24,4,0,2,31,0,2,14,0,938,1241,1207,36,20,60,465,248,279,98,210,84,192,-1.870945,37.816985
F024,Mary Pittman,Mbooni,"-2.2809, 38.036005",2023-06-12,Organic,Irrigated,Yes,28,85,0,5,4,9,36,7,48,0,22,0,595,850,680,291,249,419,2381,1346,1373,286,264,220,244,-2.2809,38.036005
F025,Cathy Frazier,Kasikeu,"-1.30167, 37.827995",2021-06-11,Organic,Irrigated,No,32,0,16,29,7,20,0,18,23,44,11,34,704,496,720,918,505,945,591,1225,1246,1809,1119,1446,234,-1.30167,37.827995
F026,Steven King,Makindu,"-2.012792, 37.8168",2023-08-15,Conventional,Irrigated,No,5,7,25,31,0,22,7,15,29,7,0,2,1134,688,1020,1012,880,946,1511,845,1526,76,60,84,150,-2.012792,37.8168
F027,Judith Silva,Emali,"-1.665328, 37.298192",2024-07-24,Organic,Irrigated,Yes,5,0,30,4,8,10,0,12,0,0,0,0,1440,1080,1080,418,538,406,180,144,120,0,0,0,69,-1.665328,37.298192
F028,Heather Durham,Kilungu,"-1.377695, 37.368831",2021-01-09,Organic,Irrigated,Yes,22,9,20,34,0,0,55,12,42,13,4,19,634,690,941,0,0,0,1524,924,1674,896,887,979,230,-1.377695,37.368831
F029,Connie Mullins,Mtito Andei,"-1.485034, 37.40105",2024-08-10,Conventional,Irrigated,Yes,4,0,39,38,20,5,46,12,7,19,0,33,1170,1209,780,365,435,390,482,389,339,1617,1518,858,223,-1.485034,37.40105
