Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Jane Gibbs,Garissa Ward 7,"-1.402809, 41.550608",2022-12-31,Organic,Irrigated,Yes,2,12,13,28,0,7,18,34,16,0,0,0,434,418,768,301,210,266,1118,988,750,0,0,0,130
F002,Benjamin White,Garissa Ward 3,"-1.006754, 35.010589",2024-06-16,Organic,Irrigated,No,12,0,10,17,11,19,0,0,1,14,15,2,320,480,220,675,620,574,46,40,41,149,162,225,101
F003,Mary Aguirre,Garissa Ward 10,"-1.698021, 34.033876",2022-02-09,Conventional,Irrigated,Yes,0,34,8,27,21,22,10,0,0,0,10,3,652,724,644,1329,735,844,0,0,0,161,172,180,135
F004,Holly Lane,Garissa Ward 11,"0.99776, 34.032172",2022-06-21,Organic,Rain-fed,No,26,17,0,19,4,12,11,0,0,0,0,0,255,153,153,292,420,416,0,0,0,0,0,0,89
F005,Scott Walker,Garissa Ward 5,"-3.799298, 35.962104",2020-10-01,Organic,Rain-fed,No,26,0,80,0,47,15,32,0,45,0,0,0,1920,1680,2080,1136,1207,719,1980,1530,2115,0,0,0,245
F006,Jean Warren,Garissa Ward 5,"-4.454199, 38.755873",2023-02-15,Conventional,Irrigated,No,9,55,61,3,0,47,0,8,0,0,0,14,2331,3191,2557,1974,1927,2256,56,56,88,378,448,602,197
F007,Kyle Fletcher,Garissa Ward 12,"1.870003, 35.716399",2024-06-19,Conventional,Rain-fed,No,9,44,31,18,12,0,15,0,0,0,0,0,1799,1677,1768,132,72,168,0,0,0,0,0,0,129
F008,David Jackson,Garissa Ward 1,"3.163202, 38.643005",2024-12-26,Conventional,Rain-fed,No,0,52,64,18,21,0,0,4,13,0,0,0,1852,2016,3564,315,231,294,514,665,609,0,0,0,172
F009,Norma Smith,Garissa Ward 10,"-3.049868, 39.783672",2022-06-07,Conventional,Irrigated,No,11,0,8,6,0,6,12,0,6,3,0,3,280,368,328,156,264,264,150,276,180,93,120,87,55
F010,Lynn Oliver,Garissa Ward 7,"-1.75833, 34.309914",2022-02-27,Organic,Rain-fed,Yes,0,27,49,0,0,26,15,21,40,0,0,9,1561,2012,1968,884,936,702,1850,1585,1791,351,387,351,187
F011,Joshua Saunders,Garissa Ward 5,"2.679522, 39.321774",2022-04-18,Conventional,Rain-fed,Yes,4,27,29,6,0,13,0,0,4,0,0,0,1411,1086,1277,416,507,559,200,180,188,0,0,0,83
