Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Karen Stevens,Homa Bay Ward 1,"0.878444, 39.0169",2021-04-29,Organic,Irrigated,No,24,2,24,20,22,0,17,10,29,0,0,0,714,976,1212,264,264,286,1017,1165,824,0,0,0,148
F002,Devin Velasquez,Homa Bay Ward 2,"3.099253, 34.023577",2020-01-19,Organic,Irrigated,No,30,6,4,0,0,0,12,13,17,0,0,0,226,208,190,0,0,0,709,779,815,0,0,0,82
F003,Michael Parks,Homa Bay Ward 2,"-1.433207, 34.759823",2023-09-02,Organic,Rain-fed,No,9,2,27,10,12,17,0,0,0,0,0,0,749,998,587,826,434,468,0,0,0,0,0,0,77
F004,Ronald Carlson,Homa Bay Ward 5,"-3.937997, 41.220019",2022-03-27,Conventional,Rain-fed,Yes,13,20,9,11,0,2,0,15,0,0,0,0,629,481,663,46,44,48,195,75,210,0,0,0,70
F005,Sharon Nixon,Homa Bay Ward 5,"-3.082621, 38.034621",2024-06-07,Conventional,Irrigated,Yes,29,33,20,42,20,52,4,4,2,0,0,0,1203,990,977,1676,2224,2312,156,120,66,0,0,0,206
F006,Brian Morales,Homa Bay Ward 4,"-3.68305, 41.779769",2023-07-21,Organic,Rain-fed,No,34,0,22,1,5,0,0,18,11,0,0,0,594,506,1012,40,55,70,423,559,620,0,0,0,91
F007,Crystal Mueller,Homa Bay Ward 4,"2.155732, 40.133198",2020-08-14,Organic,Rain-fed,Yes,29,29,46,6,0,34,0,0,9,6,2,0,1842,2067,1953,1122,1122,1224,306,369,270,18,28,24,161
F008,Jennifer Holland,Homa Bay Ward 10,"-4.34218, 39.313505",2023-12-08,Conventional,Irrigated,Yes,0,22,14,13,0,2,21,13,10,1,0,15,688,740,656,48,94,60,435,396,662,750,480,435,111
F009,Carol Yates,Homa Bay Ward 5,"1.419652, 37.097679",2022-11-08,Organic,Irrigated,Yes,50,11,19,11,0,4,31,38,16,0,0,0,1071,648,748,108,96,112,1198,1038,700,0,0,0,180
F010,Alex Compton,Homa Bay Ward 4,"-1.73515, 37.66328",2025-04-07,Organic,Irrigated,Yes,13,39,30,0,15,0,39,32,45,23,2,0,1773,1464,1554,90,105,75,1780,1548,2576,14,22,22,238
F011,John Ryan,Homa Bay Ward 5,"2.357669, 37.574773",2025-10-16,Conventional,Rain-fed,No,34,11,10,0,24,0,7,22,18,0,0,0,320,486,645,216,144,240,708,1124,684,0,0,0,126
F012,Sarah Lang,Homa Bay Ward 6,"1.210656, 40.120989",2023-12-05,Conventional,Irrigated,Yes,70,0,0,0,35,27,18,3,10,0,0,4,0,0,0,1179,1395,1152,493,374,247,108,96,124,167
F013,Melissa Ellison,Homa Bay Ward 12,"-2.143252, 39.702769",2023-09-18,Conventional,Rain-fed,Yes,12,13,17,6,21,9,0,0,8,0,15,17,730,907,503,483,705,447,184,296,328,539,841,815,118
F014,Kimberly Edwards,Homa Bay Ward 3,"-3.231123, 39.989812",2025-07-01,Organic,Rain-fed,No,15,22,4,29,22,30,20,3,23,0,0,0,398,346,332,1444,904,1038,935,930,530,0,0,0,168
F015,Suzanne Chen,Homa Bay Ward 5,"-1.136743, 38.125266",2025-12-08,Conventional,Rain-fed,No,26,1,0,33,22,40,0,8,38,0,0,0,11,12,10,1558,2286,1828,1776,1684,1066,0,0,0,168
F016,Nicole Perez,Homa Bay Ward 4,"2.582229, 40.150633",2020-12-26,Conventional,Irrigated,No,24,80,52,0,0,0,32,15,14,0,0,0,2552,2480,3540,0,0,0,880,708,677,0,0,0,217
F017,Christina Abbott,Homa Bay Ward 6,"-1.094667, 40.700611",2021-12-17,Conventional,Irrigated,Yes,0,4,68,13,0,0,0,21,37,2,25,0,2984,2604,1736,0,0,0,1241,1881,1304,175,150,275,170
F018,Haley Rasmussen,Homa Bay Ward 2,"1.142974, 38.336147",2022-04-09,Conventional,Rain-fed,Yes,0,5,10,0,0,0,14,10,7,7,3,1,365,435,365,0,0,0,382,340,339,82,57,64,57
F019,Brenda Berg,Homa Bay Ward 2,"-2.465365, 38.412564",2025-02-21,Conventional,Rain-fed,Yes,19,4,69,0,27,11,0,22,25,0,0,0,1761,2366,2118,771,672,785,907,1189,798,0,0,0,177
F020,Laura Perez,Homa Bay Ward 1,"-1.290013, 41.366161",2024-04-12,Organic,Irrigated,No,52,12,49,15,26,26,0,0,0,0,0,0,2387,2179,1455,1326,910,1586,0,0,0,0,0,0,180
F021,Luis Peterson,Homa Bay Ward 6,"0.404732, 36.264221",2022-03-30,Conventional,Irrigated,No,44,41,7,23,0,0,0,17,8,0,0,0,841,511,787,0,0,0,536,479,498,0,0,0,140
F022,Christina Lee,Homa Bay Ward 6,"-2.283916, 37.773745",2025-07-10,Organic,Irrigated,Yes,3,0,22,7,2,21,3,3,1,16,0,3,1078,880,550,681,753,852,71,43,52,126,123,111,81
F023,Kristina Harris,Homa Bay Ward 1,"-3.246703, 39.971561",2023-02-08,Organic,Irrigated,Yes,4,5,18,4,2,0,12,3,6,0,0,0,610,942,646,10,26,26,273,291,177,0,0,0,54
F024,Janet Olson,Homa Bay Ward 7,"-2.647059, 35.666178",2023-06-29,Organic,Irrigated,No,0,19,27,0,13,4,3,0,0,0,0,0,1562,984,1254,186,221,282,0,0,0,0,0,0,66
F025,Christopher Moore,Homa Bay Ward 11,"-0.841389, 35.294115",2023-07-10,Organic,Irrigated,Yes,35,1,72,25,0,0,21,1,0,0,13,13,2095,2098,2457,0,0,0,15,11,11,689,559,546,181
F026,Timothy Wilkins,Homa Bay Ward 9,"-3.093057, 34.208737",2022-11-30,Organic,Rain-fed,No,43,0,41,0,16,11,17,14,1,0,0,0,1353,1927,1148,399,677,473,231,117,146,0,0,0,143
F027,Madison Malone,Homa Bay Ward 3,"2.858475, 36.494604",2023-08-23,Conventional,Rain-fed,No,0,38,23,8,4,4,5,6,0,14,13,0,1191,964,994,188,128,176,60,66,84,143,182,143,115
F028,Deborah Dixon,Homa Bay Ward 12,"-0.787092, 36.312867",2025-06-22,Organic,Irrigated,No,31,58,0,2,29,0,0,31,0,0,26,2,696,870,348,261,319,406,403,341,310,414,356,394,179
