Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Kimberly Parks,Isiolo Ward 1,"3.735793, 35.09357",2023-10-01,Organic,Rain-fed,No,0,19,15,4,0,0,4,10,0,0,1,0,963,682,568,0,0,0,90,70,90,8,11,5,53
F002,Brandon Davis,Isiolo Ward 6,"0.469753, 41.197227",2024-05-30,Organic,Rain-fed,Yes,44,53,8,0,29,6,0,4,0,0,0,1,897,1046,858,567,555,480,24,20,20,37,22,32,145
F003,John Reed,Isiolo Ward 12,"-2.321842, 35.223936",2020-01-10,Conventional,Rain-fed,No,8,30,16,0,6,5,13,0,0,0,2,11,560,1006,1174,253,162,228,0,0,0,331,523,244,91
F004,Matthew Martinez,Isiolo Ward 1,"-1.302002, 39.072958",2020-01-08,Organic,Rain-fed,Yes,2,31,4,16,7,3,4,18,0,0,0,0,307,275,499,211,151,158,270,108,234,0,0,0,85
F005,Theresa Liu,Isiolo Ward 10,"-1.737878, 41.114436",2021-07-30,Organic,Irrigated,Yes,27,30,0,36,32,37,0,26,0,1,0,14,180,150,150,1931,1410,1524,156,182,260,518,364,658,203
F006,Aaron Marquez III,Isiolo Ward 8,"-3.575589, 41.721794",2024-10-22,Organic,Rain-fed,Yes,42,43,22,25,0,34,0,20,7,0,0,0,1021,1593,1288,1564,952,952,523,359,449,0,0,0,193
F007,Shaun King,Isiolo Ward 12,"-3.548135, 39.315015",2024-03-10,Conventional,Rain-fed,No,26,13,19,0,0,9,1,0,0,4,0,2,768,711,891,252,261,387,0,0,0,62,100,74,74
F008,William Molina,Isiolo Ward 12,"2.851047, 36.228065",2021-06-03,Organic,Rain-fed,Yes,5,14,0,21,2,6,22,25,8,0,0,0,210,126,112,216,192,204,638,618,622,0,0,0,103
F009,Stephen Lin,Isiolo Ward 10,"-1.188423, 37.376781",2024-09-06,Organic,Irrigated,Yes,20,3,9,8,10,0,7,0,0,0,3,0,456,438,459,140,130,110,0,0,0,27,21,24,60
F010,Shelby Howell,Isiolo Ward 10,"1.797565, 41.756353",2020-08-11,Conventional,Rain-fed,Yes,2,0,14,0,0,13,0,10,12,0,0,0,280,476,518,338,572,455,348,410,454,0,0,0,51
F011,Lisa Chen,Isiolo Ward 3,"3.37844, 41.609338",2022-03-12,Organic,Irrigated,Yes,3,0,47,0,29,17,23,0,10,13,0,0,2209,1363,1128,710,865,676,260,390,320,0,0,0,142
F012,Bailey Wallace,Isiolo Ward 2,"-1.607919, 39.717985",2022-05-06,Organic,Rain-fed,Yes,18,29,83,18,0,37,15,6,0,0,0,0,3191,4253,2896,999,1739,888,54,66,42,0,0,0,206
F013,Dr. Michael Jackson,Isiolo Ward 8,"-2.876577, 40.985322",2021-10-22,Organic,Irrigated,Yes,67,44,0,0,3,23,10,26,14,0,0,0,484,484,660,1195,682,530,760,568,892,0,0,0,187
F014,Zachary Gonzalez,Isiolo Ward 6,"1.094736, 36.075149",2022-12-12,Organic,Rain-fed,Yes,73,2,0,54,31,9,7,45,5,0,0,0,10,12,14,446,461,632,640,505,785,0,0,0,226
F015,Stephanie Jones,Isiolo Ward 3,"-3.303027, 40.222156",2020-09-28,Organic,Irrigated,No,56,24,62,0,9,13,8,0,0,28,23,0,2662,2658,2892,710,383,476,0,0,0,115,161,138,223
F016,Francisco Anderson,Isiolo Ward 12,"-2.007737, 37.495638",2023-10-22,Conventional,Irrigated,No,4,1,17,7,2,15,0,11,5,0,0,0,437,574,626,549,731,418,310,343,306,0,0,0,62
F017,Laurie Dennis,Isiolo Ward 6,"4.389066, 36.11789",2022-01-27,Conventional,Rain-fed,Yes,20,0,39,26,5,17,25,0,17,0,0,7,975,1131,858,774,747,608,442,646,629,266,161,294,156
F018,Jennifer Schwartz,Isiolo Ward 1,"3.57423, 38.888531",2021-05-17,Organic,Irrigated,Yes,0,28,31,13,1,0,1,0,16,2,2,0,1911,1613,1294,5,9,12,768,496,592,28,24,16,94
F019,Rodney Black,Isiolo Ward 3,"2.63703, 35.675685",2022-12-08,Organic,Rain-fed,Yes,36,26,57,0,8,15,58,3,3,0,0,0,2934,2058,2032,477,372,559,147,84,120,0,0,0,206
F020,Joseph Mayo,Isiolo Ward 12,"4.252647, 36.040608",2025-03-02,Conventional,Irrigated,Yes,0,15,10,22,5,29,11,9,8,0,7,1,590,645,630,858,1380,1475,307,363,293,144,132,83,117
F021,Samuel Oneill,Isiolo Ward 4,"1.88467, 38.752392",2025-09-06,Organic,Rain-fed,Yes,35,15,1,41,0,44,0,45,41,0,0,0,229,188,115,924,1496,924,2291,1754,1344,0,0,0,222
F022,Daniel Jones,Isiolo Ward 11,"-1.990064, 41.658992",2025-07-09,Organic,Rain-fed,Yes,42,26,6,10,0,0,4,19,6,0,0,0,488,340,526,0,0,0,366,356,468,0,0,0,113
F023,John Francis,Isiolo Ward 9,"0.223418, 36.76722",2021-11-01,Conventional,Irrigated,Yes,78,0,42,0,7,5,48,4,41,0,0,0,1638,1050,1932,184,296,326,1278,2086,2106,0,0,0,225
F024,Allen Walker,Isiolo Ward 8,"-4.152218, 34.223035",2025-01-17,Conventional,Irrigated,Yes,0,7,65,10,14,0,34,3,0,5,14,17,3283,2099,1811,140,98,98,33,33,42,553,809,613,169
F025,Tiffany Mills,Isiolo Ward 1,"-1.524336, 41.429349",2025-01-05,Conventional,Rain-fed,No,29,0,20,6,1,3,1,2,2,9,10,0,620,700,940,99,119,132,50,74,122,120,60,150,83
F026,Ann Carr,Isiolo Ward 4,"3.209632, 41.775858",2021-01-22,Conventional,Irrigated,Yes,2,38,34,9,28,13,38,5,14,0,0,0,1584,1412,1894,720,781,677,347,746,480,0,0,0,181
F027,Erik Pearson,Isiolo Ward 8,"1.748204, 35.546653",2022-06-25,Organic,Rain-fed,No,0,0,40,40,18,31,47,7,0,28,1,0,1720,1880,1680,932,883,1640,98,84,105,9,12,13,212
F028,Regina Green,Isiolo Ward 10,"-2.420193, 36.096556",2025-01-06,Conventional,Rain-fed,No,52,0,62,18,0,3,13,0,28,0,7,8,1550,2356,2294,75,123,123,980,588,1316,489,442,482,191
F029,Brittany Butler,Isiolo Ward 2,"1.12831, 34.885653",2023-03-31,Conventional,Rain-fed,No,0,11,4,0,20,6,0,17,10,0,0,6,249,345,229,514,372,436,588,504,648,174,222,120,74
F030,Danielle Blair,Isiolo Ward 10,"-1.463827, 40.577351",2022-10-21,Organic,Irrigated,Yes,38,40,39,0,0,20,33,0,0,22,10,13,2111,1331,2511,600,400,760,0,0,0,413,698,503,215
F031,Shawn Tyler,Isiolo Ward 2,"1.010701, 34.94859",2023-02-17,Organic,Rain-fed,No,33,4,29,41,4,47,0,0,22,20,0,5,653,1461,972,1231,1881,1082,638,550,946,245,230,245,205
F032,Jaclyn Daniel,Isiolo Ward 6,"1.935191, 38.237982",2020-02-23,Conventional,Irrigated,No,2,13,1,0,9,0,23,8,2,14,13,11,132,177,161,72,99,117,172,180,176,445,656,428,96
F033,John Williams,Isiolo Ward 7,"-0.117808, 40.970436",2021-08-12,Conventional,Rain-fed,Yes,60,47,16,0,0,18,5,2,0,0,0,0,1237,1281,838,378,378,504,20,18,20,0,0,0,148
F034,Erik King,Isiolo Ward 12,"-2.545254, 36.572287",2021-09-06,Organic,Irrigated,Yes,23,22,0,0,0,0,2,16,6,0,2,0,176,198,330,0,0,0,332,456,306,20,30,26,71
F035,Lauren Barrett,Isiolo Ward 10,"-1.935793, 41.649031",2020-02-18,Conventional,Irrigated,Yes,29,8,6,23,0,10,16,9,4,0,0,0,264,294,234,460,460,260,291,182,221,0,0,0,105
F036,Patricia Lewis,Isiolo Ward 2,"2.781223, 37.622053",2024-05-20,Conventional,Rain-fed,Yes,14,0,14,0,8,5,9,0,14,5,0,3,644,588,322,232,294,231,378,420,406,66,132,75,72
F037,Randall Davis,Isiolo Ward 6,"2.916545, 36.120264",2025-04-24,Conventional,Rain-fed,Yes,12,14,0,15,0,29,23,0,0,0,0,0,140,182,98,812,1218,1102,0,0,0,0,0,0,93
F038,Tammy Shannon,Isiolo Ward 7,"-1.362494, 35.233179",2022-11-04,Conventional,Rain-fed,No,26,30,6,21,1,0,0,1,17,4,8,0,630,690,546,6,5,11,400,470,686,72,48,112,114
F039,Pamela Martinez,Isiolo Ward 3,"-0.709513, 37.293412",2023-10-08,Organic,Rain-fed,No,36,59,48,34,0,0,20,14,6,0,0,0,2997,1986,2122,0,0,0,234,292,328,0,0,0,217
