Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Jason Martin,Kajiado Ward 11,"2.956933, 41.84483",2024-03-15,Conventional,Irrigated,Yes,74,31,0,3,3,30,6,0,23,16,25,24,310,279,248,1350,1137,1455,736,575,874,1063,879,821,235
F002,Kevin Chase,Kajiado Ward 2,"4.142698, 40.447561",2024-12-02,Conventional,Irrigated,No,8,15,36,27,6,0,11,0,22,8,6,0,1920,1158,1326,66,78,66,616,1012,748,84,30,66,139
F003,Chelsea Richmond,Kajiado Ward 9,"-3.111573, 34.567056",2020-11-18,Organic,Irrigated,Yes,61,25,42,0,30,33,0,1,19,2,1,0,1233,1385,1283,975,1206,1521,641,486,959,6,11,9,214
F004,Bryan Garrison,Kajiado Ward 9,"-1.300428, 35.082429",2024-05-10,Organic,Rain-fed,Yes,0,42,32,0,9,0,0,25,0,0,2,7,1626,1316,1474,81,126,72,225,175,200,180,233,186,117
F005,Jacob Mcclure,Kajiado Ward 9,"3.793804, 34.390591",2022-03-26,Conventional,Irrigated,No,8,26,25,11,12,0,0,7,0,0,0,0,1362,1439,1040,108,108,144,91,56,84,0,0,0,89
F006,Abigail Mckee,Kajiado Ward 10,"-0.025279, 40.764671",2021-09-28,Conventional,Irrigated,Yes,30,23,0,26,25,6,9,0,23,19,0,0,138,184,345,594,396,445,828,874,1150,0,0,0,161
F007,Heather Prince,Kajiado Ward 8,"-1.938436, 39.405409",2022-05-23,Conventional,Irrigated,Yes,9,32,0,34,0,34,14,31,0,0,0,7,480,320,288,1394,748,1326,434,403,372,259,161,245,161
F008,Robert Webster,Kajiado Ward 2,"-0.000976, 35.819846",2024-11-08,Organic,Irrigated,Yes,44,32,16,0,0,14,12,0,1,7,0,7,624,1248,816,434,504,616,27,42,21,308,175,322,133
F009,Lynn Smith,Kajiado Ward 1,"3.965094, 38.334004",2025-06-03,Organic,Irrigated,No,22,30,1,17,71,21,26,9,53,0,0,0,171,309,274,1348,1419,1009,2634,1619,2015,0,0,0,250
F010,Carly Clark DDS,Kajiado Ward 5,"-0.876055, 38.324514",2022-09-11,Organic,Irrigated,No,46,34,41,0,0,0,3,0,3,0,0,8,2130,1523,1898,0,0,0,87,132,81,384,184,176,135
F011,Wendy Cardenas,Kajiado Ward 12,"2.79587, 38.148187",2023-05-02,Conventional,Irrigated,Yes,19,0,79,35,0,0,47,35,0,0,0,0,2212,2686,1975,0,0,0,210,455,455,0,0,0,215
F012,James Sanchez,Kajiado Ward 7,"-3.368938, 39.705092",2020-04-13,Conventional,Irrigated,Yes,11,3,24,0,9,10,3,9,0,0,0,0,1164,1179,888,374,580,449,81,81,63,0,0,0,69
F013,Emily Wang,Kajiado Ward 10,"-0.654794, 39.066593",2020-11-24,Conventional,Rain-fed,Yes,3,51,94,9,4,25,42,12,6,0,0,0,3236,4364,3510,790,836,786,222,312,324,0,0,0,246
F014,Laura Campos,Kajiado Ward 3,"1.382779, 38.532411",2024-05-20,Conventional,Irrigated,No,69,0,58,15,17,17,0,38,22,0,0,0,1334,1682,2726,952,544,799,1250,1150,1266,0,0,0,236
F015,Oscar Roberts,Kajiado Ward 4,"-2.374115, 37.901794",2020-09-10,Conventional,Irrigated,No,57,10,3,1,13,1,13,24,7,0,0,0,176,196,141,206,200,192,435,356,384,0,0,0,129
F016,Connie Fuentes,Kajiado Ward 9,"1.200978, 34.484446",2025-11-22,Organic,Irrigated,No,14,24,23,18,10,0,0,3,3,0,0,5,1096,948,929,70,100,120,129,111,183,170,105,195,100
F017,Roger Weiss,Kajiado Ward 6,"-0.884432, 38.471221",2021-11-13,Organic,Irrigated,Yes,20,16,6,0,7,6,0,9,25,1,13,0,406,448,308,214,331,254,658,676,1033,78,182,65,103
F018,Veronica Jackson,Kajiado Ward 9,"-4.199541, 36.735905",2025-07-26,Organic,Rain-fed,No,13,40,25,23,0,6,29,10,35,0,0,0,1215,1000,1015,126,222,144,1335,1185,1695,0,0,0,181
F019,Kenneth Morrow,Kajiado Ward 5,"-3.120361, 40.70412",2024-11-09,Organic,Rain-fed,Yes,75,0,16,12,56,6,23,0,24,0,0,0,688,624,544,808,820,948,1128,984,1200,0,0,0,212
F020,Susan Anderson,Kajiado Ward 6,"-3.195348, 35.634367",2024-09-13,Organic,Rain-fed,No,29,32,3,8,0,15,0,2,1,0,0,0,615,361,552,390,720,720,61,64,65,0,0,0,90
F021,Pam Harris,Kajiado Ward 6,"2.754501, 38.182967",2025-03-28,Organic,Irrigated,Yes,55,13,43,2,27,14,31,13,32,0,0,0,1472,2181,2018,744,830,688,993,923,1608,0,0,0,230
F022,James Bell,Kajiado Ward 7,"1.393686, 40.368741",2021-03-18,Organic,Rain-fed,No,40,11,22,1,0,0,9,2,23,0,0,0,836,759,1199,0,0,0,766,907,1011,0,0,0,108
F023,James Wall,Kajiado Ward 5,"-3.205969, 39.634089",2025-05-12,Conventional,Irrigated,No,28,61,38,0,0,0,16,0,30,0,0,0,2396,1407,1675,0,0,0,1500,1380,1500,0,0,0,173
F024,Ashley Lane,Kajiado Ward 8,"2.967789, 34.610294",2023-04-30,Organic,Rain-fed,No,10,10,25,0,0,0,6,25,0,0,9,5,905,1195,865,0,0,0,250,350,175,242,200,326,90
F025,Lynn Walker,Kajiado Ward 11,"2.62342, 36.105315",2022-11-27,Conventional,Rain-fed,Yes,8,9,27,9,7,7,9,1,11,5,5,6,729,1026,936,294,378,308,296,271,498,306,340,255,104
F026,Nicole Gross,Kajiado Ward 12,"-1.046435, 38.394322",2025-01-11,Organic,Irrigated,Yes,24,29,0,18,23,22,2,0,29,0,13,9,174,435,174,1218,1291,1313,1102,754,1247,508,569,335,169
F027,Natalie James,Kajiado Ward 3,"-0.340415, 39.845248",2020-01-27,Conventional,Rain-fed,Yes,23,43,0,41,7,36,33,0,0,0,24,2,387,516,645,1632,826,956,0,0,0,374,234,218,209
F028,Erin Garcia,Kajiado Ward 4,"-4.165208, 36.669033",2022-01-05,Organic,Irrigated,Yes,59,31,11,0,21,0,0,0,0,0,13,18,900,574,742,126,294,273,0,0,0,536,1056,655,153
F029,Adam Rios,Kajiado Ward 2,"-1.930548, 38.736472",2024-05-03,Conventional,Irrigated,Yes,40,50,49,6,2,0,0,3,0,0,0,0,2412,1971,2554,10,14,28,15,15,21,0,0,0,150
F030,Dr. Curtis Meyer,Kajiado Ward 5,"4.155728, 41.165157",2023-12-08,Conventional,Irrigated,Yes,25,6,29,22,0,0,0,32,14,0,0,0,1336,1457,1226,0,0,0,768,932,1148,0,0,0,128
F031,Caitlin Tucker,Kajiado Ward 4,"4.06281, 35.789009",2025-11-29,Conventional,Rain-fed,No,5,0,23,1,14,3,0,8,0,0,0,0,529,782,460,133,248,236,40,80,104,0,0,0,54
F032,Lauren Garcia,Kajiado Ward 6,"0.159941, 38.120404",2022-07-10,Organic,Irrigated,Yes,72,23,0,9,2,37,22,47,19,0,0,0,184,276,184,951,1087,865,1287,1002,710,0,0,0,231
F033,Stacy Powell,Kajiado Ward 1,"-0.744183, 41.119044",2025-11-14,Conventional,Rain-fed,No,20,1,11,16,22,14,8,42,0,0,0,0,364,425,233,834,800,772,378,420,252,0,0,0,134
F034,Daniel Nelson,Kajiado Ward 2,"1.394794, 35.113956",2022-07-21,Conventional,Irrigated,Yes,77,48,45,5,32,0,0,2,7,0,0,0,2493,2652,2358,288,480,384,304,334,171,0,0,0,216
F035,Karen Lopez,Kajiado Ward 4,"-1.076965, 36.562117",2024-10-24,Organic,Irrigated,No,13,7,20,5,4,3,5,0,16,0,0,0,971,862,796,198,189,149,736,416,736,0,0,0,73
F036,Peggy Santos,Kajiado Ward 11,"-1.737991, 39.500238",2023-04-15,Organic,Rain-fed,Yes,0,14,34,7,0,13,18,0,19,11,0,12,1706,834,1148,390,403,273,874,494,779,324,576,288,128
F037,Beverly Kramer,Kajiado Ward 4,"-1.166901, 41.143478",2022-10-25,Conventional,Rain-fed,No,0,31,31,24,12,0,17,21,7,0,17,19,1178,1147,1674,180,108,144,350,490,483,886,522,603,179
F038,Michael Jacobson,Kajiado Ward 11,"-4.292114, 37.280648",2021-07-27,Conventional,Irrigated,No,36,75,2,14,15,18,6,31,4,0,0,0,834,1112,798,828,549,642,585,545,495,0,0,0,201
F039,William Evans,Kajiado Ward 6,"-0.942632, 37.278309",2023-10-13,Organic,Rain-fed,No,31,8,17,0,4,0,0,5,1,4,8,1,852,898,692,24,52,44,95,80,69,135,79,70,79
F040,Richard Holt,Kajiado Ward 6,"1.41238, 37.535509",2021-05-22,Organic,Irrigated,Yes,72,0,0,36,0,14,35,21,14,21,0,0,0,0,0,336,518,644,525,889,826,0,0,0,213
F041,Megan Rowe,Kajiado Ward 4,"-4.346307, 37.505913",2023-08-28,Conventional,Irrigated,Yes,0,38,22,0,0,13,6,21,21,0,0,0,934,1148,990,325,650,286,903,1008,1155,0,0,0,121
F042,Dustin Larson,Kajiado Ward 2,"0.98713, 36.183231",2025-05-31,Organic,Irrigated,Yes,12,7,19,0,14,11,0,19,2,10,0,0,982,542,801,646,658,545,191,251,347,0,0,0,94
F043,Jeremy Sampson,Kajiado Ward 11,"2.679246, 37.113796",2023-12-30,Conventional,Irrigated,Yes,23,19,9,0,32,0,8,22,5,0,7,0,393,402,588,352,192,192,404,346,543,35,35,105,125
F044,Kimberly Martin,Kajiado Ward 6,"-2.807698, 40.031654",2023-08-16,Conventional,Irrigated,No,79,24,24,15,0,26,32,0,0,12,2,0,816,1056,1248,1274,988,884,0,0,0,28,16,10,214
F045,Andrew Herrera MD,Kajiado Ward 2,"-2.53065, 39.38121",2022-08-09,Conventional,Irrigated,No,3,63,0,6,40,0,0,32,17,10,0,28,315,441,882,400,440,400,889,645,1066,1316,1400,700,199
F046,Kayla Smith,Kajiado Ward 9,"-3.846292, 36.749654",2022-04-15,Organic,Irrigated,No,64,0,11,3,10,32,26,8,0,20,16,0,396,473,462,1156,794,1446,112,40,112,160,160,192,190
F047,Richard Davis,Kajiado Ward 8,"-1.986068, 35.082905",2020-11-08,Organic,Rain-fed,Yes,21,69,0,18,39,21,42,0,18,0,0,0,966,828,483,1458,1107,1167,432,846,864,0,0,0,228
F048,Beth Everett,Kajiado Ward 7,"3.619094, 40.108309",2022-10-11,Organic,Irrigated,Yes,11,3,0,15,8,0,13,2,3,7,0,1,42,33,39,80,120,104,102,70,126,20,21,48,63
F049,Daniel Collins,Kajiado Ward 5,"-1.924357, 41.207038",2020-01-13,Conventional,Rain-fed,No,76,2,0,39,0,23,40,0,30,0,0,28,10,22,30,460,805,483,780,1320,660,980,1288,952,238
