Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Cathy Martinez,Kakamega Ward 5,"-2.892742, 37.708038",2025-06-19,Conventional,Rain-fed,Yes,40,4,12,10,0,20,0,29,15,0,0,0,536,332,536,740,480,700,797,579,712,0,0,0,130
F002,Christopher Richardson,Kakamega Ward 6,"0.847487, 41.388591",2023-07-18,Organic,Rain-fed,Yes,13,17,73,11,10,32,25,19,0,0,0,0,3854,2691,3365,1008,822,924,114,285,209,0,0,0,200
F003,Sarah Aguilar,Kakamega Ward 12,"-3.377256, 38.909408",2020-06-24,Conventional,Irrigated,No,0,71,13,29,1,8,11,0,0,0,11,19,1405,991,1319,231,343,337,0,0,0,881,686,957,163
F004,Robert George,Kakamega Ward 10,"1.172054, 36.195868",2020-06-04,Organic,Rain-fed,No,0,2,18,13,16,24,3,22,25,0,8,0,706,524,712,1088,736,800,679,886,1157,48,88,96,131
F005,Jessica Sanchez,Kakamega Ward 1,"0.747227, 37.127084",2022-10-08,Conventional,Irrigated,No,0,47,53,10,0,7,26,27,3,0,0,0,1966,2195,1942,350,147,350,426,204,369,0,0,0,173
F006,Samantha Ballard,Kakamega Ward 4,"3.836606, 38.246943",2021-08-20,Organic,Rain-fed,Yes,0,0,48,21,3,5,13,17,6,0,0,0,1008,1728,2400,247,121,158,421,366,486,0,0,0,113
F007,David Monroe,Kakamega Ward 11,"-2.301155, 41.250615",2021-09-22,Conventional,Irrigated,Yes,20,51,22,29,0,6,0,40,18,0,0,0,1068,1111,1469,162,246,246,1168,1100,1136,0,0,0,186
F008,David Clark,Kakamega Ward 5,"0.839323, 39.405197",2022-09-18,Organic,Rain-fed,No,7,26,52,6,12,0,0,0,19,0,0,0,1820,1378,1508,72,168,84,665,741,779,0,0,0,122
F009,Rebecca Brown,Kakamega Ward 4,"-1.822934, 39.681206",2024-03-01,Conventional,Irrigated,No,64,24,75,4,4,0,0,40,0,0,0,0,3285,3585,3366,40,40,44,520,400,600,0,0,0,211
F010,Gary Sanchez,Kakamega Ward 12,"-4.409022, 40.62433",2025-11-18,Organic,Irrigated,Yes,22,0,26,12,4,2,18,23,11,0,31,2,962,884,520,128,96,106,504,652,747,437,402,231,151
F011,Cindy Contreras,Kakamega Ward 4,"0.332402, 37.643286",2021-08-31,Organic,Rain-fed,No,50,21,6,0,18,10,4,28,31,0,0,0,498,435,543,554,556,398,1412,1461,1675,0,0,0,168
F012,Melissa Gardner,Kakamega Ward 10,"4.133497, 35.876892",2025-11-21,Conventional,Rain-fed,No,29,10,23,0,11,5,0,5,0,0,0,0,633,1234,1125,155,280,245,70,60,30,0,0,0,83
F013,Laura Petersen,Kakamega Ward 5,"-3.503393, 37.54717",2023-12-08,Organic,Rain-fed,No,29,0,6,16,0,0,4,6,0,0,11,7,240,174,222,0,0,0,30,60,84,322,375,297,79
F014,Andrew Hunter,Kakamega Ward 3,"3.128298, 38.983195",2021-02-09,Conventional,Irrigated,Yes,0,0,13,57,10,63,0,50,25,0,0,0,286,598,507,3048,1884,2809,1550,1250,1425,0,0,0,218
F015,Darren Peters,Kakamega Ward 1,"-3.711737, 35.487683",2024-10-24,Organic,Irrigated,Yes,18,9,13,5,1,0,5,8,0,0,0,4,736,539,548,10,11,8,104,120,56,100,144,120,63
F016,Kelsey Smith,Kakamega Ward 3,"0.940853, 36.732846",2024-07-13,Organic,Rain-fed,Yes,58,12,0,15,34,19,3,21,4,0,12,2,72,84,180,1213,993,1031,406,303,411,244,208,172,180
F017,Timothy Roberts,Kakamega Ward 9,"3.166388, 40.740233",2024-05-10,Conventional,Rain-fed,No,54,52,23,6,24,0,33,1,19,0,0,0,1648,1746,1487,168,216,288,433,661,715,0,0,0,212
F018,Stephen Winters,Kakamega Ward 2,"-0.574889, 37.684005",2024-12-20,Conventional,Irrigated,Yes,33,23,3,9,7,0,16,0,12,0,0,0,408,267,379,70,63,49,276,564,588,0,0,0,103
F019,Adrian Thompson,Kakamega Ward 12,"3.207471, 35.391616",2020-04-10,Organic,Irrigated,Yes,14,53,0,19,0,26,23,27,27,0,0,0,636,530,318,780,728,988,1269,837,1296,0,0,0,189
F020,April Stewart,Kakamega Ward 6,"-1.412407, 38.720911",2024-01-01,Conventional,Irrigated,Yes,0,0,30,31,3,0,0,23,33,8,5,2,690,720,990,15,39,42,1091,1685,1778,121,108,132,135
F021,Jessica Acosta,Kakamega Ward 11,"-1.515112, 36.989671",2023-09-28,Conventional,Irrigated,Yes,69,17,0,0,43,24,43,9,0,0,0,0,221,102,119,1266,1275,1107,63,72,108,0,0,0,205
F022,Eddie Young,Kakamega Ward 6,"1.401652, 41.333121",2020-08-11,Conventional,Rain-fed,No,51,0,92,0,38,0,22,12,5,0,0,0,4324,3220,2024,304,266,304,311,306,202,0,0,0,220
F023,Brittney Smith,Kakamega Ward 8,"0.026783, 41.70307",2024-05-08,Conventional,Irrigated,Yes,28,21,35,0,0,18,6,0,0,0,0,0,1680,1400,1435,630,558,558,0,0,0,0,0,0,108
F024,Steven Navarro,Kakamega Ward 2,"1.276256, 35.121671",2020-12-10,Organic,Rain-fed,No,9,65,38,26,59,6,34,0,0,0,0,0,1150,2799,1302,890,900,878,0,0,0,0,0,0,237
F025,Sarah Barrett,Kakamega Ward 2,"1.267182, 35.752399",2021-11-10,Conventional,Rain-fed,Yes,52,0,61,0,19,5,38,1,0,0,0,0,2379,2562,1891,520,382,330,11,15,5,0,0,0,176
F026,Kevin Ellison,Kakamega Ward 7,"-0.964394, 34.90681",2022-08-18,Conventional,Irrigated,No,5,14,60,14,10,41,1,11,0,0,0,0,2070,2656,1598,1903,2048,1124,99,55,99,0,0,0,156
F027,Aaron Garcia,Kakamega Ward 4,"3.568318, 41.526708",2024-12-16,Conventional,Rain-fed,No,59,58,18,16,20,13,20,0,0,0,0,14,1018,1390,1596,519,729,844,0,0,0,700,294,588,218
F028,Brenda Flores,Kakamega Ward 2,"1.6944, 35.268484",2023-01-15,Organic,Rain-fed,No,12,63,35,24,0,0,0,34,30,0,0,0,1652,1799,1778,0,0,0,1256,1472,1468,0,0,0,198
F029,Jessica Spencer,Kakamega Ward 11,"-1.56915, 36.998839",2023-08-21,Organic,Irrigated,No,0,15,30,18,25,2,1,2,0,21,3,11,1005,900,825,475,171,217,10,26,28,331,467,307,128
F030,Melissa Brock,Kakamega Ward 8,"-2.128737, 39.37616",2024-02-28,Organic,Rain-fed,Yes,0,23,38,13,2,27,0,0,7,0,5,0,1333,1772,1203,1320,1079,587,238,343,308,55,30,30,115
F031,Stephen Norris,Kakamega Ward 11,"0.317424, 36.990655",2023-06-17,Organic,Rain-fed,Yes,56,53,7,0,0,0,27,3,42,17,0,8,732,549,1011,0,0,0,1134,2130,1908,344,344,208,213
F032,Chelsea Garcia,Kakamega Ward 10,"2.389117, 34.763593",2021-07-14,Conventional,Irrigated,Yes,26,18,12,13,5,20,8,5,10,0,0,0,504,432,450,605,705,695,455,515,320,0,0,0,117
F033,William Meyer,Kakamega Ward 4,"-1.868942, 35.995646",2023-05-23,Conventional,Rain-fed,Yes,12,47,15,0,0,26,18,18,12,0,8,14,1130,1305,1096,1040,728,1248,450,570,642,460,748,516,170
F034,Wanda Washington,Kakamega Ward 6,"1.783241, 40.545042",2023-02-22,Organic,Rain-fed,Yes,20,3,31,0,19,12,19,22,27,0,0,0,1202,762,1378,474,461,419,1005,897,942,0,0,0,153
F035,Patrick Rivers,Kakamega Ward 6,"0.545212, 34.00208",2023-12-15,Organic,Rain-fed,Yes,92,0,0,35,0,27,0,4,43,0,14,5,0,0,0,621,1215,1080,2186,2186,1959,350,283,286,220
F036,Miss Melissa Medina,Kakamega Ward 5,"0.999227, 39.748799",2022-04-14,Conventional,Rain-fed,Yes,14,0,14,0,0,11,12,0,2,0,0,4,602,532,602,275,297,286,84,88,100,100,100,92,57
F037,Chelsea Gonzalez,Kakamega Ward 11,"3.650733, 34.888521",2025-01-22,Conventional,Irrigated,No,6,0,29,6,2,17,15,1,4,15,17,0,1073,957,1276,711,781,523,177,111,211,187,204,204,112
F038,Charles Chen,Kakamega Ward 8,"0.999147, 40.748814",2023-12-16,Organic,Irrigated,Yes,41,0,0,32,15,0,39,4,0,22,18,31,0,0,0,180,225,90,52,44,36,862,1376,1696,202
F039,Ariel Pope,Kakamega Ward 5,"-0.560029, 39.897753",2025-02-26,Conventional,Rain-fed,No,9,8,11,28,1,31,3,0,14,0,0,0,357,576,484,666,691,1157,280,336,406,0,0,0,105
F040,Emily Scott,Kakamega Ward 6,"-4.221856, 41.485019",2020-09-21,Conventional,Rain-fed,No,23,1,0,0,11,0,0,5,16,5,0,2,10,13,15,66,99,88,459,361,424,90,62,80,63
F041,Steven Murillo,Kakamega Ward 7,"2.042183, 35.329267",2022-05-28,Organic,Rain-fed,No,6,6,19,2,4,11,8,0,0,0,0,0,694,736,496,529,423,374,0,0,0,0,0,0,56
F042,Tanya Stevens,Kakamega Ward 1,"-2.048788, 35.165675",2025-03-02,Organic,Rain-fed,Yes,0,23,78,0,1,24,22,0,44,5,0,21,3258,3506,2758,634,557,779,2068,1496,1320,861,588,1050,218
