Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Breanna Smith,Kericho Ward 4,"0.710625, 35.438765",2025-11-03,Conventional,Rain-fed,Yes,8,12,9,10,2,12,0,11,1,0,0,0,363,405,453,346,562,370,191,141,161,0,0,0,65
F002,Hayden Allen,Kericho Ward 2,"4.454462, 39.212789",2020-03-30,Conventional,Irrigated,Yes,80,7,0,33,45,0,16,4,23,0,1,0,70,63,105,540,225,540,1144,1056,649,11,9,15,209
F003,Angel Jones,Kericho Ward 4,"2.104775, 36.191325",2025-01-04,Organic,Rain-fed,No,11,13,0,7,4,0,13,1,8,0,0,0,91,104,78,36,24,52,405,359,277,0,0,0,57
F004,Allison Howell,Kericho Ward 7,"-3.620497, 36.458376",2025-10-21,Conventional,Rain-fed,Yes,0,0,22,5,1,3,0,1,9,2,6,5,462,506,440,156,126,99,343,239,233,260,230,130,54
F005,Christopher Higgins,Kericho Ward 10,"4.173411, 37.651147",2023-02-05,Conventional,Rain-fed,Yes,7,7,5,13,15,6,9,1,14,0,0,0,184,205,287,393,321,279,308,474,355,0,0,0,77
F006,Susan Sexton,Kericho Ward 6,"4.002533, 39.450142",2023-03-26,Conventional,Rain-fed,No,51,68,31,5,2,4,0,0,23,0,0,0,2162,2130,1684,104,194,142,1035,460,1035,0,0,0,184
F007,Jose Olsen,Kericho Ward 6,"-0.31206, 36.96607",2021-10-10,Conventional,Rain-fed,Yes,0,18,20,3,9,0,0,3,11,0,0,0,746,728,706,54,90,108,470,533,410,0,0,0,64
F008,Drew Reed,Kericho Ward 12,"-1.291048, 35.621214",2021-02-08,Organic,Rain-fed,No,37,15,14,2,27,0,21,5,2,9,10,2,626,752,628,324,162,378,138,149,116,196,154,218,144
F009,Brian Yoder,Kericho Ward 8,"2.763797, 40.071231",2023-05-23,Conventional,Irrigated,Yes,6,5,22,17,31,6,20,0,42,0,0,0,1099,1042,947,518,391,541,1932,1848,1176,0,0,0,149
F010,Christopher Butler,Kericho Ward 2,"-0.406996, 34.760611",2025-05-30,Conventional,Rain-fed,Yes,6,29,8,1,10,3,25,10,12,0,0,0,662,529,494,222,145,232,548,422,330,0,0,0,104
F011,Hunter Chan,Kericho Ward 2,"3.266849, 36.64722",2024-10-13,Organic,Irrigated,No,16,0,62,0,28,0,0,42,10,16,5,0,1674,2914,2480,140,196,280,932,900,756,70,25,25,179
F012,Patrick Martinez,Kericho Ward 2,"-2.861636, 38.174809",2021-06-20,Organic,Rain-fed,Yes,0,46,78,24,24,0,0,36,0,0,0,0,3842,3052,4314,336,192,168,180,288,360,0,0,0,208
F013,Steven Gonzalez,Kericho Ward 7,"-1.546699, 40.197795",2021-05-11,Organic,Irrigated,No,0,17,20,16,16,0,6,0,2,11,4,0,1221,981,719,208,160,160,42,76,76,24,48,48,92
F014,Jason Conner,Kericho Ward 5,"-2.88908, 34.016671",2024-10-11,Conventional,Rain-fed,Yes,35,15,32,8,17,4,4,1,50,0,0,22,1825,1242,1189,322,400,279,2007,1864,2111,990,1078,968,188
F015,Alejandro Williams,Kericho Ward 12,"4.233341, 34.342215",2025-07-31,Organic,Rain-fed,No,58,44,28,14,17,0,23,0,0,0,0,3,1388,1356,1512,238,85,221,0,0,0,132,141,117,187
F016,Nicole House,Kericho Ward 6,"-3.735257, 38.45776",2021-10-23,Organic,Irrigated,No,17,42,0,0,15,20,6,4,6,0,0,0,336,420,210,610,930,665,288,304,198,0,0,0,110
F017,Melissa Lewis,Kericho Ward 2,"0.383785, 34.152137",2024-11-07,Organic,Rain-fed,Yes,0,0,46,19,10,15,5,0,10,8,0,0,1012,1564,1196,595,845,420,240,410,460,0,0,0,113
F018,Miss Patricia Petersen,Kericho Ward 2,"0.297314, 35.949552",2022-03-14,Conventional,Rain-fed,Yes,28,13,22,6,18,0,9,9,0,0,0,0,773,1186,816,234,270,234,90,54,117,0,0,0,105
F019,Whitney Walters,Kericho Ward 4,"2.385712, 38.495962",2023-10-07,Conventional,Rain-fed,Yes,20,14,0,18,18,26,16,0,2,0,9,0,182,196,182,1026,772,672,94,92,60,126,54,90,123
F020,Renee Austin,Kericho Ward 1,"-1.583723, 37.872526",2022-09-17,Organic,Irrigated,Yes,0,55,48,11,0,11,47,21,16,0,0,0,3005,2978,1523,418,440,275,925,776,968,0,0,0,209
F021,Leon Spencer Jr.,Kericho Ward 10,"2.69808, 40.747525",2020-03-28,Conventional,Irrigated,Yes,37,25,13,20,0,0,0,0,16,0,0,0,590,611,563,0,0,0,416,432,720,0,0,0,111
F022,Christina Jackson,Kericho Ward 12,"3.621097, 38.260205",2020-12-29,Organic,Rain-fed,No,31,28,16,0,0,0,5,9,19,0,0,0,776,632,676,0,0,0,537,546,981,0,0,0,108
F023,Marie Perez,Kericho Ward 8,"-4.399593, 40.974485",2024-05-05,Conventional,Rain-fed,Yes,7,28,15,0,22,11,12,0,10,0,0,0,751,620,809,451,572,539,420,350,390,0,0,0,105
F024,Shannon Harper,Kericho Ward 12,"4.375293, 34.382118",2023-12-16,Organic,Irrigated,No,0,28,4,5,21,37,0,16,28,0,0,0,480,384,532,2165,1236,1643,844,1372,1020,0,0,0,139
F025,Jamie Mendez,Kericho Ward 11,"0.939544, 39.132069",2022-10-15,Organic,Irrigated,Yes,0,52,0,30,6,0,26,10,25,0,0,0,572,468,728,66,36,30,650,1325,730,0,0,0,149
F026,Rita Bush,Kericho Ward 1,"3.586224, 37.995821",2025-02-12,Conventional,Rain-fed,Yes,0,22,14,5,9,9,0,0,9,0,0,0,802,700,898,378,513,324,387,315,270,0,0,0,68
F027,Brandon Donaldson,Kericho Ward 2,"-2.306875, 38.369027",2022-01-08,Conventional,Rain-fed,Yes,17,5,30,5,7,12,9,9,9,0,0,4,1525,790,1440,545,428,384,405,486,531,124,188,152,107
F028,Robin Jimenez,Kericho Ward 8,"2.218058, 40.018211",2022-08-24,Conventional,Rain-fed,Yes,11,26,9,9,0,12,0,5,17,16,0,1,555,640,642,348,528,336,881,534,613,40,28,33,106
F029,Adrian Stewart,Kericho Ward 8,"-1.343116, 38.389664",2020-09-10,Conventional,Rain-fed,No,23,31,6,3,8,0,28,29,25,12,0,8,596,518,533,120,72,88,1007,1457,990,264,176,272,173
F030,Stephanie Hernandez,Kericho Ward 2,"1.060028, 40.080151",2021-04-06,Conventional,Rain-fed,No,0,1,12,15,12,14,0,5,7,0,0,0,260,389,579,626,716,756,323,291,351,0,0,0,66
