Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Rachel Obrien,Kiambu Ward 9,"-2.645624, 38.370545",2024-09-20,Conventional,Rain-fed,Yes,0,0,6,18,28,31,19,0,1,17,18,0,138,234,258,872,1222,1442,34,31,21,162,216,162,138
F002,Kenneth Collins,Kiambu Ward 1,"1.698376, 36.05694",2025-08-26,Organic,Irrigated,Yes,60,2,0,8,17,0,37,8,6,30,18,13,12,20,16,170,102,221,284,278,228,737,881,907,199
F003,Laura Johnson,Kiambu Ward 1,"-1.057988, 34.472507",2022-01-05,Organic,Irrigated,Yes,22,40,50,18,16,0,34,30,10,0,0,0,2590,1420,2110,80,144,128,690,690,680,0,0,0,220
F004,Donald Hicks,Kiambu Ward 6,"1.827919, 37.376411",2023-12-20,Organic,Irrigated,No,9,0,0,17,28,1,18,23,6,6,20,6,0,0,0,278,404,216,400,489,253,396,260,398,134
F005,Joshua Rivera,Kiambu Ward 8,"0.238588, 38.74436",2022-05-09,Conventional,Rain-fed,No,60,0,51,7,4,5,0,30,0,0,0,0,2397,1530,1530,244,187,231,150,180,300,0,0,0,157
F006,Jodi Dennis,Kiambu Ward 11,"-2.602596, 39.65813",2022-09-19,Conventional,Rain-fed,Yes,3,16,0,2,0,15,13,8,26,5,0,19,240,80,112,540,315,465,1320,854,686,893,703,874,107
F007,Emily Turner,Kiambu Ward 12,"0.458484, 37.948566",2023-02-07,Organic,Irrigated,Yes,22,1,34,0,11,33,15,1,23,0,0,0,1640,1339,1137,1694,1628,1166,566,1044,1003,0,0,0,140
F008,Christopher Moran,Kiambu Ward 5,"-3.405035, 39.636429",2020-11-03,Organic,Irrigated,No,1,14,1,6,2,7,12,2,3,9,10,0,105,116,222,223,162,191,131,159,161,100,110,50,67
F009,Michael Miller,Kiambu Ward 6,"-1.764236, 40.018966",2023-01-24,Conventional,Rain-fed,No,32,0,40,0,22,22,18,0,4,3,0,0,1480,1760,1000,902,814,1430,80,164,112,0,0,0,141
F010,William Gutierrez,Kiambu Ward 11,"1.987837, 41.25834",2020-06-20,Conventional,Rain-fed,No,23,38,0,0,0,9,4,37,48,29,37,0,266,266,342,387,378,441,1581,2552,2652,370,444,407,225
F011,Michael Robinson,Kiambu Ward 10,"0.593816, 36.558481",2021-02-10,Organic,Rain-fed,No,32,17,31,0,3,4,15,0,33,2,12,16,860,1041,1540,173,206,202,1254,990,1485,848,600,712,165
