Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Tammy Ross,Kilifi Ward 10,"-2.692464, 34.826725",2020-12-31,Conventional,Rain-fed,Yes,38,48,0,0,21,13,9,13,0,0,0,0,720,480,336,610,712,407,91,143,104,0,0,0,142
F002,Jessica Bishop,Kilifi Ward 5,"3.87587, 35.285983",2024-02-03,Organic,Irrigated,Yes,12,0,0,10,21,0,8,18,26,1,8,2,0,0,0,231,105,294,1182,1518,1422,178,170,162,106
F003,David Stewart,Kilifi Ward 11,"-3.35624, 38.52843",2022-08-03,Organic,Rain-fed,Yes,9,22,16,4,4,0,24,15,7,17,0,0,940,978,852,56,44,56,318,236,264,0,0,0,118
F004,Bobby Perez,Kilifi Ward 8,"-4.495467, 41.786811",2021-12-21,Organic,Irrigated,No,37,4,0,0,53,0,8,24,0,40,30,9,40,52,48,583,477,530,312,264,120,498,672,861,205
F005,Kathleen Cruz,Kilifi Ward 12,"-2.085164, 38.219549",2022-06-30,Conventional,Irrigated,No,75,24,2,22,40,30,15,7,0,0,0,0,350,344,326,1280,1340,1000,105,56,98,0,0,0,215
F006,Rebecca Smith,Kilifi Ward 12,"2.541796, 38.86922",2020-09-18,Conventional,Rain-fed,Yes,8,49,0,24,0,25,10,0,5,0,0,0,490,245,441,625,1050,975,130,250,250,0,0,0,121
F007,Kayla Carr,Kilifi Ward 2,"-0.637071, 37.225725",2020-06-11,Conventional,Rain-fed,No,20,70,71,29,0,2,0,26,0,0,0,0,2548,4179,3962,86,70,78,312,364,286,0,0,0,218
F008,Douglas Valentine,Kilifi Ward 4,"-1.123048, 34.838131",2022-02-22,Organic,Rain-fed,Yes,14,0,25,0,0,1,5,15,0,0,6,1,700,1125,675,45,25,35,90,210,120,86,119,113,67
F009,Cody Gallagher,Kilifi Ward 8,"-0.832961, 34.441201",2020-06-15,Organic,Irrigated,No,14,11,19,3,0,8,0,6,12,8,7,0,634,1055,754,192,192,200,360,576,312,98,70,49,88
F010,Kenneth Fischer,Kilifi Ward 10,"-1.611801, 35.122358",2023-02-22,Conventional,Irrigated,Yes,68,7,0,3,40,4,35,12,42,0,0,0,77,35,56,576,516,340,1758,1380,1938,0,0,0,211
F011,Andrew Lopez,Kilifi Ward 8,"-0.261437, 36.817447",2021-05-20,Organic,Rain-fed,No,49,36,35,0,14,16,0,16,10,3,0,0,1267,1726,1091,852,638,768,498,530,540,0,0,0,179
F012,Lisa Blevins,Kilifi Ward 9,"1.653254, 34.836106",2022-04-02,Organic,Irrigated,Yes,38,12,10,10,0,5,25,0,2,0,8,9,504,450,480,190,140,165,64,56,86,454,418,438,119
F013,Alexandra Collins,Kilifi Ward 3,"-0.373277, 39.892154",2022-08-15,Conventional,Rain-fed,Yes,5,63,48,0,0,31,0,13,66,0,0,0,1527,2721,2820,1488,620,1519,3469,2109,2769,0,0,0,226
F014,Jeff Nelson,Kilifi Ward 5,"3.572738, 39.45431",2020-03-29,Conventional,Irrigated,Yes,9,23,39,27,0,0,0,0,12,0,0,0,1760,895,1292,0,0,0,588,408,528,0,0,0,110
F015,Eric Leblanc,Kilifi Ward 10,"-4.096065, 34.183526",2020-09-24,Conventional,Irrigated,No,31,8,14,11,7,5,0,0,14,0,0,0,720,494,418,309,145,287,490,546,560,0,0,0,90
