Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Matthew Moran,Kirinyaga Ward 8,"2.98612, 36.720749",2020-04-12,Organic,Irrigated,No,3,12,21,2,9,0,0,5,0,0,2,0,1083,609,789,81,81,135,50,60,30,10,22,14,54
F002,Amanda Hendricks DVM,Kirinyaga Ward 6,"-4.283032, 37.827542",2025-08-24,Conventional,Rain-fed,No,22,39,0,5,26,4,12,5,1,0,0,0,273,390,507,314,466,394,84,59,60,0,0,0,114
F003,John Sherman,Kirinyaga Ward 4,"1.185626, 38.379756",2022-02-01,Organic,Rain-fed,Yes,32,0,9,7,40,34,0,35,6,19,18,0,243,234,333,1244,1118,2186,778,658,611,252,108,108,200
F004,Courtney King,Kirinyaga Ward 12,"-2.669037, 39.284575",2024-05-14,Organic,Rain-fed,No,24,49,0,66,41,24,43,1,0,0,0,0,490,245,588,1044,1086,1483,6,5,6,0,0,0,248
F005,Christopher Russell,Kirinyaga Ward 9,"-0.951484, 35.772896",2021-04-12,Organic,Irrigated,Yes,14,0,74,38,1,28,36,13,0,0,0,0,2886,2886,2516,1242,1131,1330,195,91,156,0,0,0,204
F006,Kevin Young,Kirinyaga Ward 5,"-1.384298, 37.971156",2023-11-20,Organic,Irrigated,Yes,53,65,20,8,27,0,26,0,0,0,0,0,1000,850,1625,351,324,351,0,0,0,0,0,0,199
F007,Antonio Berger,Kirinyaga Ward 7,"-2.140413, 37.268272",2025-03-30,Conventional,Rain-fed,Yes,0,94,68,2,7,1,0,8,24,0,0,0,4366,2494,2274,138,84,97,704,1152,1312,0,0,0,204
F008,Sara Lewis,Kirinyaga Ward 12,"0.83512, 41.749818",2025-09-22,Conventional,Rain-fed,No,9,19,41,0,0,5,30,0,33,13,1,20,1647,1802,1300,160,140,155,1122,1221,660,834,669,590,171
F009,Rebecca Moore,Kirinyaga Ward 2,"-2.365967, 34.361394",2025-02-28,Organic,Irrigated,No,36,0,42,9,19,3,0,16,2,0,0,0,966,1176,1260,275,392,408,164,156,188,0,0,0,127
F010,Erica Meyer,Kirinyaga Ward 1,"1.129139, 34.423505",2023-04-20,Conventional,Rain-fed,Yes,0,46,48,1,0,32,18,2,2,0,0,0,2570,1662,1988,832,672,1504,92,94,82,0,0,0,149
F011,Mary Baxter,Kirinyaga Ward 7,"-0.959861, 40.772441",2024-09-02,Organic,Rain-fed,Yes,9,0,54,0,11,24,3,30,19,0,0,18,1620,2268,1404,1262,937,1013,816,940,530,882,360,864,168
F012,Karen Bennett,Kirinyaga Ward 11,"1.771222, 35.682573",2021-09-04,Organic,Rain-fed,Yes,45,29,28,19,10,0,0,7,0,5,14,0,1489,1548,1213,120,80,130,84,35,91,70,84,98,157
F013,Steven Reynolds,Kirinyaga Ward 6,"-1.405195, 35.454813",2024-07-26,Conventional,Irrigated,Yes,26,19,22,3,15,20,4,1,0,0,0,0,1171,1061,825,670,925,760,9,10,15,0,0,0,110
F014,Alexis Wilson MD,Kirinyaga Ward 5,"2.397473, 37.365806",2025-05-31,Organic,Irrigated,No,2,44,20,36,0,27,51,0,56,0,0,0,1308,1000,960,1269,1053,1242,1680,2128,2744,0,0,0,236
F015,Johnny Moreno,Kirinyaga Ward 5,"-3.926337, 38.655975",2024-05-28,Organic,Rain-fed,Yes,74,0,66,18,0,0,10,43,0,0,0,0,1386,1782,3036,0,0,0,516,215,387,0,0,0,211
F016,Kent Watson,Kirinyaga Ward 1,"-3.255113, 38.479352",2022-04-25,Organic,Rain-fed,No,0,22,5,6,10,12,0,0,11,0,0,0,382,335,463,420,488,684,308,473,506,0,0,0,66
F017,Taylor Mccarthy,Kirinyaga Ward 4,"-0.30435, 39.516659",2020-04-08,Organic,Rain-fed,Yes,18,0,0,8,0,17,7,1,17,5,0,6,0,0,0,561,782,442,626,414,846,300,294,162,79
F018,William Robertson,Kirinyaga Ward 12,"-4.127946, 38.843816",2021-03-14,Organic,Rain-fed,Yes,3,2,14,13,6,2,11,4,10,0,0,11,432,366,638,70,110,154,370,344,370,341,308,517,76
F019,Marie Solis,Kirinyaga Ward 8,"1.814177, 41.409964",2020-11-01,Organic,Rain-fed,No,20,14,14,20,6,12,0,18,10,0,3,0,560,462,448,462,396,618,676,544,564,30,15,39,117
F020,John Haas,Kirinyaga Ward 4,"3.453983, 41.890301",2025-06-26,Conventional,Irrigated,No,43,27,2,18,0,17,0,39,6,0,0,0,416,418,197,374,510,578,789,537,327,0,0,0,152
F021,Jeffrey Lyons,Kirinyaga Ward 2,"-0.329661, 34.29345",2025-11-21,Conventional,Rain-fed,No,0,28,20,5,0,7,8,20,0,0,0,0,996,944,880,231,280,182,240,160,300,0,0,0,88
F022,Susan Martinez,Kirinyaga Ward 7,"4.097166, 40.098736",2020-08-31,Organic,Irrigated,No,29,14,16,8,2,17,0,0,0,0,0,0,614,872,626,692,385,787,0,0,0,0,0,0,86
F023,Madeline Mueller,Kirinyaga Ward 5,"-2.287849, 41.82599",2020-06-17,Organic,Irrigated,No,0,31,44,0,34,22,10,21,14,0,0,0,2197,2391,1384,1250,1390,1304,756,560,539,0,0,0,176
F024,Dr. Angela Mckenzie,Kirinyaga Ward 9,"2.219043, 40.04522",2023-06-04,Conventional,Rain-fed,No,18,23,8,0,5,6,0,0,23,0,7,0,463,490,706,353,215,199,989,483,989,77,105,70,90
F025,Kristen Brown,Kirinyaga Ward 1,"-3.205025, 40.672788",2022-12-30,Organic,Irrigated,No,62,7,22,11,30,0,0,29,0,0,0,0,796,678,795,210,390,150,319,377,203,0,0,0,161
F026,Jessica Jones,Kirinyaga Ward 6,"2.80557, 37.83978",2022-09-04,Organic,Irrigated,Yes,29,19,6,9,10,0,1,0,0,0,0,0,447,246,405,50,110,70,0,0,0,0,0,0,74
F027,Adam Barnes,Kirinyaga Ward 2,"4.275222, 35.010226",2021-01-26,Conventional,Irrigated,No,17,10,0,0,10,1,0,14,3,0,8,11,90,130,90,167,110,180,323,164,253,502,651,330,74
F028,Christopher Gonzalez,Kirinyaga Ward 7,"-1.389998, 39.028722",2020-10-31,Organic,Irrigated,No,14,35,22,3,10,26,38,2,26,0,0,16,1169,1023,895,1326,640,906,1216,1276,1296,624,464,416,192
F029,Miranda Warner,Kirinyaga Ward 9,"2.292545, 37.305042",2025-09-24,Organic,Rain-fed,Yes,8,24,29,1,17,36,0,25,0,8,11,8,1125,782,1636,1057,1716,1775,225,300,375,441,322,379,167
F030,Nathan Riley,Kirinyaga Ward 7,"-1.031904, 36.113543",2022-05-24,Conventional,Rain-fed,No,97,2,0,16,7,60,16,14,23,0,0,0,28,26,28,2329,2223,3063,1189,1166,986,0,0,0,235
F031,David Perez,Kirinyaga Ward 2,"-2.741439, 41.522896",2025-02-14,Organic,Rain-fed,No,14,15,4,0,9,0,12,0,0,0,0,0,275,201,333,117,90,72,0,0,0,0,0,0,54
F032,Michael Todd,Kirinyaga Ward 9,"3.688325, 34.954354",2024-02-22,Conventional,Rain-fed,Yes,11,0,14,0,16,0,22,3,20,0,0,0,462,490,406,96,160,192,1013,475,902,0,0,0,86
F033,Tyler Harrington,Kirinyaga Ward 11,"-3.095251, 40.715876",2024-10-08,Conventional,Irrigated,Yes,0,72,104,9,0,4,0,0,59,2,0,0,4000,5528,5432,108,156,128,1180,2655,2419,0,0,0,250
F034,Beverly Hancock,Kirinyaga Ward 11,"-2.179129, 36.660841",2024-07-21,Organic,Rain-fed,No,10,70,21,28,50,11,36,0,0,0,0,0,1344,1246,1540,691,869,918,0,0,0,0,0,0,226
F035,Sue Gamble,Kirinyaga Ward 12,"0.88919, 38.829149",2025-11-05,Organic,Rain-fed,Yes,18,0,14,6,13,2,0,0,1,0,8,15,476,602,700,172,230,133,36,42,42,651,431,573,77
F036,Christopher Jones,Kirinyaga Ward 8,"-4.409238, 40.124707",2023-04-12,Organic,Irrigated,Yes,87,0,47,25,0,6,24,21,19,0,0,0,2068,1974,1081,270,180,156,867,833,527,0,0,0,229
F037,Kevin Miller,Kirinyaga Ward 4,"2.664721, 39.22179",2020-01-22,Organic,Rain-fed,No,28,37,7,0,0,0,6,10,0,8,0,15,472,826,854,0,0,0,60,130,100,420,480,450,111
F038,Jose Webb,Kirinyaga Ward 11,"-3.736015, 39.053751",2024-09-24,Organic,Irrigated,No,7,15,0,21,12,0,1,20,24,0,8,3,165,195,150,108,168,132,1276,1236,1056,163,142,191,111
F039,Kathryn Navarro,Kirinyaga Ward 1,"-1.06237, 41.528468",2023-02-05,Organic,Rain-fed,Yes,2,29,0,28,0,24,3,26,13,0,7,1,261,377,203,1152,984,672,624,910,416,121,112,84,133
