Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Bobby Mcbride,Kisii Ward 11,"-1.96261, 36.490279",2023-07-04,Conventional,Irrigated,No,0,14,33,2,0,12,16,19,0,2,12,4,1200,1177,1107,336,444,324,114,266,152,236,264,284,114
F002,Robert Schmidt,Kisii Ward 9,"-3.584404, 40.112777",2020-07-15,Conventional,Rain-fed,No,13,11,30,12,0,0,18,13,14,0,0,0,756,928,743,0,0,0,425,756,517,0,0,0,111
F003,James Macdonald,Kisii Ward 12,"4.449917, 36.229312",2020-04-01,Conventional,Irrigated,No,13,13,13,13,0,0,14,13,8,0,0,0,585,663,663,0,0,0,305,462,340,0,0,0,87
F004,Brandon Krueger,Kisii Ward 7,"-2.780615, 36.679218",2021-06-22,Organic,Irrigated,Yes,68,68,53,0,10,0,32,0,0,0,0,0,2444,2762,2990,100,110,140,0,0,0,0,0,0,231
F005,Mr. Kenneth Martin,Kisii Ward 1,"3.547712, 38.181592",2025-12-01,Organic,Irrigated,No,6,7,0,11,14,19,13,1,14,0,0,0,91,49,91,796,1042,790,286,459,393,0,0,0,85
F006,Alice Smith,Kisii Ward 4,"3.538027, 39.288049",2020-12-16,Organic,Rain-fed,No,48,37,17,16,20,0,17,16,0,0,0,0,1021,576,914,280,180,180,112,208,208,0,0,0,171
F007,Lori Kaiser,Kisii Ward 5,"-0.360916, 41.663023",2025-06-30,Conventional,Irrigated,No,16,8,35,0,32,0,26,45,0,1,35,33,1510,1862,1798,352,320,320,675,405,360,1299,835,1942,231
F008,Sarah Pacheco,Kisii Ward 12,"-3.762979, 37.76369",2023-01-14,Organic,Rain-fed,Yes,0,59,38,8,0,33,0,25,20,0,0,0,1557,2414,2553,1221,1056,1254,1135,730,885,0,0,0,183
F009,Joshua Tucker,Kisii Ward 5,"1.506636, 34.767165",2024-12-21,Conventional,Irrigated,No,50,1,57,27,0,33,17,0,0,0,0,0,1889,1438,1720,1617,924,1485,0,0,0,0,0,0,185
F010,Jennifer Matthews,Kisii Ward 8,"2.815961, 40.512477",2024-09-16,Organic,Rain-fed,Yes,61,7,33,32,0,22,18,0,1,0,0,0,1119,1404,1484,682,616,792,26,48,32,0,0,0,174
F011,Robert Park,Kisii Ward 9,"-1.432604, 39.214427",2024-03-16,Organic,Irrigated,Yes,24,53,15,29,38,26,12,0,0,0,0,21,981,1109,985,976,1022,1178,0,0,0,735,462,609,218
