Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Megan Jackson,Kisumu Ward 8,"-0.163038, 41.532389",2022-02-04,Organic,Rain-fed,Yes,0,19,3,2,7,13,1,19,3,0,0,0,250,200,199,667,407,429,245,186,231,0,0,0,67
F002,Chris Jones,Kisumu Ward 5,"0.175551, 38.66741",2024-04-18,Conventional,Irrigated,No,4,5,11,8,3,0,16,0,8,0,0,0,394,605,585,24,36,45,256,184,272,0,0,0,55
F003,Wendy Lopez,Kisumu Ward 9,"-3.545797, 38.151489",2020-03-19,Organic,Irrigated,No,0,58,20,18,34,22,0,24,44,0,0,0,1418,1160,1574,834,858,974,1260,2100,1580,0,0,0,220
F004,Philip Lowe,Kisumu Ward 1,"3.048472, 35.878766",2024-01-25,Organic,Rain-fed,Yes,38,23,32,16,27,0,0,23,0,0,0,0,1172,1318,1698,270,135,243,322,345,115,0,0,0,159
F005,Karen White,Kisumu Ward 8,"3.933278, 37.955005",2024-05-15,Organic,Rain-fed,Yes,75,40,46,28,0,0,0,6,44,0,0,0,2722,2500,1942,0,0,0,1606,1964,2046,0,0,0,239
F006,Kerry Lopez,Kisumu Ward 4,"1.822559, 35.526442",2020-08-29,Organic,Irrigated,No,5,41,1,1,7,21,1,6,15,0,0,0,245,661,489,525,574,924,777,630,615,0,0,0,98
F007,Ian Williams,Kisumu Ward 7,"1.203798, 41.600331",2023-09-13,Conventional,Irrigated,No,0,10,11,0,7,0,9,3,9,3,4,6,448,531,508,98,98,84,237,453,372,188,206,248,62
F008,Whitney Neal,Kisumu Ward 3,"4.058946, 38.488136",2021-03-16,Conventional,Irrigated,Yes,25,31,34,26,25,3,1,0,0,0,0,0,1831,1404,1281,280,188,188,0,0,0,0,0,0,145
F009,Andrew Black,Kisumu Ward 4,"-4.177703, 34.111274",2020-05-13,Conventional,Rain-fed,Yes,40,33,9,0,34,0,0,0,24,0,0,0,588,489,627,306,442,476,696,864,960,0,0,0,140
F010,Julie White,Kisumu Ward 6,"2.100107, 38.639617",2022-11-10,Conventional,Irrigated,No,0,12,42,5,18,6,20,1,9,0,12,4,1458,1464,978,300,288,294,339,240,335,280,284,360,129
