Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Scott Moore,Kwale Ward 7,"-0.144297, 41.692763",2023-07-29,Conventional,Irrigated,Yes,0,10,30,3,14,15,20,11,0,0,0,0,1500,750,850,787,861,639,99,154,77,0,0,0,103
F002,Brianna Jones,Kwale Ward 2,"0.07439, 36.45553",2022-08-29,Organic,Irrigated,No,30,8,3,41,26,1,9,30,20,0,0,0,253,254,161,310,171,361,1160,940,1150,0,0,0,168
F003,Brandi Beasley,Kwale Ward 9,"-1.171147, 35.022078",2024-11-18,Organic,Rain-fed,Yes,49,8,46,30,21,0,0,0,6,0,5,16,1574,1750,2036,231,231,126,240,162,150,643,566,483,181
F004,Larry Robertson,Kwale Ward 1,"1.457236, 34.636985",2022-05-26,Conventional,Irrigated,Yes,1,3,18,27,28,11,15,0,26,0,0,0,840,453,498,692,937,687,702,1274,1092,0,0,0,129
F005,Lauren Jenkins,Kwale Ward 5,"1.297625, 41.239497",2021-11-18,Conventional,Rain-fed,No,33,17,23,0,12,12,15,0,0,0,0,0,1158,1079,1359,636,696,348,0,0,0,0,0,0,112
F006,Walter Howell,Kwale Ward 4,"-3.721718, 37.630959",2025-11-08,Organic,Irrigated,Yes,13,31,31,19,0,22,39,0,43,0,0,0,930,1426,1116,880,946,550,2107,1591,1720,0,0,0,198
F007,Albert James,Kwale Ward 10,"-3.810064, 34.837767",2023-12-15,Conventional,Rain-fed,No,26,22,22,9,0,2,15,0,0,0,15,0,638,858,858,54,68,80,0,0,0,165,120,210,111
F008,John Warner,Kwale Ward 10,"0.624146, 34.3867",2020-07-07,Organic,Irrigated,No,63,56,42,0,0,28,0,0,0,0,0,0,2338,2128,2380,1036,812,616,0,0,0,0,0,0,189
F009,Brooke Parker,Kwale Ward 4,"-3.316581, 37.462441",2020-10-01,Conventional,Rain-fed,No,10,29,19,0,17,15,0,0,0,0,0,0,1232,860,766,513,611,629,0,0,0,0,0,0,90
F010,Timothy Williams,Kwale Ward 9,"4.238875, 39.169651",2020-06-07,Organic,Irrigated,No,25,28,22,19,0,21,18,0,11,0,0,4,854,1014,812,525,777,420,528,539,308,196,84,132,148
F011,Monica Ramirez,Kwale Ward 5,"-3.92518, 35.205069",2023-10-25,Conventional,Rain-fed,Yes,21,0,0,8,15,0,18,8,20,3,1,0,0,0,0,120,165,225,716,1028,524,13,5,6,94
F012,Wanda Martinez,Kwale Ward 11,"-4.121392, 39.765076",2024-06-29,Conventional,Rain-fed,Yes,29,3,0,26,2,14,0,23,0,0,0,0,36,33,18,590,682,448,345,345,115,0,0,0,97
F013,Cynthia Peters,Kwale Ward 2,"-3.94876, 39.54955",2020-08-07,Organic,Rain-fed,No,15,12,14,23,5,0,22,34,7,0,0,0,502,460,550,35,30,75,506,729,764,0,0,0,132
