Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Robert Carrillo,Laikipia Ward 8,"-3.494048, 37.215257",2020-08-19,Conventional,Rain-fed,Yes,26,0,24,13,16,13,14,0,0,4,10,10,672,480,552,666,475,556,0,0,0,320,470,390,130
F002,Cheryl Patrick,Laikipia Ward 3,"-1.661194, 40.576351",2022-06-01,Conventional,Irrigated,Yes,0,4,31,17,10,13,2,2,15,4,0,1,1357,703,1265,683,336,434,453,646,453,32,47,20,99
F003,Paul Olson,Laikipia Ward 8,"2.369236, 40.133323",2025-06-19,Conventional,Rain-fed,No,0,24,30,0,34,14,26,6,11,0,0,0,1140,876,1020,994,512,604,475,536,424,0,0,0,145
F004,Jason Macias,Laikipia Ward 5,"3.657146, 41.757984",2021-03-18,Organic,Rain-fed,No,0,56,39,0,21,0,1,27,4,0,0,0,2310,2734,1508,189,168,273,316,561,543,0,0,0,148
F005,Dustin Davis,Laikipia Ward 8,"-4.385831, 38.361371",2024-01-27,Organic,Rain-fed,Yes,0,27,47,0,1,15,6,2,17,0,0,5,1392,2203,1566,630,765,635,477,642,764,165,225,165,120
F006,Christina Evans,Laikipia Ward 7,"0.900311, 39.934134",2021-10-24,Conventional,Rain-fed,No,10,9,53,0,0,21,17,28,0,0,8,0,2228,1451,1751,462,924,882,140,364,364,96,112,48,146
F007,Mr. Richard Henry,Laikipia Ward 3,"2.628842, 34.34154",2020-05-07,Conventional,Irrigated,Yes,42,0,43,0,31,19,0,0,18,0,0,5,1204,1333,903,1096,1032,1270,738,864,594,235,125,165,158
F008,Dakota Fox,Laikipia Ward 11,"0.896171, 37.115494",2021-10-11,Organic,Rain-fed,Yes,68,75,36,24,0,8,21,0,0,0,0,0,1833,2145,1395,288,288,240,0,0,0,0,0,0,232
F009,Gabriel Morton,Laikipia Ward 2,"-1.864381, 37.396269",2023-11-10,Organic,Rain-fed,No,89,34,34,0,0,22,26,23,0,0,0,0,1326,2108,1530,924,1100,660,345,253,115,0,0,0,228
F010,Tyler Walsh,Laikipia Ward 5,"3.602412, 34.438178",2022-10-06,Organic,Rain-fed,No,14,18,7,5,3,2,6,2,0,0,0,0,230,272,501,108,87,115,18,10,10,0,0,0,57
F011,George Rodriguez,Laikipia Ward 4,"2.539616, 39.358568",2022-07-09,Organic,Irrigated,Yes,0,0,58,45,1,21,0,15,44,0,0,0,1160,1508,1508,477,551,594,1500,1471,2056,0,0,0,184
F012,Linda Bryan,Laikipia Ward 12,"-0.52772, 37.40777",2021-04-07,Organic,Rain-fed,Yes,0,1,0,7,12,7,1,10,9,2,5,3,8,12,9,318,334,423,502,337,379,153,109,169,57
F013,Clifford Bowen,Laikipia Ward 7,"0.847395, 35.73419",2022-07-17,Conventional,Rain-fed,Yes,17,25,15,0,15,1,23,0,8,0,0,0,1020,915,975,221,185,110,256,176,336,0,0,0,104
F014,Roy Cannon,Laikipia Ward 12,"-0.553944, 40.904114",2021-02-15,Organic,Irrigated,Yes,0,0,37,0,15,26,49,54,33,0,21,0,1554,1036,999,722,744,745,1560,2100,1179,294,273,168,235
F015,Darrell Rodriguez,Laikipia Ward 10,"4.345776, 41.342799",2025-03-22,Conventional,Rain-fed,Yes,5,95,0,0,12,0,35,4,44,0,2,38,1045,855,1330,60,144,180,2196,1964,1728,808,1550,866,235
F016,Jesus Smith,Laikipia Ward 8,"-0.419423, 37.566684",2025-05-21,Organic,Irrigated,No,9,34,26,1,2,9,11,17,5,0,0,0,1528,1406,1164,424,260,321,375,325,401,0,0,0,114
F017,Timothy Nguyen,Laikipia Ward 1,"-0.492434, 39.248036",2023-03-05,Conventional,Rain-fed,Yes,39,4,28,24,31,23,14,5,13,37,0,3,788,612,744,1445,1298,1323,505,689,715,117,141,90,221
F018,Kathleen Edwards,Laikipia Ward 2,"-2.254286, 40.086974",2024-10-07,Conventional,Rain-fed,No,57,45,37,0,18,16,0,0,37,0,12,21,2099,1991,2099,926,604,972,888,1295,962,663,1086,882,243
F019,Jonathan Silva,Laikipia Ward 6,"2.59034, 39.185743",2022-12-14,Conventional,Rain-fed,Yes,27,37,22,10,20,6,10,14,0,22,14,8,1345,898,956,328,428,274,168,154,196,546,526,294,190
F020,Darlene Mills,Laikipia Ward 11,"1.246694, 39.920892",2020-06-05,Conventional,Rain-fed,Yes,20,25,17,4,8,7,0,0,0,0,0,0,676,922,879,327,409,470,0,0,0,0,0,0,81
