Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Angela Anderson,Machakos Ward 3,"-3.154656, 35.253157",2020-07-24,Conventional,Irrigated,Yes,0,74,21,16,8,42,34,18,0,0,23,12,1633,1739,1308,1694,1558,2154,108,108,162,414,487,558,248
F002,Tyler Carroll,Machakos Ward 10,"1.118912, 37.763976",2023-07-08,Conventional,Rain-fed,No,8,30,24,0,0,7,5,0,11,0,0,0,1002,1368,1476,217,308,308,539,253,319,0,0,0,85
F003,Gregg Lambert,Machakos Ward 7,"1.126986, 40.958744",2022-03-10,Conventional,Rain-fed,Yes,28,0,20,19,0,24,8,0,20,0,0,12,620,420,500,1200,960,1200,880,600,680,600,324,444,131
F004,Christopher Moreno,Machakos Ward 6,"0.405982, 41.280313",2022-05-15,Organic,Irrigated,No,10,26,0,2,6,0,0,13,9,0,0,1,208,260,390,48,78,36,431,510,444,33,28,49,67
F005,Ryan Harris,Machakos Ward 12,"4.13531, 36.393483",2025-12-11,Conventional,Rain-fed,Yes,19,0,37,0,16,0,25,0,0,3,14,0,1776,1517,740,128,160,176,0,0,0,140,168,168,114
F006,Katherine Lee,Machakos Ward 11,"-2.256288, 34.471219",2023-04-13,Conventional,Irrigated,No,2,7,20,21,8,1,0,7,8,5,11,9,710,730,783,145,90,137,330,436,279,366,235,495,99
F007,Vincent Williams,Machakos Ward 11,"1.148418, 40.05358",2025-05-21,Conventional,Irrigated,No,8,10,4,13,1,3,2,0,21,0,0,0,326,226,286,120,146,128,441,525,1029,0,0,0,62
F008,Robert Hill,Machakos Ward 8,"-2.299947, 35.299868",2021-10-24,Organic,Rain-fed,No,46,57,77,6,19,11,0,0,0,0,0,0,2595,4477,2826,651,529,653,0,0,0,0,0,0,216
F009,Patricia Boone,Machakos Ward 7,"2.236274, 41.758744",2022-05-17,Organic,Irrigated,No,22,0,0,8,0,4,13,14,7,0,0,5,0,0,0,148,152,104,406,518,406,180,105,230,73
F010,Chelsea Miller,Machakos Ward 3,"2.467026, 38.935227",2022-12-23,Organic,Irrigated,Yes,19,1,4,13,6,0,9,12,15,0,0,0,195,125,174,72,36,84,747,480,516,0,0,0,79
F011,Jason Wang,Machakos Ward 12,"-3.11663, 40.375821",2025-06-02,Conventional,Irrigated,No,61,56,30,9,21,13,13,0,0,0,0,0,1266,1610,1112,887,612,464,0,0,0,0,0,0,203
F012,Karen Cisneros,Machakos Ward 5,"-2.30129, 35.102954",2025-11-28,Organic,Irrigated,Yes,16,7,42,5,5,11,49,32,12,0,0,0,1281,1645,1358,311,335,485,964,616,712,0,0,0,179
F013,Lisa Drake,Machakos Ward 6,"-3.605948, 37.498924",2022-06-10,Organic,Irrigated,Yes,10,2,5,1,12,5,9,2,6,3,0,0,255,137,260,282,210,389,182,206,324,0,0,0,55
F014,Ryan Juarez,Machakos Ward 4,"-1.497228, 34.883706",2022-08-12,Organic,Irrigated,No,35,8,33,0,0,64,41,24,24,0,0,0,1508,1483,1656,1792,1792,2176,792,816,1440,0,0,0,229
F015,Christopher Hill,Machakos Ward 7,"2.439415, 39.937501",2020-04-07,Organic,Irrigated,Yes,34,0,36,8,27,0,46,22,0,0,0,0,1440,1800,972,189,216,378,286,198,198,0,0,0,173
F016,Jason Mills,Machakos Ward 3,"-2.345424, 40.076425",2024-09-02,Conventional,Irrigated,No,11,26,55,0,14,8,10,0,19,0,0,0,2292,1438,1658,530,358,382,836,399,456,0,0,0,143
F017,Justin Smith,Machakos Ward 5,"-0.878715, 36.755225",2022-03-01,Organic,Rain-fed,No,36,22,28,27,0,35,0,34,8,0,0,0,1512,932,1562,1400,1470,1330,598,826,718,0,0,0,190
F018,Wesley Burgess,Machakos Ward 7,"-3.954729, 37.330091",2021-10-10,Organic,Rain-fed,No,17,19,11,0,0,0,8,11,2,0,5,0,600,758,729,0,0,0,207,182,157,30,55,40,73
F019,Eric Torres,Machakos Ward 2,"4.058568, 37.959294",2021-05-19,Conventional,Rain-fed,Yes,0,0,21,43,37,33,2,27,0,19,0,3,588,714,630,1422,1443,1232,405,216,216,87,114,102,185
F020,Kelsey Nash,Machakos Ward 10,"-3.598773, 37.681952",2021-01-23,Organic,Rain-fed,Yes,6,0,39,7,0,23,9,0,6,0,9,3,1794,1326,1404,736,966,644,270,294,168,159,267,192,102
F021,Michael Parker,Machakos Ward 5,"3.636572, 41.013352",2024-11-14,Conventional,Rain-fed,Yes,0,59,64,17,16,2,0,6,18,6,0,15,3214,3130,1875,218,246,284,930,546,870,450,705,420,203
F022,Sean Rice,Machakos Ward 5,"-3.697659, 35.117712",2020-10-18,Conventional,Irrigated,Yes,88,77,58,26,0,1,0,0,0,0,0,0,2665,1738,2241,43,25,26,0,0,0,0,0,0,250
F023,Nathan Escobar,Machakos Ward 9,"-3.943463, 37.352305",2024-12-11,Organic,Irrigated,No,23,19,20,0,2,0,6,7,0,0,0,0,1109,745,1029,16,16,12,70,105,70,0,0,0,77
F024,Katherine Frost,Machakos Ward 3,"3.620494, 37.386015",2025-11-26,Organic,Rain-fed,Yes,41,44,3,0,0,23,0,25,0,0,0,0,430,331,683,874,460,828,175,275,325,0,0,0,136
F025,Jane Douglas,Machakos Ward 7,"-4.108514, 35.675655",2022-08-25,Organic,Rain-fed,No,22,44,25,0,0,16,29,20,0,0,0,0,1133,1116,1810,384,768,464,100,260,100,0,0,0,156
