Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Emily Walker,Mandera Ward 1,"0.798089, 40.626612",2022-12-09,Conventional,Irrigated,Yes,5,0,1,3,11,18,15,19,0,0,0,0,20,43,34,643,992,837,171,190,133,0,0,0,72
F002,Mark Taylor,Mandera Ward 12,"-4.429193, 40.954026",2020-10-03,Conventional,Irrigated,No,70,0,34,48,0,0,9,57,17,0,0,0,1598,1496,1598,0,0,0,978,1557,1195,0,0,0,235
F003,Brenda Davis,Mandera Ward 1,"-0.073732, 34.417406",2021-02-20,Organic,Rain-fed,No,13,0,39,0,29,18,0,30,11,0,0,0,1248,1833,1404,689,1198,523,779,868,784,0,0,0,140
F004,Rebecca Rodriguez,Mandera Ward 9,"0.492848, 40.765967",2024-05-06,Conventional,Irrigated,No,49,27,15,13,10,0,5,18,2,0,0,0,765,855,555,90,50,60,330,194,208,0,0,0,139
F005,Adam Franklin,Mandera Ward 11,"1.819105, 40.818179",2025-08-06,Organic,Rain-fed,No,21,17,5,0,10,0,6,10,5,0,0,0,224,410,353,80,110,130,255,185,285,0,0,0,74
F006,Pamela Underwood,Mandera Ward 3,"4.111413, 39.06475",2021-06-01,Conventional,Rain-fed,Yes,38,16,0,17,38,44,20,33,4,17,0,0,240,192,80,1310,1940,1468,314,285,437,0,0,0,227
F007,Mikayla Hart,Mandera Ward 6,"-1.335091, 38.236935",2022-02-10,Organic,Irrigated,No,23,0,13,13,8,0,3,6,11,0,0,0,286,312,364,120,64,64,333,424,488,0,0,0,77
F008,Alyssa Young,Mandera Ward 2,"-2.879292, 35.701632",2024-02-22,Conventional,Irrigated,No,0,1,44,0,13,0,18,0,18,7,18,0,1993,1325,1061,78,78,156,756,612,882,198,90,126,119
F009,Nathaniel Winters,Mandera Ward 12,"0.250567, 41.227085",2023-03-04,Organic,Rain-fed,No,68,17,8,36,0,34,35,0,7,0,0,0,303,571,508,1156,1394,1700,336,308,154,0,0,0,205
F010,Samantha Schneider,Mandera Ward 4,"-2.557883, 34.940589",2020-03-26,Organic,Rain-fed,Yes,42,50,0,0,19,3,12,16,16,0,7,0,550,350,600,239,279,313,608,544,736,49,63,105,165
F011,Joshua Meyer DDS,Mandera Ward 2,"2.930802, 41.612953",2022-07-28,Conventional,Irrigated,No,36,54,0,0,29,33,37,0,0,0,0,11,810,324,756,1647,1940,1387,0,0,0,451,506,440,200
F012,David Hanson,Mandera Ward 10,"-2.213922, 41.085203",2024-07-07,Conventional,Rain-fed,Yes,37,40,2,11,14,0,0,23,0,11,6,8,434,410,338,98,196,168,230,345,253,246,226,394,152
F013,James Lee,Mandera Ward 3,"-3.655319, 37.361692",2023-03-29,Organic,Irrigated,Yes,15,9,18,0,0,8,9,5,0,0,0,0,918,909,783,216,296,280,50,65,45,0,0,0,64
F014,Micheal Cox,Mandera Ward 7,"2.311811, 37.120089",2022-03-04,Conventional,Rain-fed,No,5,11,23,0,14,6,8,20,2,0,0,0,835,1157,975,308,348,454,262,368,182,0,0,0,89
F015,Joseph Bass Jr.,Mandera Ward 12,"2.689644, 35.131886",2025-02-05,Conventional,Irrigated,No,10,37,40,8,0,0,6,0,19,0,0,0,1133,1702,1413,0,0,0,912,798,855,0,0,0,120
