Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Kimberly Brown,Marsabit Ward 10,"2.808513, 41.805613",2021-02-14,Conventional,Irrigated,Yes,6,25,1,1,6,22,22,5,7,0,0,0,237,345,418,506,720,550,240,259,365,0,0,0,95
F002,Samuel Johnson,Marsabit Ward 7,"-2.886105, 36.56592",2020-03-11,Conventional,Rain-fed,No,0,71,75,34,20,30,0,0,0,0,0,0,3051,2214,4148,1140,1170,1200,0,0,0,0,0,0,230
F003,Tanya Howe,Marsabit Ward 3,"1.490013, 35.875412",2020-03-23,Conventional,Rain-fed,No,13,23,57,0,8,0,17,32,12,23,0,0,2715,1678,2100,48,48,120,824,864,896,0,0,0,185
F004,Amanda Ellis,Marsabit Ward 11,"3.933827, 40.074236",2023-11-18,Conventional,Irrigated,No,0,6,10,3,3,7,1,7,5,3,0,5,300,584,296,301,375,198,279,211,161,120,215,170,50
F005,Joseph Coleman,Marsabit Ward 12,"-1.84718, 36.239908",2023-08-08,Organic,Irrigated,Yes,19,37,11,18,4,15,11,14,8,0,0,0,658,669,825,741,328,660,338,472,436,0,0,0,137
F006,David Jenkins,Marsabit Ward 9,"-1.049363, 39.697793",2025-11-14,Conventional,Irrigated,Yes,18,0,4,1,1,4,0,10,8,6,7,0,136,120,148,107,96,143,262,466,340,84,35,63,59
F007,Megan Webb,Marsabit Ward 9,"4.058405, 40.660685",2023-05-18,Conventional,Irrigated,Yes,48,9,29,5,0,2,0,2,8,0,10,0,1040,822,828,46,82,72,336,206,402,80,130,60,113
F008,Holly Nelson,Marsabit Ward 2,"3.817876, 36.561557",2024-05-05,Conventional,Rain-fed,Yes,50,27,21,0,0,0,0,27,16,0,0,0,1344,813,945,0,0,0,809,818,712,0,0,0,141
F009,Richard Martin,Marsabit Ward 6,"3.001702, 40.38928",2024-07-08,Conventional,Irrigated,No,0,26,14,19,39,59,19,6,17,15,0,29,1006,828,708,1943,1492,3004,577,509,734,638,1102,754,243
F010,James White,Marsabit Ward 2,"-0.401344, 40.62831",2023-11-04,Organic,Irrigated,No,72,70,0,20,30,0,0,0,24,0,0,0,770,420,1050,390,450,420,1152,768,648,0,0,0,216
F011,Hunter Smith,Marsabit Ward 5,"-2.896003, 38.59279",2025-01-12,Conventional,Rain-fed,No,5,11,3,6,3,15,5,19,0,0,0,0,282,254,218,615,468,462,95,228,95,0,0,0,67
F012,Nathan Nguyen,Marsabit Ward 11,"-1.552075, 40.43697",2024-06-24,Organic,Rain-fed,No,68,33,38,3,0,16,12,0,0,0,0,15,1455,2111,1721,320,416,752,0,0,0,645,405,750,185
F013,Steven Smith,Marsabit Ward 5,"-3.779947, 39.246878",2023-10-20,Conventional,Irrigated,No,31,13,26,0,8,0,0,17,13,0,0,4,1001,884,1092,48,88,112,724,538,720,200,116,192,112
F014,Donna Campbell,Marsabit Ward 11,"1.797294, 37.823604",2025-11-17,Conventional,Rain-fed,Yes,19,7,18,0,14,2,56,60,0,31,2,24,776,683,944,288,264,178,300,360,900,626,1114,1020,233
F015,Thomas Chang,Marsabit Ward 6,"-1.603501, 41.775554",2022-09-21,Organic,Rain-fed,No,76,94,0,33,0,21,0,0,0,0,0,0,846,1128,1410,630,504,798,0,0,0,0,0,0,224
F016,Joshua Ford,Marsabit Ward 6,"-3.567104, 37.382537",2025-01-01,Organic,Rain-fed,Yes,27,1,59,17,0,13,8,21,21,0,0,22,1722,2433,1661,598,507,494,1176,861,1029,594,968,704,189
F017,Dale Harris DDS,Marsabit Ward 7,"-1.033617, 35.80136",2020-01-27,Conventional,Rain-fed,No,22,0,36,32,19,57,31,0,52,0,0,0,1116,1800,1080,2983,1520,1444,1300,1924,2184,0,0,0,249
F018,Sarah Tucker,Marsabit Ward 10,"-0.261307, 39.135458",2020-12-07,Organic,Rain-fed,Yes,40,38,54,19,0,13,0,0,15,0,0,0,1536,2022,2388,390,533,533,645,735,405,0,0,0,179
F019,Casey Barnes,Marsabit Ward 8,"2.63422, 35.515217",2021-07-09,Organic,Rain-fed,No,29,0,19,0,0,0,41,47,15,14,29,0,627,608,532,0,0,0,1143,925,1224,435,203,377,194
F020,David Gregory,Marsabit Ward 10,"-2.163384, 36.100984",2025-04-25,Conventional,Rain-fed,No,1,7,22,0,11,7,1,3,0,0,0,0,1039,648,840,468,355,288,45,42,45,0,0,0,52
