Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Julie Cardenas,Meru Ward 6,"2.496548, 41.120109",2023-06-16,Conventional,Rain-fed,No,20,3,21,0,10,0,0,6,1,0,0,0,450,816,645,120,140,110,81,53,139,0,0,0,61
F002,Justin Rich,Meru Ward 3,"-0.171646, 35.039175",2020-12-09,Organic,Irrigated,No,15,22,4,21,24,18,6,35,30,0,0,0,386,326,462,924,828,708,1040,1320,875,0,0,0,175
F003,Raymond Shaw,Meru Ward 2,"0.95494, 35.945853",2021-12-28,Conventional,Rain-fed,Yes,5,7,7,3,1,3,0,12,6,3,1,2,217,315,315,101,126,126,360,426,222,107,47,93,50
F004,Dillon Cameron,Meru Ward 4,"1.615694, 34.742532",2023-01-09,Organic,Irrigated,Yes,4,41,38,0,28,13,1,37,0,0,0,0,1956,1857,1652,719,722,610,444,518,370,0,0,0,162
F005,Kyle Stone,Meru Ward 3,"2.285062, 34.44446",2023-02-02,Organic,Rain-fed,No,3,13,0,9,21,0,14,33,32,13,4,0,156,130,91,168,231,105,1353,1161,1064,56,36,28,142
F006,Joseph Reynolds,Meru Ward 7,"-4.408025, 41.237601",2020-05-15,Organic,Irrigated,No,0,12,25,9,0,23,7,23,1,0,0,0,733,644,621,713,920,966,197,188,356,0,0,0,100
F007,Kimberly Mcdonald,Meru Ward 8,"2.703568, 39.50641",2023-01-19,Organic,Rain-fed,Yes,80,2,38,52,8,0,19,47,0,0,0,0,1080,1240,1690,72,72,48,423,329,658,0,0,0,246
F008,Barry Vargas,Meru Ward 9,"1.781112, 40.133933",2025-09-16,Conventional,Rain-fed,Yes,26,5,19,2,0,7,0,0,7,0,0,0,667,644,753,287,140,168,189,245,217,0,0,0,66
F009,Gregory Franklin,Meru Ward 8,"-0.070707, 39.632372",2021-02-11,Organic,Irrigated,No,31,50,52,20,0,9,37,0,11,0,0,0,1902,1850,2728,369,450,414,341,473,495,0,0,0,210
F010,Henry Rodriguez,Meru Ward 3,"-1.749864, 38.412946",2021-08-20,Organic,Irrigated,Yes,13,10,5,0,5,0,12,0,17,0,0,0,310,375,310,50,65,45,799,782,782,0,0,0,62
F011,Timothy Carpenter,Meru Ward 10,"0.570273, 34.009995",2024-03-07,Organic,Irrigated,No,18,9,49,40,10,33,0,0,0,29,6,2,1783,1809,1564,905,1107,1638,0,0,0,136,142,102,196
F012,William Ross,Meru Ward 3,"1.12548, 41.190347",2021-09-24,Conventional,Rain-fed,Yes,10,18,8,17,14,0,13,28,0,0,0,0,418,606,438,182,154,168,280,336,336,0,0,0,108
F013,Gabriel Hernandez,Meru Ward 4,"2.049662, 37.600041",2025-05-11,Conventional,Irrigated,Yes,24,0,27,13,0,0,20,4,6,0,0,0,1350,621,594,0,0,0,180,276,242,0,0,0,94
F014,Christina Cordova,Meru Ward 9,"2.802091, 39.95912",2021-04-30,Organic,Irrigated,Yes,24,0,23,0,6,23,18,21,13,0,3,2,1035,1081,1035,876,773,849,449,467,640,100,123,81,133
F015,Charles Perez,Meru Ward 5,"-0.292912, 41.030491",2020-07-20,Organic,Rain-fed,No,28,12,41,5,8,15,0,23,0,0,0,0,2035,1374,1029,440,627,565,322,276,345,0,0,0,132
