Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Jeremy Rivera,Migori Ward 7,"0.10115, 34.75832",2020-11-24,Conventional,Rain-fed,Yes,53,0,52,27,26,0,21,0,0,0,0,21,1040,1456,1664,286,286,130,0,0,0,483,861,588,200
F002,Emily Rowe,Migori Ward 8,"-3.26335, 40.049207",2022-05-10,Conventional,Irrigated,Yes,36,0,3,8,4,6,3,18,25,10,10,15,111,102,135,240,196,156,1287,1190,1380,510,630,785,138
F003,Elizabeth Hawkins,Migori Ward 4,"-2.40819, 38.277174",2024-05-17,Conventional,Irrigated,Yes,7,8,6,11,12,6,20,20,4,0,0,0,208,290,326,402,270,330,408,228,360,0,0,0,94
F004,Marcus Odom,Migori Ward 2,"-1.784873, 40.989184",2023-11-25,Organic,Irrigated,No,10,6,6,0,12,0,8,9,0,0,0,0,300,342,360,156,132,132,108,54,63,0,0,0,51
F005,Rachel Livingston,Migori Ward 10,"0.511495, 41.102573",2024-11-06,Organic,Rain-fed,Yes,15,30,8,46,10,1,26,14,63,0,0,0,424,640,546,167,115,180,2982,2590,1911,0,0,0,213
F006,Alexis Lewis,Migori Ward 10,"-2.546734, 41.219751",2023-12-04,Conventional,Rain-fed,No,0,45,26,0,16,16,26,0,0,0,0,0,1814,1176,906,688,512,896,0,0,0,0,0,0,129
F007,Jennifer Hall,Migori Ward 3,"-0.939776, 38.775891",2024-10-01,Conventional,Rain-fed,Yes,1,45,3,8,0,6,30,32,24,2,4,0,792,531,624,144,132,240,1240,1096,912,36,36,32,155
F008,Angela Watkins,Migori Ward 3,"-1.821378, 40.632862",2020-12-08,Organic,Irrigated,No,57,0,0,2,22,14,10,29,22,0,0,0,0,0,0,432,722,506,1015,1118,1007,0,0,0,156
F009,Kristen Jones,Migori Ward 5,"0.117481, 39.637566",2021-11-12,Conventional,Irrigated,Yes,4,15,75,12,0,1,0,9,53,15,13,5,3705,1755,2700,40,28,41,1769,1635,1547,329,313,312,202
F010,Kiara Frazier,Migori Ward 3,"-1.436106, 37.642957",2023-09-07,Conventional,Irrigated,Yes,10,13,15,0,0,6,0,0,0,0,0,8,555,797,713,138,240,138,0,0,0,368,384,312,52
F011,Jennifer Robinson,Migori Ward 12,"-3.435706, 37.844413",2025-03-27,Organic,Rain-fed,Yes,1,0,0,8,22,20,9,5,9,2,8,11,0,0,0,718,792,1154,315,264,253,334,580,627,95
F012,Nicolas Hayes,Migori Ward 3,"-3.625249, 36.736668",2021-08-09,Organic,Rain-fed,Yes,0,35,6,8,15,31,12,3,2,0,0,0,377,396,572,865,1033,1593,96,63,142,0,0,0,112
F013,Sarah Franklin,Migori Ward 11,"3.175851, 40.175139",2020-10-09,Organic,Irrigated,No,5,0,58,17,0,0,22,0,48,16,26,3,2784,1276,2900,0,0,0,1872,1728,1824,196,321,294,195
F014,Evan Stewart,Migori Ward 9,"-2.458208, 40.443409",2021-10-10,Conventional,Rain-fed,Yes,0,52,0,40,0,17,46,14,2,0,0,0,572,728,572,459,459,629,190,184,260,0,0,0,171
F015,Douglas Kelly,Migori Ward 7,"-4.101609, 41.838722",2020-06-12,Organic,Rain-fed,Yes,19,48,0,23,0,39,18,3,17,0,0,0,528,576,720,1248,1092,1404,617,426,753,0,0,0,167
F016,Erika Williams,Migori Ward 7,"-3.613065, 40.063421",2025-06-17,Organic,Rain-fed,No,23,6,19,9,34,4,0,22,16,9,13,0,973,616,870,438,642,346,858,736,790,156,91,130,155
F017,Kristi Ballard,Migori Ward 12,"-1.770433, 39.65155",2023-08-09,Organic,Rain-fed,No,56,0,0,3,52,28,19,15,17,0,0,0,0,0,0,1636,1428,1320,460,917,558,0,0,0,190
