Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,David Young,Mombasa Ward 7,"2.011575, 39.957253",2024-09-16,Conventional,Rain-fed,No,21,29,26,14,5,11,26,9,4,0,0,0,1503,1336,862,323,573,568,243,221,275,0,0,0,145
F002,Taylor Russell,Mombasa Ward 11,"2.973743, 36.822037",2020-04-13,Conventional,Irrigated,No,25,4,32,33,19,0,13,0,29,0,2,0,1208,1368,1596,285,247,133,986,1363,667,28,22,30,157
F003,Katherine Tucker,Mombasa Ward 6,"-4.119766, 39.463933",2023-12-22,Organic,Rain-fed,Yes,3,16,13,5,6,8,16,0,12,0,0,0,601,560,452,288,268,410,468,312,396,0,0,0,79
F004,Jessica Kim,Mombasa Ward 8,"3.295504, 34.011879",2020-07-23,Conventional,Rain-fed,No,22,12,0,0,20,7,18,2,6,2,3,0,84,60,72,464,546,484,176,216,296,33,42,42,92
F005,Robert Washington,Mombasa Ward 11,"0.412112, 38.736761",2022-12-18,Organic,Rain-fed,No,0,5,26,0,9,13,10,5,0,0,0,0,1064,1070,1069,590,662,461,45,30,35,0,0,0,68
F006,John Meyer,Mombasa Ward 11,"-1.507933, 36.350262",2020-11-14,Conventional,Rain-fed,Yes,0,12,11,0,4,0,0,8,10,1,3,2,382,607,628,32,20,20,488,536,416,107,64,100,51
F007,John Gonzalez,Mombasa Ward 3,"-3.959875, 35.486222",2020-06-13,Conventional,Irrigated,No,21,0,30,16,0,0,0,6,15,0,1,0,810,1410,1470,0,0,0,576,663,663,10,10,5,89
F008,Holly Jarvis,Mombasa Ward 6,"1.264535, 40.871363",2023-11-28,Conventional,Irrigated,No,31,24,20,0,14,0,36,2,36,0,0,0,1192,924,712,98,168,112,1714,856,1420,0,0,0,163
F009,Anthony Miller,Mombasa Ward 2,"-2.18685, 39.221699",2023-11-06,Organic,Irrigated,Yes,5,0,0,10,0,14,12,12,0,0,2,0,0,0,0,644,588,280,180,108,108,12,18,10,55
F010,Jennifer Levy MD,Mombasa Ward 5,"-3.812511, 40.204994",2022-09-10,Conventional,Irrigated,No,27,14,50,11,0,23,0,13,18,0,0,0,1626,2012,1510,782,897,1058,613,1033,722,0,0,0,156
