Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Kyle Stevens,Murang'a Ward 1,"-1.39228, 38.329793",2024-06-13,Conventional,Irrigated,No,51,21,0,9,0,19,0,1,27,0,0,0,105,168,147,627,532,551,1328,554,629,0,0,0,128
F002,Jose Gibbs,Murang'a Ward 12,"-3.730492, 36.646697",2025-10-24,Conventional,Rain-fed,Yes,56,27,0,6,19,0,47,0,1,23,9,0,324,351,378,171,133,114,37,31,40,99,117,135,188
F003,Traci Gonzales,Murang'a Ward 6,"2.599424, 41.63203",2020-09-24,Conventional,Rain-fed,No,29,16,17,2,0,10,5,0,0,0,0,0,819,640,607,340,210,340,0,0,0,0,0,0,79
F004,Dakota Jackson,Murang'a Ward 6,"2.324826, 37.305796",2024-07-29,Organic,Irrigated,Yes,49,32,97,3,10,27,6,2,0,0,0,16,2324,2875,4749,1298,1318,880,26,28,14,768,704,384,242
F005,Mary Ferguson,Murang'a Ward 5,"3.488202, 39.616176",2021-04-25,Conventional,Rain-fed,Yes,38,34,0,0,0,17,0,0,0,9,0,12,272,204,510,816,527,748,0,0,0,324,288,372,110
F006,Justin Melton,Murang'a Ward 1,"-2.195361, 41.708678",2025-07-15,Organic,Irrigated,Yes,9,48,60,6,28,0,0,0,0,0,0,0,1728,1764,2940,392,308,224,0,0,0,0,0,0,151
F007,Bryan Bradley,Murang'a Ward 12,"-2.411828, 38.381592",2025-07-17,Conventional,Rain-fed,Yes,12,2,12,0,8,0,0,10,3,2,0,2,384,386,302,80,64,40,237,193,156,40,96,88,51
F008,Sarah Robertson,Murang'a Ward 7,"3.501344, 38.110913",2022-03-11,Conventional,Rain-fed,Yes,0,13,13,5,25,7,0,14,15,0,0,5,377,767,663,502,526,520,843,677,370,130,175,200,97
F009,Rita Baker,Murang'a Ward 7,"-3.124939, 37.625993",2022-12-16,Organic,Rain-fed,Yes,20,0,12,2,12,36,6,36,0,32,16,0,276,516,336,1068,1380,1008,324,324,288,80,144,176,172
F010,Heidi Hoffman MD,Murang'a Ward 1,"-2.167161, 35.397871",2025-01-25,Organic,Rain-fed,Yes,47,0,17,11,0,41,15,3,34,6,25,0,595,629,442,1148,2050,1066,979,1137,1563,225,200,150,199
