Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Mary Morris,Nairobi Ward 8,"-2.035116, 39.774798",2022-08-08,Conventional,Irrigated,Yes,8,19,9,13,0,0,9,0,0,0,0,0,562,570,412,0,0,0,0,0,0,0,0,0,58
F002,Gabriela Pham,Nairobi Ward 12,"-2.838543, 40.528757",2020-05-25,Conventional,Irrigated,Yes,57,1,24,0,27,6,19,3,0,0,0,0,681,582,949,585,525,531,27,45,15,0,0,0,137
F003,Christina Hall,Nairobi Ward 1,"-3.659577, 41.484222",2021-05-30,Conventional,Rain-fed,No,22,39,34,0,18,24,6,9,4,0,0,0,1347,1323,2168,1248,1206,1194,265,210,190,0,0,0,156
F004,Darrell West,Nairobi Ward 4,"3.564739, 38.833464",2025-11-16,Organic,Rain-fed,Yes,20,6,0,17,29,9,25,14,0,0,24,14,36,84,48,746,421,587,210,196,182,864,824,624,158
F005,Paul Collins,Nairobi Ward 7,"-4.08719, 36.22672",2024-07-16,Conventional,Irrigated,No,68,16,57,0,9,18,1,5,27,0,0,0,2759,2050,1236,945,621,693,951,875,1147,0,0,0,201
F006,Erik Stephens,Nairobi Ward 8,"1.696027, 36.15966",2022-01-26,Conventional,Rain-fed,No,0,67,68,0,0,27,4,0,10,15,36,23,3459,2641,2706,1215,567,1026,410,200,270,1355,1575,938,250
F007,Matthew Meyer DVM,Nairobi Ward 11,"-1.991283, 35.90387",2024-05-18,Conventional,Irrigated,No,5,18,13,21,14,14,4,21,3,0,0,0,824,700,812,434,476,434,243,321,234,0,0,0,113
F008,Carl Munoz,Nairobi Ward 2,"2.683598, 37.495156",2020-06-14,Organic,Irrigated,No,37,11,40,5,26,13,20,14,0,0,0,0,968,1779,1968,663,559,572,168,196,98,0,0,0,166
F009,Jonathan Jackson,Nairobi Ward 6,"-3.209005, 35.769094",2024-07-23,Conventional,Rain-fed,Yes,49,9,0,6,25,10,6,3,16,0,0,0,90,90,63,795,625,540,573,466,497,0,0,0,124
F010,Marcus Watson,Nairobi Ward 2,"0.906341, 36.226071",2024-02-23,Organic,Rain-fed,No,0,10,35,5,5,14,4,12,6,0,0,0,1735,1820,1110,740,493,335,480,396,222,0,0,0,91
F011,Erin Garcia,Nairobi Ward 9,"-0.226611, 36.654866",2025-03-15,Organic,Rain-fed,No,41,13,19,33,24,8,41,0,0,15,1,0,859,1049,841,672,584,552,0,0,0,11,10,6,195
F012,Dawn Perkins,Nairobi Ward 12,"-2.587953, 35.12317",2021-02-11,Organic,Irrigated,Yes,0,0,70,35,0,6,20,35,20,15,19,5,1470,1960,3430,288,150,270,1030,1380,945,297,386,450,225
F013,Micheal Lopez,Nairobi Ward 1,"-0.214352, 37.463469",2024-06-02,Conventional,Rain-fed,Yes,16,11,3,7,6,0,20,9,10,0,0,0,202,201,218,90,60,60,376,484,273,0,0,0,82
F014,Mark Hall,Nairobi Ward 1,"1.353709, 38.35157",2021-05-24,Conventional,Irrigated,No,35,0,11,0,25,14,51,39,23,0,0,0,517,286,264,756,707,634,1264,1358,956,0,0,0,198
F015,Michael Howard,Nairobi Ward 4,"-0.171085, 36.816146",2020-06-08,Conventional,Irrigated,No,10,92,0,18,0,40,10,15,35,0,0,0,736,1104,828,1560,2000,1480,1295,805,905,0,0,0,220
F016,Kendra Hodges,Nairobi Ward 6,"2.76749, 34.251372",2024-06-21,Organic,Rain-fed,Yes,49,0,0,13,25,0,26,43,5,17,5,7,0,0,0,150,300,225,378,637,550,324,172,261,190
F017,Jenna Owens,Nairobi Ward 3,"-0.068746, 35.766815",2024-02-01,Conventional,Rain-fed,Yes,37,24,31,0,18,0,6,0,0,0,0,0,1855,1356,1318,216,270,198,0,0,0,0,0,0,116
F018,Stacey Jones,Nairobi Ward 4,"0.138672, 35.786877",2023-07-10,Conventional,Irrigated,Yes,24,12,2,0,0,32,1,18,29,0,0,0,216,248,214,1600,1056,1056,1543,1336,1318,0,0,0,118
F019,Catherine Little,Nairobi Ward 6,"2.353815, 40.834695",2025-06-19,Conventional,Irrigated,Yes,40,0,0,19,30,12,31,32,10,0,0,0,0,0,0,690,984,930,690,726,778,0,0,0,174
F020,Steven Mcclain,Nairobi Ward 4,"-1.875401, 34.573273",2022-05-22,Conventional,Irrigated,No,63,35,0,0,15,28,0,11,30,30,0,11,210,280,420,1625,1462,994,762,1185,1299,319,330,484,223
F021,Erin Eaton,Nairobi Ward 10,"0.985468, 39.461389",2023-09-19,Organic,Rain-fed,No,20,48,1,0,15,5,24,51,22,0,0,0,384,479,409,310,370,300,1127,1462,892,0,0,0,186
F022,Matthew Edwards,Nairobi Ward 11,"1.897416, 35.055809",2025-05-27,Organic,Rain-fed,Yes,9,0,24,5,0,6,14,4,0,5,2,0,1128,1056,696,246,240,276,44,20,20,28,16,10,69
F023,Morgan Reed,Nairobi Ward 3,"2.112979, 36.511184",2024-02-16,Conventional,Rain-fed,No,45,42,13,0,0,21,31,10,0,0,0,0,1028,991,998,819,504,420,120,50,100,0,0,0,162
F024,April Brooks,Nairobi Ward 1,"4.15473, 34.257864",2025-02-14,Conventional,Irrigated,No,0,17,1,7,5,2,2,6,5,1,0,4,203,267,135,112,135,131,235,211,192,152,180,200,50
F025,Jennifer Edwards,Nairobi Ward 2,"0.60331, 39.788432",2020-04-08,Organic,Rain-fed,Yes,35,29,37,0,12,9,0,3,5,0,0,0,1474,1461,1524,453,381,339,121,170,184,0,0,0,130
F026,Sandra Murray,Nairobi Ward 2,"-4.198206, 34.731271",2021-03-15,Conventional,Rain-fed,Yes,72,17,4,0,10,24,11,42,2,0,0,0,243,358,371,892,1290,1148,280,448,278,0,0,0,182
F027,Miguel Stone,Nairobi Ward 3,"0.579731, 36.647603",2021-02-22,Organic,Irrigated,No,3,57,22,43,33,6,0,1,33,0,0,0,1433,1344,1366,477,501,699,1071,967,1425,0,0,0,198
F028,William Moses,Nairobi Ward 8,"-1.384258, 40.564709",2022-07-14,Conventional,Irrigated,No,47,21,1,24,21,14,16,27,18,0,0,0,213,129,349,560,854,658,900,666,774,0,0,0,189
F029,Anthony James,Nairobi Ward 12,"-4.465167, 41.140598",2021-11-02,Organic,Rain-fed,Yes,39,24,11,25,6,0,0,0,0,0,0,0,539,734,724,54,48,42,0,0,0,0,0,0,105
F030,Jeremy Sandoval,Nairobi Ward 10,"-2.383449, 34.192578",2022-06-12,Organic,Rain-fed,No,29,21,0,7,1,0,14,7,0,0,0,0,105,294,315,15,9,11,49,63,49,0,0,0,79
F031,Heather Clarke,Nairobi Ward 3,"2.918831, 40.563082",2020-07-22,Conventional,Rain-fed,No,17,0,0,18,0,7,35,44,10,31,3,18,0,0,0,196,252,224,744,950,836,693,930,417,183
F032,Steven Murphy,Nairobi Ward 1,"2.921517, 34.018484",2021-12-13,Conventional,Irrigated,No,11,12,15,26,0,11,19,1,30,0,0,0,765,540,798,462,429,385,700,735,825,0,0,0,125
F033,Benjamin Branch,Nairobi Ward 2,"1.395762, 38.328654",2025-05-22,Organic,Rain-fed,Yes,13,0,0,9,5,10,10,6,10,0,0,0,0,0,0,455,430,305,530,448,428,0,0,0,63
F034,Karen Boyd,Nairobi Ward 10,"2.850292, 38.832826",2022-07-31,Conventional,Rain-fed,Yes,12,18,0,0,0,17,5,0,23,5,22,5,270,198,144,680,595,833,529,782,1127,426,475,473,107
F035,Scott Martinez,Nairobi Ward 3,"-0.247141, 36.644577",2024-08-03,Organic,Irrigated,Yes,29,0,32,12,0,0,0,11,6,0,0,0,1088,1120,1312,0,0,0,419,312,337,0,0,0,90
F036,Melissa Brown,Nairobi Ward 9,"1.356626, 34.84365",2022-03-28,Conventional,Rain-fed,No,51,25,14,66,1,23,30,13,0,0,7,10,625,595,597,840,465,1087,182,104,104,425,598,560,240
F037,Patrick Cooper,Nairobi Ward 11,"-2.988169, 38.76333",2025-04-23,Organic,Rain-fed,Yes,10,0,45,14,1,0,41,54,54,0,0,0,1440,1080,1035,12,11,15,2214,3078,3186,0,0,0,219
F038,James Jackson,Nairobi Ward 1,"1.558781, 35.771789",2024-10-23,Conventional,Irrigated,No,10,13,10,0,2,11,12,7,12,0,0,0,381,583,556,479,500,425,384,635,617,0,0,0,77
F039,Rhonda Mooney,Nairobi Ward 11,"-4.490269, 40.402006",2024-09-18,Organic,Rain-fed,Yes,11,8,29,16,27,5,20,34,5,23,7,6,707,1472,990,371,302,565,587,540,682,370,341,173,191
F040,Aaron Smith,Nairobi Ward 3,"2.660363, 39.590701",2023-01-02,Organic,Rain-fed,No,33,39,0,0,0,20,8,0,18,3,1,0,312,507,351,840,500,820,720,900,432,10,6,7,122
F041,Andrew Raymond,Nairobi Ward 4,"-2.920608, 36.454309",2025-09-28,Organic,Irrigated,No,75,0,0,18,26,0,36,0,2,0,32,0,0,0,0,338,130,208,76,52,58,288,288,192,189
F042,Sandra Alvarez,Nairobi Ward 5,"-2.43381, 36.083501",2021-12-03,Organic,Irrigated,Yes,13,73,4,20,18,1,49,3,10,0,0,0,887,683,687,316,278,221,295,481,236,0,0,0,191
F043,Allison Thomas,Nairobi Ward 1,"2.349878, 34.743173",2023-12-12,Organic,Rain-fed,Yes,54,56,14,25,0,0,15,0,18,0,0,0,1064,1036,1540,0,0,0,540,828,648,0,0,0,182
F044,Francis Arroyo,Nairobi Ward 3,"3.977953, 40.43253",2022-03-11,Organic,Rain-fed,No,46,1,9,10,17,23,0,30,27,0,0,0,244,418,350,1153,1130,1125,1044,858,1557,0,0,0,163
F045,Richard Walker,Nairobi Ward 11,"0.314193, 36.340453",2025-12-03,Organic,Irrigated,Yes,5,13,33,9,0,12,0,7,5,0,12,3,1634,1695,842,300,240,420,247,238,275,273,150,261,99
F046,Jason Miller,Nairobi Ward 10,"-0.237908, 41.126148",2023-10-11,Conventional,Rain-fed,Yes,53,0,0,28,0,0,27,26,0,0,0,0,0,0,0,0,0,0,286,390,390,0,0,0,134
F047,David Green,Nairobi Ward 11,"-3.797969, 38.834856",2023-10-21,Organic,Rain-fed,Yes,7,25,28,32,10,20,0,23,28,0,0,0,769,1130,866,720,770,1030,953,1342,1579,0,0,0,173
F048,Tammy Kennedy,Nairobi Ward 4,"-4.138978, 34.799122",2024-07-13,Organic,Rain-fed,Yes,11,0,22,12,4,1,0,0,6,0,0,0,638,990,880,67,57,81,252,198,288,0,0,0,56
F049,Douglas Davis,Nairobi Ward 5,"-3.02697, 40.24832",2025-07-18,Conventional,Rain-fed,No,9,7,26,34,22,7,0,10,1,29,3,12,1292,1155,1200,403,560,345,104,103,105,495,594,615,160
F050,Kari Ryan,Nairobi Ward 11,"1.638485, 36.421595",2023-04-16,Organic,Rain-fed,Yes,20,20,30,5,0,7,0,0,9,0,0,0,830,1120,1150,140,175,294,189,432,324,0,0,0,91
F051,Stephen Henderson,Nairobi Ward 5,"-0.072306, 36.182136",2023-02-21,Conventional,Rain-fed,No,15,21,0,9,0,19,39,20,27,0,9,9,273,168,105,608,703,437,707,1394,1083,495,369,324,168
F052,Sharon King,Nairobi Ward 11,"2.834477, 39.75388",2021-01-26,Conventional,Rain-fed,Yes,4,1,47,7,20,17,0,41,25,0,0,0,1001,2312,1468,577,908,557,1187,1146,1451,0,0,0,162
F053,Michael Gutierrez,Nairobi Ward 5,"0.440505, 37.917298",2023-01-29,Conventional,Rain-fed,Yes,22,22,2,17,37,20,2,18,30,0,0,0,370,374,390,938,890,1135,1140,1020,1356,0,0,0,170
F054,David Robinson,Nairobi Ward 5,"2.406704, 41.036141",2025-09-10,Conventional,Rain-fed,Yes,21,19,42,19,37,0,28,0,15,1,13,0,1828,1645,1366,555,407,518,465,555,450,182,182,130,195
F055,Dean Thomas,Nairobi Ward 1,"0.309788, 38.932223",2022-01-23,Conventional,Irrigated,Yes,11,75,34,0,16,15,32,19,0,0,0,0,1858,2260,1463,652,489,942,95,209,133,0,0,0,202
F056,Denise Odom,Nairobi Ward 2,"-3.4464, 37.37889",2022-06-04,Conventional,Rain-fed,No,18,15,21,20,0,0,0,11,4,0,0,0,909,1044,1029,0,0,0,244,338,329,0,0,0,89
F057,Jennifer Thompson,Nairobi Ward 11,"-2.435854, 40.33784",2025-12-17,Organic,Irrigated,Yes,33,26,66,22,0,30,13,0,15,0,15,0,2674,3004,3232,1440,1440,930,630,555,540,75,225,90,220
F058,Elizabeth Kaiser,Nairobi Ward 7,"1.447723, 38.177567",2025-08-25,Organic,Irrigated,No,10,33,0,0,5,18,42,24,4,13,13,2,297,264,495,858,773,475,496,416,440,148,172,154,164
F059,Shawn King,Nairobi Ward 7,"0.679401, 38.20884",2021-08-09,Organic,Irrigated,No,73,46,0,12,0,0,0,31,5,0,8,31,690,368,322,0,0,0,361,556,472,1476,1298,753,206
F060,Amy Stewart,Nairobi Ward 3,"0.610694, 41.787908",2020-12-04,Organic,Rain-fed,Yes,73,19,63,31,26,0,0,0,5,0,0,0,3082,2036,2319,390,182,260,245,195,205,0,0,0,217
F061,Katrina Bryant,Nairobi Ward 1,"2.301665, 39.926907",2022-01-05,Conventional,Rain-fed,Yes,0,21,5,6,3,9,9,0,9,0,0,0,389,410,408,420,264,309,306,297,441,0,0,0,62
F062,Deborah Mcbride,Nairobi Ward 10,"-0.791857, 41.147624",2023-02-03,Organic,Irrigated,Yes,4,37,26,21,0,15,11,0,13,0,0,0,1187,742,1559,615,495,525,286,507,260,0,0,0,127
F063,Bruce Mercado,Nairobi Ward 8,"1.081187, 36.181549",2021-03-05,Conventional,Irrigated,No,0,57,0,30,7,0,23,22,4,0,4,18,342,513,399,84,70,63,344,406,378,866,912,674,165
F064,Emily Jacobson,Nairobi Ward 6,"-2.476095, 39.233602",2020-10-31,Organic,Irrigated,No,60,59,33,0,0,0,20,34,0,0,0,10,2094,2245,1549,0,0,0,170,510,204,380,330,400,216
F065,Kristen Lee,Nairobi Ward 12,"-2.443118, 34.357756",2025-01-19,Organic,Irrigated,Yes,21,2,0,27,8,0,14,5,7,0,0,0,26,24,30,40,48,40,374,278,364,0,0,0,84
F066,Cindy Bird,Nairobi Ward 7,"-0.650702, 37.669893",2022-05-06,Organic,Rain-fed,Yes,78,52,0,14,42,0,37,4,0,0,0,0,468,364,312,378,252,546,36,28,24,0,0,0,227
F067,Sean Gonzalez,Nairobi Ward 12,"-3.495076, 41.212416",2022-02-14,Conventional,Irrigated,No,0,57,56,48,0,0,0,9,52,12,0,0,2303,2752,1969,0,0,0,2403,1173,2075,0,0,0,234
F068,Jennifer Mills,Nairobi Ward 4,"3.073707, 40.326224",2023-05-14,Organic,Rain-fed,No,62,19,65,0,33,4,0,8,7,0,0,0,2828,2706,2446,452,456,634,341,386,252,0,0,0,198
F069,Debbie Vang,Nairobi Ward 5,"-4.275929, 41.269877",2024-10-18,Conventional,Irrigated,No,8,24,0,9,0,19,0,0,15,0,4,0,288,240,336,646,722,456,675,450,435,44,32,56,79
F070,Joseph Barnes,Nairobi Ward 10,"0.224068, 36.635066",2022-09-22,Conventional,Rain-fed,Yes,0,59,4,4,26,30,23,36,0,0,0,0,770,939,970,1558,920,1198,180,288,396,0,0,0,182
F071,Carl Reed,Nairobi Ward 2,"-4.088451, 40.634954",2024-02-06,Conventional,Rain-fed,Yes,0,1,52,3,30,8,51,28,14,0,0,0,1419,1465,1208,454,626,460,798,868,896,0,0,0,187
F072,Melissa Simpson,Nairobi Ward 9,"-0.686883, 35.468282",2022-04-03,Organic,Rain-fed,No,7,32,5,0,31,23,0,14,0,4,7,0,568,451,388,1383,1375,932,168,70,210,91,56,84,123
F073,David Woodard,Nairobi Ward 2,"2.345571, 39.283322",2022-01-16,Organic,Irrigated,Yes,5,44,46,8,12,0,30,0,29,38,0,0,1630,2092,1764,156,84,120,638,638,725,0,0,0,212
F074,Jessica Martin,Nairobi Ward 11,"-2.938738, 36.254149",2020-07-30,Conventional,Rain-fed,No,37,46,60,0,49,0,0,16,0,7,20,0,2924,1900,2574,490,343,637,96,96,240,100,180,200,235
F075,Anna Ponce,Nairobi Ward 4,"-2.522046, 35.151436",2022-11-13,Conventional,Irrigated,Yes,0,92,0,9,51,2,9,25,26,0,20,1,1288,828,460,307,349,447,1240,1059,823,146,162,195,235
F076,Jerry Reynolds,Nairobi Ward 10,"-3.683089, 36.213727",2021-12-02,Organic,Irrigated,Yes,17,49,28,22,0,27,0,62,29,0,0,0,1799,1554,1890,1026,864,972,1287,1585,1436,0,0,0,234
F077,Shane Humphrey,Nairobi Ward 1,"0.571891, 36.357925",2025-09-25,Conventional,Rain-fed,Yes,0,35,7,1,11,15,0,0,9,0,2,6,595,749,665,531,522,455,198,225,225,282,256,182,86
F078,Nathan Stewart,Nairobi Ward 2,"3.617699, 39.246714",2023-02-26,Conventional,Rain-fed,No,1,16,0,8,0,11,10,0,9,6,0,0,128,144,112,550,253,374,405,324,225,0,0,0,61
F079,Heather Dominguez,Nairobi Ward 2,"2.579266, 38.368791",2020-05-19,Organic,Irrigated,Yes,20,66,50,0,26,0,0,0,41,0,0,0,1662,1792,1792,338,234,286,1558,2009,902,0,0,0,203
F080,Gregory Jimenez,Nairobi Ward 6,"-3.122658, 37.836337",2023-12-09,Conventional,Irrigated,Yes,41,71,47,0,0,31,4,25,0,17,0,0,3084,2851,2024,620,992,1519,250,175,175,0,0,0,236
F081,Jesse Lamb,Nairobi Ward 10,"-1.92802, 37.376118",2022-02-09,Conventional,Irrigated,Yes,13,19,64,5,2,0,49,34,2,0,0,1,3172,2866,2584,28,14,16,286,336,398,42,44,25,189
F082,Matthew Bush,Nairobi Ward 10,"-0.956281, 41.053205",2020-11-28,Conventional,Irrigated,Yes,5,0,64,34,0,12,33,6,9,0,0,0,1728,2240,2752,408,384,408,315,441,360,0,0,0,163
F083,Tyler Little,Nairobi Ward 1,"-2.009975, 39.004491",2025-12-21,Organic,Rain-fed,Yes,1,0,16,31,51,0,47,24,21,5,12,0,528,752,704,459,561,357,1245,897,1125,168,180,168,208
F084,Emily Blair,Nairobi Ward 1,"-1.646414, 40.586138",2020-08-19,Conventional,Rain-fed,Yes,28,3,37,11,28,45,0,46,34,0,0,0,1495,1464,1732,2153,2170,1849,1820,2094,2356,0,0,0,232
F085,David Morton,Nairobi Ward 9,"3.427677, 40.038531",2023-08-02,Organic,Rain-fed,No,28,52,0,28,3,4,23,13,29,0,2,2,676,364,364,160,231,102,1180,697,774,76,72,70,184
F086,Amanda Morgan,Nairobi Ward 5,"2.102139, 37.713697",2025-08-04,Conventional,Rain-fed,No,54,8,73,0,0,54,0,10,30,0,0,0,2148,2522,2448,2106,1080,1080,870,1260,1620,0,0,0,229
F087,Audrey West,Nairobi Ward 5,"-2.96596, 39.623177",2020-10-12,Organic,Irrigated,Yes,0,25,8,12,14,11,2,4,0,12,0,0,515,647,535,407,586,433,36,36,20,0,0,0,88
F088,Keith Moore,Nairobi Ward 7,"2.670226, 34.414244",2022-10-07,Organic,Irrigated,No,65,29,26,7,0,13,0,0,29,27,0,16,1405,1203,804,533,455,364,1450,1131,812,352,496,368,212
F089,Mary Reid,Nairobi Ward 6,"4.028069, 34.742949",2022-09-08,Organic,Irrigated,Yes,34,66,0,0,14,34,0,22,0,12,0,15,858,792,924,1678,784,750,286,308,110,300,480,690,197
F090,Richard Hill,Nairobi Ward 5,"-3.83833, 41.237785",2023-02-05,Conventional,Rain-fed,No,38,68,46,10,0,30,0,28,0,13,4,0,2310,2726,2586,780,1470,930,392,336,392,32,32,28,237
F091,Stacy Anderson,Nairobi Ward 3,"-0.488078, 35.383895",2025-07-20,Conventional,Rain-fed,Yes,21,0,29,10,10,4,15,0,8,6,2,0,1392,1363,1334,198,196,256,216,200,208,10,24,16,105
F092,Ronald Barry,Nairobi Ward 1,"4.251155, 37.800699",2024-10-09,Conventional,Rain-fed,No,40,23,45,45,13,14,0,0,44,8,0,0,1603,2482,1828,719,595,856,1936,2156,1848,0,0,0,232
F093,Scott Olson,Nairobi Ward 1,"-3.579001, 36.649307",2022-09-30,Conventional,Rain-fed,No,0,4,9,5,6,2,11,0,13,1,1,6,344,276,330,140,168,140,572,520,325,194,143,270,58
F094,Caroline Coleman,Nairobi Ward 6,"0.740808, 37.224474",2021-10-02,Conventional,Rain-fed,No,0,5,27,7,17,18,24,7,32,0,0,0,1020,1164,865,653,661,763,1577,1410,1553,0,0,0,137
F095,Erin Ross,Nairobi Ward 8,"-3.348603, 34.734152",2021-02-21,Organic,Rain-fed,No,23,29,87,0,0,0,15,37,26,0,0,0,4292,2204,4611,0,0,0,1054,1146,1566,0,0,0,217
F096,Susan Kennedy,Nairobi Ward 10,"-3.915335, 35.439591",2022-07-28,Organic,Irrigated,No,7,39,0,0,13,0,0,25,19,11,21,7,468,234,273,182,65,169,1161,1093,781,385,518,560,142
F097,Ryan Carlson,Nairobi Ward 3,"1.252281, 40.892824",2024-10-11,Organic,Irrigated,Yes,35,3,0,45,35,25,12,15,30,0,0,0,45,21,24,945,1030,1475,1050,825,795,0,0,0,200
F098,Miranda Franklin,Nairobi Ward 9,"2.59919, 38.819685",2022-09-28,Conventional,Irrigated,Yes,9,6,18,9,0,4,2,0,1,4,8,4,750,678,636,96,140,176,24,36,21,248,176,212,65
F099,George Donovan,Nairobi Ward 7,"-2.830548, 39.639991",2021-06-20,Conventional,Irrigated,No,19,0,53,26,10,14,0,0,13,0,6,18,2279,2597,1696,606,806,714,312,312,650,612,888,786,159
F100,Sarah Washington,Nairobi Ward 6,"-1.42794, 34.653992",2023-04-10,Conventional,Rain-fed,No,71,18,10,38,0,0,36,0,44,0,0,0,576,570,608,0,0,0,1408,1716,880,0,0,0,217
F101,Wayne Martin,Nairobi Ward 3,"1.329837, 37.579279",2025-12-05,Organic,Rain-fed,No,1,32,14,12,2,0,0,0,5,14,9,3,1014,914,770,20,10,14,140,140,215,195,180,210,92
F102,Kelsey Blake,Nairobi Ward 7,"-2.466924, 34.405104",2021-02-28,Conventional,Irrigated,Yes,33,27,0,9,8,9,0,5,8,3,0,0,243,189,243,283,288,336,475,321,384,0,0,0,102
