Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Cory Rogers,Nakuru Ward 4,"-0.615715, 37.487011",2022-12-28,Organic,Irrigated,Yes,68,53,0,8,0,42,31,0,33,0,0,0,583,371,318,2100,840,1722,891,957,1089,0,0,0,235
F002,Amy Bennett,Nakuru Ward 1,"-0.476116, 38.524508",2025-04-10,Conventional,Rain-fed,No,43,1,65,2,30,15,25,0,14,0,0,0,3193,1764,1502,720,660,870,532,308,658,0,0,0,195
F003,Adriana Haas,Nakuru Ward 8,"-2.631545, 41.554097",2022-10-17,Conventional,Irrigated,No,1,33,67,31,0,0,35,0,11,0,0,0,1769,1736,2372,0,0,0,253,484,308,0,0,0,178
F004,Michelle Sanchez,Nakuru Ward 5,"3.945314, 35.347489",2021-10-19,Conventional,Irrigated,Yes,9,5,14,6,15,0,6,8,12,0,0,0,576,466,366,75,165,105,432,380,404,0,0,0,75
F005,Joshua Quinn,Nakuru Ward 7,"2.916751, 35.447202",2024-11-29,Conventional,Irrigated,Yes,23,22,24,9,3,4,0,11,0,0,0,0,826,894,974,162,162,153,143,110,132,0,0,0,96
F006,Paige Newton,Nakuru Ward 2,"1.671103, 34.271623",2024-01-19,Organic,Rain-fed,No,1,34,0,27,9,11,4,21,8,0,10,0,238,374,272,388,423,595,534,515,432,60,80,80,125
F007,Kyle Curtis,Nakuru Ward 3,"2.502924, 34.251003",2024-10-13,Organic,Irrigated,No,10,36,0,0,6,14,23,1,38,7,0,6,396,540,468,598,316,632,1035,923,1753,174,126,162,141
F008,Jennifer Miranda,Nakuru Ward 12,"-0.697752, 39.243973",2021-07-16,Organic,Irrigated,Yes,38,0,38,36,11,1,0,19,26,0,0,0,1520,1406,1482,142,110,199,951,1289,930,0,0,0,169
F009,Joe Smith,Nakuru Ward 11,"-0.387091, 36.388346",2021-11-25,Conventional,Irrigated,No,21,0,16,14,21,27,1,0,29,0,0,0,608,496,800,1443,1053,951,1363,754,870,0,0,0,129
F010,Sandra Woods,Nakuru Ward 2,"-3.572079, 36.840914",2023-04-08,Conventional,Rain-fed,Yes,35,0,42,25,16,13,13,0,0,5,0,3,924,1764,924,395,635,661,0,0,0,114,111,132,152
F011,Jacob Fuller,Nakuru Ward 12,"0.563084, 36.791723",2020-11-25,Conventional,Rain-fed,No,35,14,31,14,19,26,42,29,8,0,0,0,912,1307,1298,1109,861,1585,459,451,642,0,0,0,218
F012,David Hawkins,Nakuru Ward 3,"0.834889, 39.299816",2021-08-15,Conventional,Rain-fed,No,24,89,16,9,9,0,37,29,0,0,0,36,1338,1637,1046,81,72,81,232,290,232,756,864,1152,249
F013,James Cooper,Nakuru Ward 11,"-3.888699, 37.508451",2020-09-06,Conventional,Rain-fed,Yes,68,18,74,2,0,20,0,13,22,0,0,0,2936,2604,1772,500,680,680,1116,672,1178,0,0,0,217
F014,Carrie Lopez,Nakuru Ward 8,"0.926018, 34.448329",2022-02-17,Organic,Irrigated,Yes,25,0,6,0,12,7,24,7,3,0,8,15,270,234,240,261,506,437,188,211,223,545,702,695,107
