Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Michael Smith,Nandi Ward 1,"-2.940794, 36.79357",2025-03-19,Conventional,Irrigated,No,60,16,0,0,11,0,11,36,34,8,0,0,240,176,80,66,165,132,1032,1580,1148,0,0,0,176
F002,Mary Long,Nandi Ward 2,"-4.360404, 34.101051",2023-03-05,Conventional,Rain-fed,No,29,5,9,8,14,15,10,4,0,0,2,0,324,316,438,735,722,427,48,56,28,14,16,22,96
F003,Stephanie Brown,Nandi Ward 5,"1.789724, 36.784288",2020-06-17,Conventional,Rain-fed,Yes,14,0,30,16,28,17,0,0,0,0,0,0,630,1470,1380,718,766,898,0,0,0,0,0,0,105
F004,Eddie Davis,Nandi Ward 3,"2.707544, 35.517506",2020-12-25,Conventional,Rain-fed,No,0,31,9,12,0,9,21,0,0,14,19,11,866,477,808,378,378,405,0,0,0,665,637,670,126
F005,April Leach,Nandi Ward 8,"2.690207, 37.521785",2024-05-02,Organic,Irrigated,Yes,12,3,22,0,14,17,9,0,15,0,0,0,1121,1080,684,840,992,794,450,615,570,0,0,0,92
F006,Natalie Rodriguez,Nandi Ward 5,"-1.166757, 39.83829",2024-09-23,Conventional,Rain-fed,No,35,0,0,13,17,14,14,0,0,11,12,4,0,0,0,627,927,466,0,0,0,188,212,204,120
F007,George Clark,Nandi Ward 7,"2.702338, 34.520856",2025-06-11,Conventional,Irrigated,Yes,0,37,29,2,21,45,0,34,22,0,18,0,1187,1195,1799,1881,1473,1758,1156,1294,1118,144,108,270,208
F008,Lisa Galvan,Nandi Ward 3,"2.730096, 41.570752",2023-01-30,Conventional,Rain-fed,Yes,4,31,33,8,12,0,17,4,17,5,0,0,1665,1042,1634,108,84,72,787,554,547,0,0,0,131
F009,Julia Brown,Nandi Ward 4,"3.924497, 39.123867",2025-09-18,Organic,Rain-fed,No,0,26,81,42,0,37,0,0,10,0,0,0,4012,3879,4229,1147,814,814,240,200,380,0,0,0,196
F010,Phillip Smith,Nandi Ward 11,"-3.67254, 37.425994",2023-01-23,Conventional,Irrigated,No,4,12,12,1,5,12,5,8,0,0,0,0,432,516,408,653,340,518,112,56,40,0,0,0,59
