Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Laura Henry,Narok Ward 8,"-3.055048, 36.33164",2025-08-10,Organic,Irrigated,Yes,43,0,40,0,19,28,11,16,0,0,0,0,1880,1400,1840,956,1525,1525,208,80,208,0,0,0,157
F002,James Logan,Narok Ward 2,"-2.14957, 35.276258",2025-01-18,Organic,Rain-fed,No,20,0,0,16,3,14,28,5,18,0,19,0,0,0,0,736,449,506,443,587,703,285,171,171,123
F003,Sandra Esparza,Narok Ward 6,"-1.645976, 34.54395",2020-09-09,Conventional,Rain-fed,No,4,8,0,4,3,9,4,5,12,5,9,3,120,88,96,324,402,420,497,567,543,138,279,249,66
F004,Daisy Bowman,Narok Ward 5,"1.280995, 41.871732",2024-10-27,Conventional,Irrigated,Yes,3,10,8,12,8,6,10,14,0,0,0,0,450,286,364,296,236,192,140,84,84,0,0,0,71
F005,Elizabeth Page,Narok Ward 6,"2.255201, 41.541205",2020-01-24,Organic,Irrigated,Yes,0,8,0,0,0,18,7,8,9,1,0,8,80,120,80,846,522,774,543,285,313,336,304,256,59
F006,Jason Craig,Narok Ward 6,"-3.505319, 36.725227",2023-11-09,Conventional,Irrigated,No,5,0,6,7,4,10,1,13,0,4,8,5,192,192,198,464,510,498,143,182,65,231,164,347,63
F007,Matthew Rice,Narok Ward 1,"3.106885, 41.627684",2021-10-23,Conventional,Irrigated,No,10,52,34,0,0,21,21,11,0,1,0,0,2274,1402,1980,441,483,966,77,110,55,0,0,0,150
F008,Mark Richards,Narok Ward 7,"-3.623407, 36.376805",2024-03-31,Conventional,Rain-fed,Yes,0,36,1,11,48,21,41,0,46,0,0,0,431,286,362,999,1335,1317,1610,966,2162,0,0,0,204
F009,Jamie Taylor,Narok Ward 5,"4.069143, 40.414043",2024-12-02,Organic,Irrigated,Yes,41,0,17,0,9,12,5,14,0,0,4,0,442,510,544,483,432,495,182,112,210,60,40,52,102
F010,Joseph Anderson,Narok Ward 9,"-1.070286, 36.053182",2021-12-06,Conventional,Rain-fed,No,16,0,5,11,8,0,0,2,8,0,0,0,155,160,165,72,56,48,408,194,180,0,0,0,50
F011,Paul Morrison,Narok Ward 6,"-1.527338, 34.566137",2022-06-27,Organic,Rain-fed,No,40,33,63,0,15,3,0,0,0,14,0,4,2694,2340,3267,216,237,168,0,0,0,104,108,136,172
F012,Mr. David Baker,Narok Ward 3,"3.440966, 36.04479",2020-12-19,Conventional,Rain-fed,No,6,12,11,11,25,1,4,21,13,0,0,0,464,346,595,397,247,253,553,607,417,0,0,0,104
F013,Renee Garcia,Narok Ward 6,"-1.535525, 34.348014",2021-02-16,Conventional,Rain-fed,Yes,30,25,26,0,7,0,10,0,0,0,0,8,1498,879,1162,84,77,63,0,0,0,176,168,232,106
F014,Christian Roy,Narok Ward 9,"-3.678878, 38.18009",2024-01-29,Conventional,Irrigated,No,0,6,19,8,1,13,10,0,0,0,0,0,466,783,1021,427,496,481,0,0,0,0,0,0,57
F015,Matthew Allen,Narok Ward 4,"-3.667931, 40.374321",2021-09-26,Organic,Rain-fed,No,0,0,25,0,8,2,1,0,16,5,11,5,1075,725,675,120,112,204,320,544,448,255,155,210,73
F016,Jason Martin,Narok Ward 9,"-3.644035, 36.909223",2020-09-16,Organic,Rain-fed,No,44,5,35,27,39,7,13,8,15,0,0,0,1760,1055,1615,650,693,551,846,445,735,0,0,0,193
F017,Shelby Harper,Narok Ward 7,"4.284117, 40.027702",2024-04-02,Organic,Irrigated,No,0,47,31,0,13,15,0,11,0,7,0,0,1214,1276,1136,676,571,425,77,77,99,0,0,0,124
F018,Thomas Jones,Narok Ward 6,"-3.941468, 38.447341",2024-01-29,Organic,Irrigated,Yes,14,0,1,18,4,3,11,12,0,8,0,0,34,45,36,192,106,106,96,108,132,0,0,0,71
F019,James Mccarty,Narok Ward 10,"-1.37393, 38.180234",2020-07-02,Conventional,Rain-fed,No,79,41,13,19,12,17,1,0,53,0,0,0,776,817,1116,798,453,669,1749,1537,2279,0,0,0,235
F020,Kathleen Scott,Narok Ward 8,"-2.721088, 34.077593",2021-01-20,Organic,Irrigated,No,11,97,11,14,20,1,0,28,56,0,0,0,1994,1375,1011,166,251,186,2996,2184,1680,0,0,0,238
F021,Joseph Knight,Narok Ward 10,"-0.845628, 40.793518",2025-06-05,Conventional,Rain-fed,No,40,0,28,3,27,20,0,9,0,0,0,0,896,728,560,723,710,1238,45,126,99,0,0,0,127
F022,Jessica Davis,Narok Ward 3,"-0.476409, 37.435238",2021-09-29,Organic,Irrigated,No,3,0,35,0,0,23,0,14,26,0,0,0,1365,875,1645,943,805,782,1442,1270,1320,0,0,0,101
F023,Kristi Johnson,Narok Ward 7,"-2.59269, 37.572899",2022-02-13,Organic,Irrigated,No,3,16,13,35,0,0,17,39,3,22,27,0,693,749,784,0,0,0,417,516,486,270,189,351,175
F024,Lisa Williams,Narok Ward 3,"-1.904328, 39.857825",2023-05-08,Conventional,Irrigated,No,0,79,46,20,0,9,28,16,0,28,0,12,2361,1756,2742,351,207,252,144,80,80,408,480,300,238
F025,Kathy Barrett,Narok Ward 9,"-0.518243, 34.72252",2023-10-28,Organic,Irrigated,Yes,26,8,50,14,2,0,12,15,17,0,0,0,1172,2106,2338,20,28,16,1028,679,703,0,0,0,144
F026,Charles Vincent,Narok Ward 12,"2.99132, 41.314265",2020-04-20,Organic,Irrigated,Yes,39,14,1,0,22,3,17,17,23,13,26,0,198,225,109,336,275,438,1303,1182,1037,260,312,390,175
F027,Christopher White,Narok Ward 10,"-3.677103, 36.898496",2022-12-23,Conventional,Irrigated,No,37,0,25,4,0,0,0,34,35,0,17,20,1200,950,500,0,0,0,1428,1948,1042,585,996,1195,172
F028,John Graves,Narok Ward 2,"-0.606247, 34.160943",2022-04-12,Conventional,Rain-fed,Yes,18,11,21,1,22,9,22,0,0,0,1,10,858,1042,731,423,758,582,0,0,0,426,287,319,115
F029,Matthew Weiss,Narok Ward 6,"3.719394, 37.011457",2023-03-27,Conventional,Irrigated,No,15,24,9,0,0,0,11,11,0,0,1,0,555,639,657,0,0,0,132,77,88,14,15,11,71
F030,Joseph Leonard,Narok Ward 3,"-1.245404, 37.364311",2023-08-06,Conventional,Irrigated,No,0,0,15,5,12,36,44,0,21,28,11,19,705,675,315,1716,1320,1836,651,882,756,658,710,718,191
F031,David Brown,Narok Ward 4,"-4.441342, 40.59921",2020-12-04,Organic,Rain-fed,Yes,36,0,22,0,0,19,33,19,21,0,0,0,550,704,990,874,665,570,635,946,1293,0,0,0,150
F032,Amy Lewis,Narok Ward 10,"-4.070402, 37.029393",2025-06-18,Conventional,Irrigated,No,28,18,8,2,4,0,11,0,0,8,0,2,450,464,452,44,28,32,0,0,0,44,100,62,81
F033,Frank Diaz,Narok Ward 9,"-0.218806, 34.09407",2022-09-20,Conventional,Irrigated,Yes,19,0,7,0,4,17,20,11,11,0,5,1,329,287,175,652,469,401,506,495,429,110,75,114,95
F034,Ashlee Barnett,Narok Ward 12,"-4.332489, 37.301128",2023-11-23,Conventional,Irrigated,No,29,4,0,0,0,27,30,36,1,9,10,5,40,28,36,1161,648,594,381,227,204,235,260,330,151
F035,Lisa Vasquez,Narok Ward 3,"0.424423, 41.476408",2022-01-02,Conventional,Rain-fed,Yes,0,2,26,0,19,0,5,25,39,2,19,16,1310,634,924,247,114,114,1565,1919,1033,904,482,578,153
