Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Christian Bates,Nyamira Ward 9,"-2.362288, 34.299961",2025-02-03,Conventional,Rain-fed,Yes,14,23,25,0,3,7,3,0,0,3,0,5,1432,1251,1263,284,220,241,0,0,0,120,185,130,83
F002,Marie Gonzalez,Nyamira Ward 9,"-0.874086, 39.670371",2021-01-14,Organic,Irrigated,Yes,13,0,24,4,17,7,4,0,10,0,0,0,552,576,840,441,338,448,360,260,340,0,0,0,79
F003,Stephanie Ellis,Nyamira Ward 7,"2.876467, 38.189328",2024-07-11,Conventional,Rain-fed,Yes,34,0,5,0,42,34,12,27,28,0,0,0,165,105,130,1722,1378,1548,1251,1026,1639,0,0,0,182
F004,Amy Vazquez PhD,Nyamira Ward 7,"3.89316, 35.883515",2025-02-14,Conventional,Irrigated,No,23,0,34,17,0,12,4,0,10,0,0,0,1156,850,1700,540,600,516,500,410,480,0,0,0,100
F005,Jason Griffin,Nyamira Ward 9,"-0.451457, 34.84253",2021-12-27,Conventional,Irrigated,No,13,37,0,17,18,9,0,10,22,12,9,34,407,370,555,459,459,360,864,1012,856,1416,1509,1418,181
F006,Kevin Sharp,Nyamira Ward 5,"-3.517949, 37.488815",2021-11-14,Organic,Irrigated,Yes,52,59,76,0,0,19,0,0,19,0,8,0,3824,3757,2971,760,722,665,836,912,931,48,96,120,233
F007,Mikayla Steele,Nyamira Ward 11,"0.817627, 35.237243",2023-04-07,Organic,Irrigated,Yes,19,32,26,21,16,22,0,27,16,0,0,0,1572,966,1196,1132,756,606,1189,519,858,0,0,0,179
F008,Willie Jackson,Nyamira Ward 1,"-3.515265, 34.604593",2020-09-27,Organic,Irrigated,Yes,11,18,19,4,0,0,0,9,6,0,0,0,907,997,1164,0,0,0,270,318,261,0,0,0,67
F009,Alexander Richards,Nyamira Ward 1,"2.422591, 38.135634",2021-11-07,Conventional,Irrigated,Yes,8,4,63,15,40,8,3,21,0,0,0,0,2686,2887,1855,728,808,520,210,273,147,0,0,0,162
F010,Gary Henderson,Nyamira Ward 11,"-3.372745, 37.61213",2022-05-20,Conventional,Rain-fed,No,0,11,39,14,23,0,0,7,18,0,0,0,1002,1330,1408,253,161,230,884,656,498,0,0,0,112
F011,Charles Holder,Nyamira Ward 1,"-1.693951, 40.104771",2021-01-12,Conventional,Irrigated,No,0,0,21,0,5,9,7,7,9,0,0,0,567,504,798,428,505,412,301,518,546,0,0,0,58
F012,Vanessa Vance,Nyamira Ward 1,"1.791395, 36.709071",2021-05-05,Conventional,Rain-fed,No,46,0,9,12,14,5,22,33,0,8,7,8,423,387,405,336,298,336,396,396,264,369,427,402,164
F013,Stacy Brock,Nyamira Ward 6,"-3.294404, 36.514936",2025-08-15,Organic,Rain-fed,Yes,29,41,19,0,0,6,0,20,17,0,0,0,1249,904,1049,168,240,186,789,792,820,0,0,0,132
F014,Amanda Hernandez,Nyamira Ward 2,"2.199195, 36.1653",2020-04-21,Organic,Irrigated,Yes,39,9,37,16,0,11,0,10,0,0,2,6,1543,922,1486,341,385,550,150,60,110,170,216,236,130
F015,Megan Chavez,Nyamira Ward 5,"0.779843, 37.145892",2022-04-02,Organic,Irrigated,Yes,20,15,21,1,2,0,13,11,8,0,0,0,684,1239,1134,10,30,24,447,357,459,0,0,0,91
F016,Stacey Nguyen,Nyamira Ward 4,"0.636783, 39.094641",2023-07-21,Conventional,Rain-fed,No,48,53,12,13,23,3,0,12,9,0,0,0,794,976,1133,359,345,285,501,471,315,0,0,0,173
F017,Sabrina Nguyen,Nyamira Ward 5,"-3.495465, 36.39791",2020-08-27,Conventional,Rain-fed,No,26,0,76,14,0,47,0,39,0,0,22,18,3800,3040,3344,2209,1128,1645,273,546,507,684,1186,1082,242
F018,Brenda Bond,Nyamira Ward 6,"-3.254945, 38.233253",2022-04-24,Organic,Irrigated,No,25,54,55,14,26,0,0,0,7,0,0,0,1590,1910,3341,390,208,390,322,252,350,0,0,0,181
F019,Heather Thomas,Nyamira Ward 10,"4.391223, 37.681569",2025-05-09,Conventional,Rain-fed,Yes,10,0,19,19,19,25,11,7,8,0,0,0,779,703,475,696,914,747,413,280,244,0,0,0,118
F020,Elizabeth Rollins,Nyamira Ward 6,"-1.594664, 40.790094",2020-07-27,Conventional,Rain-fed,No,2,78,26,21,0,17,29,0,37,0,15,3,2002,1300,1664,561,714,612,1221,851,740,141,330,267,228
