Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Stuart Peterson,Nyandarua Ward 12,"-4.372188, 38.702899",2020-02-27,Conventional,Rain-fed,No,9,11,8,1,20,6,18,19,7,0,0,0,350,469,356,402,220,342,372,454,367,0,0,0,99
F002,Madison Roberts,Nyandarua Ward 10,"1.279725, 37.554888",2023-12-11,Organic,Rain-fed,Yes,4,7,36,3,13,7,17,8,0,0,5,6,1869,1114,1727,357,430,497,40,56,88,199,204,163,106
F003,Teresa Lamb,Nyandarua Ward 3,"-2.277107, 34.817681",2022-10-14,Conventional,Irrigated,No,31,11,38,10,0,26,0,18,15,0,0,0,1092,1397,1603,1222,1066,754,792,714,639,0,0,0,149
F004,Brenda Larson,Nyandarua Ward 10,"0.006267, 39.427814",2020-06-15,Organic,Rain-fed,Yes,22,8,7,12,14,5,6,10,4,0,0,0,296,234,216,349,340,293,316,166,232,0,0,0,88
F005,Andrew Williams,Nyandarua Ward 11,"2.673336, 40.487377",2024-07-23,Organic,Rain-fed,Yes,0,0,16,10,0,14,3,14,12,0,15,5,784,528,352,350,532,294,466,490,596,320,300,435,89
F006,Vanessa Guzman,Nyandarua Ward 3,"-0.873013, 40.118131",2021-07-06,Conventional,Irrigated,Yes,86,57,0,0,37,8,25,32,0,0,0,0,627,513,285,725,639,528,256,320,352,0,0,0,245
F007,Kevin Wallace,Nyandarua Ward 5,"4.355858, 41.303352",2023-09-21,Organic,Rain-fed,No,11,51,46,0,32,2,26,0,21,0,0,0,1926,1911,2340,244,316,252,945,693,882,0,0,0,189
F008,Rebecca Arellano,Nyandarua Ward 9,"-2.426983, 40.402974",2023-03-19,Organic,Irrigated,Yes,68,0,76,12,36,20,0,0,0,0,0,0,2812,3420,2660,1088,920,636,0,0,0,0,0,0,212
F009,Brett Sullivan,Nyandarua Ward 9,"-2.614951, 37.093055",2020-04-28,Conventional,Rain-fed,Yes,28,10,7,32,25,52,17,16,15,0,0,0,427,248,417,1806,2226,2197,805,697,592,0,0,0,202
F010,Laura Wang,Nyandarua Ward 7,"3.036649, 35.652608",2020-10-22,Conventional,Irrigated,No,82,9,15,5,20,17,0,0,56,0,0,0,435,639,669,1130,1079,520,2800,2688,1680,0,0,0,204
F011,Connie Deleon,Nyandarua Ward 6,"-0.502361, 41.112975",2023-07-22,Conventional,Irrigated,No,5,6,25,6,14,19,10,2,0,0,0,0,842,1079,953,706,804,780,20,30,16,0,0,0,87
F012,Anthony Reese,Nyandarua Ward 10,"-2.656868, 37.509103",2023-08-01,Organic,Rain-fed,No,45,3,6,0,4,28,30,35,48,0,0,0,207,153,282,1132,920,848,2047,1345,1768,0,0,0,199
F013,Bridget Williams,Nyandarua Ward 1,"2.048537, 39.198356",2021-05-09,Organic,Irrigated,No,57,30,0,31,0,10,0,24,40,0,0,0,420,420,330,270,260,360,1720,1520,1168,0,0,0,192
F014,Jill Frost,Nyandarua Ward 5,"4.490489, 35.588543",2022-11-09,Organic,Rain-fed,No,15,12,11,13,0,0,0,2,0,0,0,3,390,419,646,0,0,0,14,10,18,120,78,114,56
F015,Julie Klein,Nyandarua Ward 9,"-3.301467, 35.207313",2022-10-14,Conventional,Rain-fed,Yes,38,7,23,21,14,4,31,0,21,0,0,6,1082,1031,721,268,318,190,1050,777,546,282,246,228,165
F016,Ariel Aguilar,Nyandarua Ward 11,"1.186211, 36.466543",2020-03-31,Conventional,Irrigated,Yes,2,8,5,22,26,17,23,0,18,0,0,0,276,200,188,780,599,746,648,522,756,0,0,0,121
F017,Brian Douglas,Nyandarua Ward 9,"1.26795, 41.182126",2020-06-30,Organic,Irrigated,No,24,27,0,0,12,0,2,14,0,0,0,0,243,243,162,84,60,156,210,210,112,0,0,0,79
F018,Kenneth Welch,Nyandarua Ward 12,"-3.556813, 34.591931",2021-07-05,Organic,Irrigated,No,2,13,43,42,0,0,47,11,24,20,3,0,2112,2319,1226,0,0,0,1269,1118,1166,27,36,15,205
F019,Alexa Garrison,Nyandarua Ward 10,"4.179005, 34.168588",2021-08-16,Organic,Rain-fed,Yes,0,31,21,17,27,19,0,12,11,0,0,0,992,1055,962,1090,1274,818,570,634,455,0,0,0,138
F020,Brianna Clark,Nyandarua Ward 2,"-1.431272, 38.793153",2021-01-06,Organic,Rain-fed,Yes,12,0,4,23,32,21,17,0,32,16,12,15,192,196,140,928,1002,1045,800,1536,1408,492,501,840,184
F021,Christopher Martin,Nyandarua Ward 10,"1.801089, 34.666028",2022-11-17,Conventional,Rain-fed,Yes,5,24,0,15,17,0,3,18,0,0,4,14,360,336,288,119,153,102,216,270,162,514,544,528,100
F022,Deborah Petersen,Nyandarua Ward 9,"-3.007491, 39.737297",2022-06-13,Organic,Irrigated,Yes,30,29,0,0,20,0,22,0,17,0,0,0,435,319,290,260,260,140,816,697,442,0,0,0,118
F023,James Sloan,Nyandarua Ward 12,"-2.510601, 37.537852",2024-02-21,Organic,Rain-fed,No,14,2,44,34,19,1,26,0,0,6,19,0,1826,2214,2222,259,194,324,0,0,0,247,190,247,165
F024,Dawn Miller,Nyandarua Ward 10,"3.823481, 41.078695",2025-05-11,Organic,Irrigated,Yes,10,0,48,7,0,0,20,15,29,0,0,0,1392,1248,1632,0,0,0,1337,757,1136,0,0,0,129
F025,Robert Townsend,Nyandarua Ward 8,"-0.606103, 36.143827",2022-02-11,Organic,Irrigated,No,16,47,35,0,0,0,39,16,19,0,0,0,1393,1718,1530,0,0,0,562,911,607,0,0,0,172
F026,John Brandt,Nyandarua Ward 3,"-2.566329, 38.601536",2021-02-02,Organic,Rain-fed,No,40,12,5,0,0,21,23,17,5,0,0,0,304,319,355,903,966,588,351,441,425,0,0,0,123
F027,Stephanie Sandoval,Nyandarua Ward 3,"1.719231, 34.022239",2022-09-01,Organic,Irrigated,No,0,57,54,0,43,22,20,21,0,0,0,0,2580,2853,2520,1439,1332,1072,252,315,147,0,0,0,217
F028,Crystal Juarez,Nyandarua Ward 2,"0.138015, 40.923714",2022-06-25,Conventional,Irrigated,Yes,59,28,0,32,0,0,0,0,8,9,9,19,280,196,140,0,0,0,400,224,320,529,805,574,164
F029,Christie Martin,Nyandarua Ward 1,"3.76799, 40.509832",2025-10-26,Organic,Rain-fed,Yes,24,37,0,25,0,19,0,18,2,12,15,4,333,296,444,798,912,779,134,148,314,288,276,366,156
F030,Carol Ali,Nyandarua Ward 1,"3.659624, 36.864729",2022-07-30,Organic,Irrigated,Yes,65,38,0,36,24,31,8,10,0,0,0,0,456,456,266,1156,1439,939,110,70,120,0,0,0,212
F031,Jacob Leonard,Nyandarua Ward 12,"-2.083197, 35.720613",2022-02-08,Conventional,Rain-fed,No,41,3,11,0,0,15,13,28,0,15,10,14,369,341,369,690,465,510,140,392,336,592,724,756,150
F032,Aaron Pineda,Nyandarua Ward 10,"0.863015, 37.629463",2023-08-08,Conventional,Irrigated,Yes,3,0,43,0,21,32,17,26,7,16,0,0,1634,2150,1505,1403,1683,1073,429,435,549,0,0,0,165
F033,Mark Mcpherson,Nyandarua Ward 6,"3.908886, 36.427962",2024-04-13,Organic,Irrigated,Yes,20,15,5,6,1,0,4,0,0,0,3,5,320,300,225,5,6,11,0,0,0,172,146,247,59
F034,Steven Simmons,Nyandarua Ward 7,"-4.153681, 39.306868",2025-11-20,Organic,Irrigated,Yes,22,4,4,3,16,11,3,17,0,0,0,10,108,240,252,478,524,638,119,170,187,230,340,480,90
F035,Stephen Graham,Nyandarua Ward 4,"-2.35703, 41.40678",2025-05-13,Organic,Rain-fed,Yes,23,21,63,24,21,7,0,0,0,0,0,0,1785,1680,3003,504,483,490,0,0,0,0,0,0,159
F036,Christine Foster,Nyandarua Ward 11,"-2.22924, 39.048179",2025-03-14,Conventional,Rain-fed,No,0,71,3,10,3,0,23,35,23,5,6,0,629,762,558,21,45,27,1256,1536,1291,90,54,36,179
F037,William Proctor,Nyandarua Ward 7,"4.035006, 37.183481",2023-06-27,Conventional,Rain-fed,Yes,24,0,2,15,11,0,2,9,14,0,0,0,50,74,68,110,121,88,757,397,533,0,0,0,77
F038,Sean Maldonado,Nyandarua Ward 4,"-4.047428, 40.744814",2021-11-25,Conventional,Irrigated,Yes,0,27,1,25,4,23,6,5,19,0,0,0,317,313,239,653,911,842,597,725,616,0,0,0,110
F039,Marc Riley,Nyandarua Ward 1,"2.79332, 41.691827",2022-07-09,Conventional,Irrigated,No,7,0,0,18,0,17,3,0,13,0,4,4,0,0,0,527,748,595,611,585,260,180,128,176,66
F040,Kimberly Meyer,Nyandarua Ward 10,"3.329649, 38.341201",2022-09-10,Conventional,Irrigated,Yes,57,0,71,0,26,7,16,0,23,0,0,0,2769,3266,3053,651,599,573,851,598,897,0,0,0,200
F041,Gail Villarreal,Nyandarua Ward 11,"4.459658, 37.59444",2021-02-02,Organic,Irrigated,No,17,15,0,3,6,0,3,18,0,0,0,0,135,135,225,84,54,36,90,180,144,0,0,0,62
F042,Juan Johnson,Nyandarua Ward 10,"-0.047034, 36.277141",2023-10-26,Organic,Irrigated,Yes,22,0,0,10,9,9,10,0,4,0,0,0,0,0,0,459,486,297,92,180,196,0,0,0,64
F043,Michelle Carrillo,Nyandarua Ward 5,"1.22529, 36.307217",2022-10-24,Organic,Irrigated,No,32,20,30,15,2,12,11,0,0,0,0,0,1270,790,1060,314,322,588,0,0,0,0,0,0,122
F044,Emily Perez,Nyandarua Ward 12,"2.005478, 34.456722",2025-11-01,Organic,Rain-fed,No,8,34,32,0,28,27,27,0,0,2,0,0,1260,1374,1432,1005,1146,985,0,0,0,0,0,0,158
F045,Krista Smith,Nyandarua Ward 9,"2.539505, 37.181956",2024-11-07,Conventional,Rain-fed,No,0,10,2,2,14,3,6,6,8,0,0,0,150,186,204,145,258,167,274,210,286,0,0,0,51
F046,Bryan Luna,Nyandarua Ward 7,"-3.550604, 41.555558",2022-11-17,Organic,Rain-fed,No,21,23,12,0,11,10,3,9,0,17,0,0,487,684,578,459,348,589,81,126,135,0,0,0,106
F047,Kevin Lindsey,Nyandarua Ward 9,"-3.081734, 37.404454",2021-05-13,Conventional,Irrigated,Yes,6,23,35,0,0,2,6,8,9,0,0,0,1701,1640,1360,48,76,48,350,517,561,0,0,0,89
F048,Shane Campbell,Nyandarua Ward 3,"-3.75997, 38.11051",2022-07-03,Conventional,Irrigated,No,33,28,40,21,0,43,20,0,1,22,0,25,2108,2048,1584,1032,1978,1333,47,29,39,625,1100,825,233
F049,Dominique Wise,Nyandarua Ward 8,"-2.87955, 35.524568",2025-07-27,Organic,Rain-fed,Yes,54,61,2,7,4,49,0,0,0,16,0,38,584,621,399,2155,1931,1363,0,0,0,1444,1064,912,231
F050,Stephanie Stafford,Nyandarua Ward 12,"0.994166, 37.536613",2022-07-16,Conventional,Irrigated,Yes,40,14,48,6,32,10,35,0,0,0,0,0,1142,1170,1458,626,970,618,0,0,0,0,0,0,185
F051,Margaret Benson,Nyandarua Ward 6,"-3.865355, 38.233613",2020-02-07,Conventional,Irrigated,Yes,5,0,25,11,30,5,19,0,4,0,0,0,1200,675,925,540,400,440,200,192,156,0,0,0,99
F052,Nicholas Booker,Nyandarua Ward 5,"-2.014933, 34.570953",2020-07-05,Conventional,Irrigated,No,61,17,47,44,0,5,21,29,0,0,0,0,2088,2477,1473,230,215,240,319,290,174,0,0,0,224
F053,Beverly Stewart,Nyandarua Ward 9,"1.453587, 37.711577",2022-09-04,Conventional,Irrigated,Yes,6,28,6,30,8,3,19,8,40,0,0,0,434,434,566,170,153,135,2016,1464,1008,0,0,0,148
F054,Heather Hall,Nyandarua Ward 11,"2.030569, 40.538673",2020-05-12,Organic,Rain-fed,No,0,56,16,34,36,2,30,0,0,0,0,0,1104,1024,1328,378,448,262,0,0,0,0,0,0,174
F055,Jessica Young,Nyandarua Ward 12,"-4.375057, 38.342507",2023-08-15,Organic,Irrigated,Yes,50,9,53,14,0,18,7,0,17,8,0,0,2696,1971,2713,612,576,846,578,731,714,0,0,0,176
F056,Tyler Young,Nyandarua Ward 1,"2.13978, 38.130426",2025-10-24,Conventional,Rain-fed,No,0,39,22,33,2,0,29,38,0,0,0,0,1553,1018,1338,16,20,10,532,342,380,0,0,0,163
F057,Kristina Powell,Nyandarua Ward 1,"0.038649, 36.534929",2024-07-23,Conventional,Rain-fed,Yes,52,48,36,13,5,0,1,16,10,0,2,0,2244,1596,1536,30,45,50,458,470,572,20,14,30,183
F058,Dwayne Cook,Nyandarua Ward 4,"4.497131, 34.97097",2022-07-17,Organic,Rain-fed,No,15,19,0,13,47,0,26,4,37,0,0,0,190,171,190,564,282,564,1093,1697,1791,0,0,0,161
F059,Pamela Taylor,Nyandarua Ward 5,"-3.554116, 35.138198",2020-12-17,Conventional,Rain-fed,Yes,3,18,0,0,12,15,6,10,0,0,0,0,270,90,90,840,789,648,140,50,90,0,0,0,64
F060,Clayton Garcia,Nyandarua Ward 5,"3.788311, 36.089503",2021-04-05,Conventional,Rain-fed,No,31,68,0,31,0,18,5,52,3,1,0,0,340,1020,476,594,900,666,784,573,472,0,0,0,209
F061,Gary Harvey,Nyandarua Ward 1,"3.466791, 39.274649",2023-06-29,Conventional,Irrigated,Yes,31,21,0,6,0,17,10,0,22,0,0,0,315,294,105,544,374,408,506,1034,506,0,0,0,107
F062,Tammy Woods,Nyandarua Ward 4,"0.872348, 39.137072",2021-11-02,Conventional,Rain-fed,Yes,14,19,15,0,30,6,3,28,43,0,0,0,429,997,881,720,492,474,1828,1385,1512,0,0,0,158
F063,Catherine Wilson,Nyandarua Ward 8,"4.335753, 37.745665",2025-01-30,Conventional,Rain-fed,No,71,10,0,6,4,42,37,1,0,0,35,6,70,60,110,2044,1258,1334,7,12,9,611,508,743,212
F064,Janet Mcclain,Nyandarua Ward 5,"2.818382, 38.815191",2025-07-10,Conventional,Rain-fed,No,23,10,0,14,7,1,6,12,0,0,0,0,100,60,140,91,81,98,132,120,60,0,0,0,73
F065,Benjamin Rogers,Nyandarua Ward 10,"1.076504, 41.471636",2023-04-28,Organic,Rain-fed,No,12,0,0,0,6,11,9,7,3,6,6,0,0,0,0,316,400,447,190,114,239,30,90,36,60
