Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,William Mcconnell,Nyeri Ward 11,"-1.685988, 39.531467",2023-10-03,Conventional,Rain-fed,No,14,15,20,1,6,3,15,6,0,0,0,0,1020,670,940,135,132,150,60,42,66,0,0,0,80
F002,Ryan Rojas,Nyeri Ward 1,"-0.598799, 36.093342",2020-09-26,Conventional,Rain-fed,Yes,0,34,7,20,30,16,18,0,27,1,0,0,681,792,623,1012,1002,1108,837,540,891,0,0,0,153
F003,Frank Wright,Nyeri Ward 8,"2.500597, 34.482896",2022-05-28,Organic,Rain-fed,Yes,0,45,1,0,23,19,17,0,23,11,0,0,532,666,444,1040,1111,959,828,943,828,0,0,0,139
F004,Kathryn Hahn,Nyeri Ward 8,"-3.67421, 34.188131",2023-10-25,Organic,Irrigated,No,56,61,41,20,0,0,4,0,29,0,0,0,1186,1350,2476,0,0,0,1392,580,725,0,0,0,211
F005,Nicholas Johnson,Nyeri Ward 7,"-0.395944, 34.397591",2020-01-02,Conventional,Irrigated,No,9,25,4,5,6,2,0,2,1,0,0,0,353,475,354,128,142,104,60,35,66,0,0,0,54
F006,Megan Vasquez,Nyeri Ward 1,"-1.567077, 37.668191",2020-12-16,Organic,Rain-fed,Yes,7,22,6,18,0,0,2,10,0,0,0,0,580,500,510,0,0,0,150,100,70,0,0,0,65
F007,Michelle Fischer,Nyeri Ward 9,"0.70752, 39.309034",2023-01-02,Organic,Rain-fed,No,26,51,26,0,0,0,5,12,0,0,17,17,1009,1112,1158,0,0,0,144,168,84,714,782,901,154
F008,Mary Martin MD,Nyeri Ward 12,"-0.934376, 37.433216",2024-09-07,Conventional,Rain-fed,Yes,33,0,10,0,0,34,7,9,13,2,16,3,220,300,360,1598,1666,1530,538,487,516,283,222,265,127
F009,Dominique Adams,Nyeri Ward 12,"1.478618, 35.993524",2020-02-21,Organic,Irrigated,Yes,10,44,50,3,7,40,17,4,0,0,3,0,2440,2158,1590,1757,1178,1644,40,56,32,24,42,15,178
F010,Sherri Orozco,Nyeri Ward 6,"0.994847, 40.974194",2022-12-03,Organic,Rain-fed,Yes,42,4,22,0,54,0,49,0,56,0,0,0,890,1022,686,378,486,756,2240,1624,2744,0,0,0,227
F011,Keith Gibson,Nyeri Ward 5,"0.609301, 41.218443",2025-12-25,Organic,Irrigated,No,29,47,0,0,0,53,4,46,38,21,1,0,376,658,282,1802,2491,1961,1416,1636,1332,5,6,11,239
F012,John Hill,Nyeri Ward 2,"-0.412091, 34.0204",2023-11-18,Organic,Rain-fed,Yes,0,53,61,26,26,22,7,0,11,0,0,0,2930,3047,2999,860,900,728,473,264,330,0,0,0,206
F013,Ernest Valdez,Nyeri Ward 5,"-3.369477, 36.029915",2022-11-29,Conventional,Rain-fed,Yes,41,29,0,28,45,14,0,0,3,0,0,16,232,232,232,1165,1291,620,81,117,144,496,416,672,176
