Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Mercedes Conrad,Samburu Ward 6,"-1.353392, 35.215921",2025-11-12,Conventional,Rain-fed,Yes,36,24,12,29,19,1,0,15,0,6,4,1,696,648,696,333,314,170,90,75,135,104,76,79,147
F002,Kim Winters,Samburu Ward 7,"3.664583, 39.81462",2020-06-21,Organic,Rain-fed,No,0,62,0,21,10,37,0,9,0,0,23,21,682,620,434,1129,1092,1237,108,108,54,1190,1007,745,183
F003,Jason Kidd,Samburu Ward 10,"2.728464, 41.388407",2023-03-18,Conventional,Rain-fed,Yes,81,2,33,0,48,0,4,33,24,0,0,24,1606,1600,1115,576,720,480,783,1176,1263,504,552,960,249
F004,Jeff Horton,Samburu Ward 6,"4.495688, 38.752009",2025-10-12,Conventional,Rain-fed,Yes,11,30,12,3,14,13,2,16,0,0,0,0,588,414,774,723,553,426,224,160,160,0,0,0,101
F005,Randall Webb,Samburu Ward 1,"3.962841, 34.634725",2022-08-25,Organic,Irrigated,Yes,64,63,63,0,18,5,23,12,0,0,0,0,3402,2268,3528,333,446,428,156,180,108,0,0,0,248
F006,Gary Ortega,Samburu Ward 4,"1.748472, 38.57429",2023-02-16,Organic,Rain-fed,Yes,41,68,6,0,0,20,0,0,34,19,6,9,1030,728,886,540,600,800,1088,1122,782,414,426,492,203
F007,Carrie Hoffman,Samburu Ward 9,"3.914451, 39.03258",2025-02-17,Conventional,Irrigated,No,9,27,43,12,19,0,12,3,23,0,0,0,1496,1383,1528,190,190,190,567,1177,755,0,0,0,148
F008,Jessica Duncan,Samburu Ward 12,"4.294575, 37.175588",2024-08-12,Conventional,Rain-fed,No,61,3,53,15,26,0,14,0,36,0,0,0,2050,2094,1776,390,208,390,1188,1116,1080,0,0,0,208
F009,Cathy Powell,Samburu Ward 12,"-0.979121, 39.231513",2022-11-15,Conventional,Rain-fed,Yes,3,0,61,0,11,0,33,36,47,0,0,0,2928,1281,1952,143,77,88,2572,2179,2124,0,0,0,191
F010,Alexander Pacheco,Samburu Ward 5,"-3.112688, 41.333881",2021-04-08,Organic,Irrigated,Yes,46,55,0,48,0,6,0,0,36,5,8,30,770,275,385,222,198,216,1476,720,1332,1428,1244,1108,234
F011,Susan West,Samburu Ward 3,"3.467182, 40.373963",2020-01-13,Organic,Irrigated,No,12,0,12,16,4,14,7,6,0,0,6,2,516,360,588,364,616,342,60,60,60,132,152,110,79
F012,Taylor Moody,Samburu Ward 5,"3.750115, 40.172609",2020-03-07,Organic,Irrigated,Yes,15,35,32,33,25,0,1,27,3,0,0,0,1473,1153,1482,375,300,250,306,354,252,0,0,0,171
F013,Jennifer Moore,Samburu Ward 8,"4.463262, 40.931049",2023-06-18,Organic,Irrigated,No,12,24,17,45,27,21,0,26,0,17,0,11,972,528,978,888,1029,555,390,130,286,517,275,462,200
F014,Ricardo Thomas,Samburu Ward 7,"-2.313582, 38.68732",2023-09-29,Organic,Rain-fed,No,60,0,59,16,9,0,38,0,0,16,9,11,2183,2419,2832,63,81,72,0,0,0,444,393,526,218
F015,Elizabeth Harris,Samburu Ward 9,"-2.441797, 34.967539",2024-08-20,Conventional,Irrigated,No,46,17,0,29,0,39,0,35,15,0,0,0,85,238,238,1599,1638,1755,875,925,790,0,0,0,181
F016,Joseph Reed,Samburu Ward 6,"-1.079663, 40.252541",2023-04-21,Organic,Rain-fed,Yes,46,12,15,0,12,38,40,22,36,0,3,0,765,648,618,1630,1782,1932,1986,1622,1178,27,30,15,224
F017,Susan Harrison,Samburu Ward 8,"3.493977, 36.109026",2022-09-01,Conventional,Rain-fed,Yes,44,45,0,12,33,4,0,45,0,0,0,0,630,315,360,580,467,476,675,630,540,0,0,0,183
F018,Robert Bennett,Samburu Ward 12,"-1.911602, 36.844558",2024-07-20,Organic,Irrigated,Yes,0,72,52,40,0,46,0,0,0,17,19,0,3056,3108,1864,2300,2254,2162,0,0,0,133,209,171,246
F019,Sara Thompson,Samburu Ward 8,"-4.199816, 41.542023",2024-01-12,Conventional,Rain-fed,No,4,16,8,0,19,23,0,17,10,0,0,0,272,472,456,1298,860,918,543,509,539,0,0,0,97
F020,Sharon Ramirez,Samburu Ward 4,"-1.577748, 39.740228",2024-05-29,Organic,Irrigated,No,17,0,12,0,8,8,17,0,0,0,0,0,504,456,360,368,408,456,0,0,0,0,0,0,62
F021,Kimberly Grant,Samburu Ward 8,"3.845761, 41.869052",2024-02-05,Organic,Rain-fed,Yes,27,25,0,9,14,0,0,0,5,0,0,0,275,125,300,70,126,112,170,130,170,0,0,0,80
F022,Martin Rice,Samburu Ward 3,"3.128435, 40.187482",2023-10-21,Organic,Rain-fed,No,4,25,15,0,21,15,0,0,8,0,7,0,1060,655,705,507,594,774,384,184,256,70,105,91,95
F023,Julie Daugherty,Samburu Ward 7,"-3.01265, 37.819062",2022-04-18,Conventional,Rain-fed,No,35,0,5,28,7,0,5,23,5,0,0,0,210,180,235,105,84,84,595,351,295,0,0,0,108
F024,Karina Holland,Samburu Ward 8,"-2.648527, 37.409857",2024-08-06,Organic,Irrigated,Yes,48,40,22,0,21,0,0,17,9,0,0,0,1358,1156,1106,168,147,273,536,598,661,0,0,0,157
F025,Darin Sanders,Samburu Ward 7,"2.098851, 36.65664",2021-02-23,Organic,Irrigated,Yes,28,7,34,0,12,38,13,0,11,0,0,0,1531,784,919,1498,1890,1814,297,253,341,0,0,0,143
F026,Michael Elliott,Samburu Ward 1,"0.940388, 40.661762",2022-03-18,Conventional,Irrigated,Yes,47,34,47,5,9,0,0,5,0,0,0,0,1544,1387,2202,63,90,126,40,35,75,0,0,0,147
F027,Daniel Roberson,Samburu Ward 6,"-2.937111, 37.349966",2025-06-27,Conventional,Rain-fed,Yes,18,0,6,8,7,15,0,0,6,0,0,0,168,162,270,699,735,713,234,264,186,0,0,0,60
F028,Lori Hawkins,Samburu Ward 10,"2.078608, 36.250101",2023-07-02,Organic,Rain-fed,No,90,0,13,0,34,0,11,5,49,6,16,3,507,494,468,408,170,340,1197,1079,1593,210,202,324,227
F029,Anthony Estes,Samburu Ward 4,"-0.514211, 39.770706",2022-11-28,Organic,Rain-fed,Yes,13,8,7,11,15,19,27,1,20,0,0,0,291,414,371,781,508,781,489,826,973,0,0,0,121
F030,Joseph Harrison,Samburu Ward 4,"0.61828, 37.467491",2025-06-05,Organic,Rain-fed,Yes,34,61,0,48,0,0,0,36,35,17,0,4,793,732,305,0,0,0,1623,1307,2042,184,96,112,235
F031,Brooke Lowe,Samburu Ward 6,"-2.347726, 40.926629",2020-12-07,Organic,Irrigated,Yes,13,24,26,0,0,0,19,23,4,0,0,0,1406,1028,1072,0,0,0,353,349,341,0,0,0,109
F032,Tom Garcia,Samburu Ward 5,"-4.385857, 36.725224",2020-11-27,Organic,Rain-fed,No,19,43,41,0,14,2,0,0,2,0,0,0,1711,2117,1545,270,142,252,98,72,48,0,0,0,121
F033,Judy Sellers,Samburu Ward 11,"-0.531311, 36.330903",2025-11-04,Organic,Irrigated,No,23,16,16,13,0,0,12,7,12,0,0,0,848,528,720,0,0,0,677,434,516,0,0,0,99
F034,Justin Sanchez,Samburu Ward 11,"-2.038162, 38.104199",2024-10-26,Organic,Rain-fed,No,0,35,32,0,10,1,0,4,4,0,0,0,1255,1156,1773,177,186,87,188,184,208,0,0,0,86
F035,Diana Cruz,Samburu Ward 9,"-2.584907, 40.046427",2022-11-07,Organic,Irrigated,No,35,12,36,17,3,4,0,20,0,0,0,0,1344,1152,1452,131,134,182,100,180,220,0,0,0,127
F036,Ashley Moore,Samburu Ward 3,"-1.437137, 40.597902",2022-01-07,Organic,Rain-fed,Yes,58,0,52,19,10,29,0,23,44,0,0,0,2600,1144,2028,1357,1135,660,2101,2319,2281,0,0,0,235
F037,Megan Hamilton,Samburu Ward 2,"-1.722879, 39.557031",2023-01-16,Organic,Irrigated,Yes,36,31,2,33,0,0,0,30,7,12,1,0,524,515,211,0,0,0,397,538,481,8,7,14,152
F038,Michael Smith,Samburu Ward 11,"4.077143, 40.99161",2024-12-10,Conventional,Irrigated,Yes,15,35,0,11,19,25,20,5,11,0,0,0,455,280,210,878,1366,1016,360,446,599,0,0,0,141
F039,Ricky Barker,Samburu Ward 12,"1.565654, 41.862428",2025-04-30,Conventional,Rain-fed,No,4,0,14,0,9,5,11,4,7,11,8,4,630,322,294,229,290,177,392,211,220,264,224,180,77
F040,Linda Reyes,Samburu Ward 4,"1.262892, 39.359313",2022-03-12,Organic,Rain-fed,Yes,6,22,54,0,18,32,0,23,0,8,0,7,2144,1450,1678,1484,1186,1674,115,322,276,336,336,308,170
F041,Scott King,Samburu Ward 8,"-0.632113, 38.518009",2025-08-26,Organic,Irrigated,No,4,24,80,33,32,0,23,2,0,0,0,0,3368,2336,1768,288,480,352,26,26,18,0,0,0,198
F042,Deborah Pham,Samburu Ward 1,"-1.001999, 38.157209",2021-08-07,Conventional,Irrigated,Yes,0,56,51,0,2,0,20,15,0,0,0,0,2207,1748,2513,30,30,14,120,225,150,0,0,0,144
F043,Kimberly Good,Samburu Ward 1,"0.42401, 37.283181",2022-05-23,Conventional,Irrigated,No,11,11,12,0,0,4,8,0,0,4,9,10,467,665,635,176,200,104,0,0,0,265,499,369,69
F044,Barbara Shepherd,Samburu Ward 5,"-4.26311, 35.784628",2024-11-24,Conventional,Rain-fed,No,0,12,6,11,0,6,5,20,6,0,0,0,366,360,384,204,156,138,348,360,452,0,0,0,66
F045,Matthew Bennett,Samburu Ward 9,"-3.684051, 35.037661",2020-07-22,Conventional,Irrigated,Yes,0,12,27,38,23,32,0,3,52,0,0,0,1203,1059,900,1149,1821,1222,2330,1703,2431,0,0,0,187
F046,Alexander Jones,Samburu Ward 1,"-0.923886, 41.227391",2025-08-16,Organic,Rain-fed,Yes,6,6,29,12,28,15,0,0,0,4,18,0,1016,640,987,1005,790,1069,0,0,0,216,144,108,118
F047,Lauren Rivera,Samburu Ward 2,"2.151644, 35.560439",2021-05-28,Conventional,Irrigated,No,5,24,17,2,0,22,23,1,11,25,16,0,868,525,838,814,770,924,227,549,420,160,176,96,146
F048,Amy Beasley,Samburu Ward 9,"-3.179141, 40.144235",2021-06-09,Organic,Rain-fed,Yes,0,19,0,0,3,3,10,12,0,0,6,1,285,247,114,108,117,108,144,120,96,87,90,77,54
F049,Nichole Baldwin,Samburu Ward 12,"0.252072, 41.204352",2023-02-27,Organic,Irrigated,Yes,0,27,44,1,0,6,4,0,25,8,0,5,2071,1830,1553,270,198,204,625,1025,925,125,190,140,120
F050,Amber Henderson,Samburu Ward 4,"2.488887, 34.005685",2022-08-21,Conventional,Rain-fed,No,10,30,21,17,0,0,0,19,5,0,0,9,1260,1206,1158,0,0,0,384,363,434,216,279,270,111
F051,April Jackson,Samburu Ward 10,"-0.465531, 36.348005",2025-12-16,Conventional,Irrigated,No,63,6,77,0,0,24,23,27,0,0,0,0,1967,3187,2998,600,600,1200,378,189,324,0,0,0,220
F052,Gabriel Rush,Samburu Ward 6,"2.065793, 40.372453",2023-03-25,Organic,Rain-fed,Yes,17,17,72,0,0,20,34,7,12,12,22,0,3592,3550,3482,880,980,680,479,348,558,132,308,132,213
