Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Pamela Walker,Siaya Ward 6,"3.191927, 37.71179",2021-02-26,Organic,Irrigated,Yes,21,95,45,38,0,0,15,0,14,9,11,0,2735,1735,2320,0,0,0,700,546,518,132,132,88,248
F002,Brittany Schneider,Siaya Ward 2,"-1.253358, 39.217596",2024-09-10,Conventional,Irrigated,Yes,0,19,28,8,12,54,0,1,26,39,5,31,927,731,1346,1686,2088,1620,1237,863,1046,1062,877,1470,223
F003,Vanessa Wilson,Siaya Ward 6,"0.731588, 36.344525",2025-08-10,Conventional,Irrigated,No,67,34,0,43,1,25,40,0,0,0,0,0,340,306,408,661,1240,930,0,0,0,0,0,0,210
F004,Rachel Novak,Siaya Ward 4,"3.419655, 38.46851",2022-02-28,Conventional,Irrigated,No,0,0,3,0,17,10,14,7,10,0,0,0,117,135,132,372,481,392,353,417,488,0,0,0,61
F005,Melissa Williams,Siaya Ward 1,"3.750714, 34.794414",2021-04-19,Conventional,Irrigated,No,16,23,14,11,0,11,20,7,2,0,0,2,813,765,947,330,308,308,103,148,159,60,96,98,106
F006,Judith Ward,Siaya Ward 11,"-4.415162, 39.46591",2022-11-29,Conventional,Rain-fed,No,19,4,41,0,16,0,0,0,0,0,8,10,926,1680,1664,128,80,96,0,0,0,408,328,250,98
F007,Rebecca Wilson,Siaya Ward 8,"1.87529, 39.442914",2024-02-03,Conventional,Irrigated,No,10,50,66,47,7,24,16,0,3,0,0,0,2694,3502,3356,674,715,1239,129,120,96,0,0,0,223
F008,Rachel Davis,Siaya Ward 7,"-0.993536, 40.829743",2023-10-20,Conventional,Irrigated,Yes,37,16,2,0,5,0,18,12,32,5,14,0,254,260,332,65,40,70,1372,1108,1600,98,140,126,141
F009,Beth Kelly,Siaya Ward 7,"-0.231282, 36.538751",2021-01-22,Organic,Rain-fed,No,0,35,19,0,3,21,0,16,0,0,13,0,1269,1237,1141,849,1095,507,80,128,96,195,195,143,107
F010,Holly Juarez,Siaya Ward 12,"3.568901, 38.605215",2021-04-18,Conventional,Irrigated,Yes,5,75,0,43,9,30,0,2,21,3,0,13,750,450,525,681,864,834,478,803,574,351,611,416,201
F011,Mark Wilson,Siaya Ward 9,"-3.108221, 41.492073",2021-06-13,Conventional,Rain-fed,Yes,19,6,0,3,7,11,4,3,0,0,0,0,78,42,60,488,498,255,24,21,45,0,0,0,53
F012,Richard Harris,Siaya Ward 11,"3.546569, 40.242654",2021-01-05,Organic,Irrigated,No,6,21,16,6,0,0,0,18,11,0,0,0,733,776,669,0,0,0,784,615,444,0,0,0,78
F013,Daniel Davis,Siaya Ward 2,"4.135406, 37.864613",2024-01-27,Organic,Rain-fed,No,28,13,0,2,23,9,21,0,8,15,5,4,169,91,130,745,390,529,280,184,352,155,222,109,128
F014,Thomas Stanley,Siaya Ward 3,"2.260829, 35.914113",2020-11-18,Conventional,Rain-fed,Yes,45,0,0,17,18,6,30,33,12,3,0,5,0,0,0,516,498,516,816,927,594,185,250,155,169
F015,Carol Landry MD,Siaya Ward 11,"-0.114611, 34.560209",2021-10-26,Conventional,Irrigated,No,49,12,19,29,0,41,50,40,0,0,0,0,923,649,923,1968,1681,984,280,600,440,0,0,0,240
F016,Cassandra Osborne,Siaya Ward 1,"1.189231, 36.230116",2020-03-31,Conventional,Rain-fed,Yes,45,63,7,20,0,34,0,31,22,2,0,0,1078,1085,1162,1632,1632,680,816,930,1190,0,0,0,224
F017,David Jenkins,Siaya Ward 4,"1.369291, 37.971419",2022-12-03,Conventional,Rain-fed,Yes,20,17,13,0,0,0,6,0,0,0,0,0,764,413,756,0,0,0,0,0,0,0,0,0,56
F018,Hailey Greene,Siaya Ward 5,"-2.832791, 41.53898",2022-01-10,Organic,Irrigated,No,3,4,11,31,1,22,32,1,53,0,0,0,521,304,367,538,755,755,1971,1122,1439,0,0,0,158
F019,Deborah Klein,Siaya Ward 9,"1.963741, 35.074095",2025-05-26,Conventional,Rain-fed,No,92,25,0,43,50,17,0,2,0,0,0,0,375,300,375,908,1398,1013,26,18,26,0,0,0,229
