Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Don Kramer,Taita-Taveta Ward 8,"-4.466298, 39.287201",2024-04-15,Conventional,Irrigated,Yes,26,37,0,11,8,27,21,10,0,0,0,0,444,407,222,1163,1144,1327,150,130,120,0,0,0,140
F002,Emily Robinson,Taita-Taveta Ward 7,"-1.843363, 34.59624",2022-05-11,Conventional,Rain-fed,Yes,0,0,25,0,38,10,0,27,32,22,10,20,825,850,725,656,670,742,1183,1262,1789,920,800,1010,184
F003,Sean Carney,Taita-Taveta Ward 10,"-2.158887, 40.327959",2021-10-06,Organic,Rain-fed,Yes,6,7,21,0,14,12,14,3,10,0,0,0,525,735,770,660,482,682,364,411,218,0,0,0,87
F004,Lisa Chaney,Taita-Taveta Ward 9,"-2.181007, 41.37984",2021-07-04,Organic,Irrigated,No,99,8,22,42,0,7,52,0,8,0,0,0,1040,502,968,154,259,245,296,320,208,0,0,0,238
F005,Douglas Garcia,Taita-Taveta Ward 11,"0.491138, 37.134083",2025-07-17,Conventional,Rain-fed,No,20,25,43,29,9,0,16,0,6,14,0,35,2282,1153,1325,90,135,108,294,216,270,875,1015,1330,197
F006,Joshua Foster,Taita-Taveta Ward 4,"-2.488724, 39.117656",2025-11-14,Organic,Rain-fed,No,16,0,8,12,22,0,18,0,0,0,21,4,256,176,392,330,176,176,0,0,0,256,323,238,101
F007,Michael Stewart,Taita-Taveta Ward 5,"-0.497254, 39.879368",2020-09-29,Conventional,Rain-fed,Yes,0,22,32,8,0,2,17,0,23,0,13,3,1652,1032,1460,68,42,96,644,943,966,273,303,326,120
F008,Erin Sutton,Taita-Taveta Ward 8,"1.313792, 35.120658",2024-11-05,Organic,Irrigated,No,71,0,35,0,0,1,28,37,0,0,0,17,1120,875,980,46,41,41,222,555,444,799,544,459,189
F009,Lisa Paul,Taita-Taveta Ward 10,"2.10037, 41.202034",2024-11-24,Organic,Rain-fed,Yes,9,2,2,25,0,6,24,29,0,9,0,14,92,90,108,138,204,174,145,145,290,616,280,420,120
F010,Maria Miller,Taita-Taveta Ward 8,"-2.71728, 41.089325",2023-12-21,Organic,Irrigated,Yes,71,26,15,42,0,0,20,25,0,0,0,0,612,680,732,0,0,0,300,125,300,0,0,0,199
