Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Mrs. Megan Hill DDS,Tana River Ward 6,"3.635269, 41.253589",2020-06-03,Conventional,Rain-fed,No,0,2,76,1,12,0,34,1,33,8,16,0,1548,1696,3678,60,120,156,1263,1494,1493,160,96,80,183
F002,Emma Hawkins,Tana River Ward 1,"-2.371263, 35.211513",2021-08-15,Conventional,Irrigated,No,40,19,41,0,3,17,16,0,0,0,0,0,1817,1997,2164,868,599,467,0,0,0,0,0,0,136
F003,David Williams,Tana River Ward 9,"3.256461, 35.708732",2021-09-19,Conventional,Irrigated,Yes,14,54,41,17,2,9,0,3,15,0,4,0,1647,1852,1550,426,365,351,726,540,375,36,56,40,159
F004,Christopher Bates,Tana River Ward 11,"-1.995042, 40.097207",2022-06-14,Conventional,Rain-fed,No,24,12,3,4,0,15,5,3,14,0,0,0,240,216,264,750,360,450,631,585,333,0,0,0,80
F005,Alexander Smith,Tana River Ward 7,"3.211507, 38.618684",2025-12-21,Organic,Rain-fed,No,8,0,49,53,0,54,32,3,37,0,0,0,1470,1813,1274,1998,1134,2160,1174,1328,1464,0,0,0,236
F006,James Mclean,Tana River Ward 8,"-0.322454, 35.00141",2020-10-25,Organic,Irrigated,No,25,20,67,0,42,26,0,15,41,0,0,0,3322,2049,1574,1170,1016,1564,2092,1298,1894,0,0,0,236
F007,Jeffrey Meyers,Tana River Ward 7,"3.344621, 40.583951",2020-10-03,Conventional,Rain-fed,Yes,16,24,1,0,9,0,5,20,20,0,0,0,260,141,337,72,45,117,740,1080,1080,0,0,0,95
F008,Christine Sparks,Tana River Ward 2,"2.316633, 40.958164",2025-02-13,Conventional,Rain-fed,No,30,33,49,23,12,8,0,31,0,0,0,0,2093,1963,1227,488,360,336,372,279,403,0,0,0,186
F009,Chelsea Johnson,Tana River Ward 10,"0.625304, 40.414411",2022-07-20,Organic,Rain-fed,No,0,18,17,4,2,10,2,15,0,2,1,0,893,911,583,414,466,292,165,135,75,12,8,12,71
F010,Craig Mckee,Tana River Ward 3,"3.061473, 37.12787",2024-03-12,Organic,Rain-fed,No,1,36,1,11,16,8,17,6,0,0,10,0,581,589,586,328,496,624,84,42,90,60,90,120,106
F011,Ryan Martinez,Tana River Ward 6,"2.511295, 34.867818",2020-04-30,Conventional,Rain-fed,No,4,8,6,10,5,11,7,0,4,0,0,0,280,332,336,587,377,410,164,172,88,0,0,0,55
F012,Sharon Roberts,Tana River Ward 9,"2.897887, 34.718516",2025-06-25,Organic,Irrigated,No,5,7,33,53,0,0,20,50,50,0,0,0,1619,1006,1586,0,0,0,2050,2300,2650,0,0,0,218
F013,Deborah Daniels,Tana River Ward 2,"2.938484, 36.937527",2024-05-28,Conventional,Irrigated,Yes,0,48,75,0,0,53,28,35,0,0,0,0,1938,2409,3759,1060,1378,1749,525,315,385,0,0,0,239
F014,David Mckee,Tana River Ward 6,"1.142445, 35.764451",2021-10-24,Organic,Irrigated,Yes,6,20,76,25,0,0,15,33,38,0,0,0,2020,2304,2788,0,0,0,1827,2159,1711,0,0,0,213
F015,John Coleman,Tana River Ward 11,"1.179781, 34.459073",2020-10-17,Organic,Irrigated,Yes,11,13,23,0,0,0,6,12,0,0,0,0,685,1083,791,0,0,0,96,96,168,0,0,0,65
F016,Jennifer Davis,Tana River Ward 11,"2.541023, 39.509343",2021-09-27,Conventional,Irrigated,Yes,33,0,76,0,0,20,36,8,6,0,0,0,2736,1672,2356,960,640,860,238,420,216,0,0,0,179
F017,Matthew Johnson,Tana River Ward 1,"0.262444, 36.030148",2023-10-12,Organic,Irrigated,Yes,0,12,47,33,11,16,0,0,11,0,0,9,2082,1564,1519,531,911,627,308,484,286,405,234,261,139
F018,Linda Mclean,Tana River Ward 2,"-2.050318, 40.325436",2023-11-27,Organic,Rain-fed,Yes,13,0,0,6,0,8,19,0,14,7,2,2,0,0,0,288,280,328,420,378,658,130,58,104,71
F019,Sean Andrews,Tana River Ward 1,"-2.585953, 40.53855",2020-12-08,Conventional,Rain-fed,Yes,56,0,38,12,0,20,18,14,26,0,0,0,1900,1406,874,1000,900,460,1130,1416,1230,0,0,0,184
F020,Alexandria Scott,Tana River Ward 11,"0.31379, 40.321896",2022-09-21,Conventional,Irrigated,Yes,2,41,0,6,2,6,6,13,6,0,11,1,410,246,492,204,246,214,251,457,281,174,153,146,94
F021,Mary Porter,Tana River Ward 12,"0.450548, 39.481768",2021-06-30,Organic,Irrigated,Yes,0,29,46,0,13,2,13,0,9,0,0,0,1721,1423,2384,160,244,141,378,423,288,0,0,0,112
