Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Anthony Duncan,Tharaka-Nithi Ward 7,"1.746621, 35.041766",2020-08-23,Organic,Irrigated,Yes,31,0,27,17,0,0,15,1,1,8,0,0,756,1053,945,0,0,0,32,48,33,0,0,0,100
F002,Douglas Garrison,Tharaka-Nithi Ward 10,"2.676586, 41.667279",2022-04-22,Organic,Rain-fed,Yes,16,47,0,11,29,3,0,4,22,0,7,8,235,376,658,370,263,360,976,770,900,369,454,442,147
F003,Robert Johnson,Tharaka-Nithi Ward 2,"-0.014054, 34.697203",2025-12-26,Organic,Irrigated,Yes,49,0,7,27,4,14,29,0,9,0,0,0,343,224,245,602,514,346,450,288,405,0,0,0,139
F004,Lisa Gallegos,Tharaka-Nithi Ward 8,"0.822606, 34.74915",2023-10-10,Conventional,Irrigated,No,7,14,22,0,16,0,19,0,0,0,0,0,680,1050,1058,208,192,80,0,0,0,0,0,0,78
F005,Misty Carson,Tharaka-Nithi Ward 9,"0.095281, 40.766966",2024-02-17,Organic,Irrigated,No,66,21,0,28,0,29,2,7,0,8,1,0,126,315,105,1421,1102,667,84,91,98,12,10,14,162
F006,Timothy Morales,Tharaka-Nithi Ward 8,"-2.004827, 36.96739",2021-04-22,Organic,Irrigated,No,42,0,4,8,23,0,9,19,11,15,0,0,148,180,188,138,138,345,569,706,580,0,0,0,131
F007,Whitney Ochoa,Tharaka-Nithi Ward 5,"-1.995839, 34.437131",2021-01-08,Conventional,Irrigated,No,100,0,12,10,0,25,14,29,26,6,21,0,576,300,540,1225,950,1200,1006,1628,1142,189,189,105,243
F008,Laura Raymond,Tharaka-Nithi Ward 6,"-2.785608, 38.53962",2025-10-13,Conventional,Irrigated,Yes,26,6,9,17,3,0,8,2,0,0,0,0,375,531,300,27,39,45,28,10,12,0,0,0,71
F009,Gregory Garcia,Tharaka-Nithi Ward 1,"-1.295773, 39.310339",2024-11-25,Conventional,Irrigated,No,4,1,13,14,4,0,14,21,16,2,4,6,348,412,398,56,52,48,614,615,977,236,158,240,99
F010,Anna Webster,Tharaka-Nithi Ward 3,"3.146663, 35.445704",2020-01-16,Conventional,Rain-fed,Yes,0,68,10,16,30,10,36,11,9,0,0,22,766,590,1184,540,770,620,577,393,445,1012,682,440,212
