Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Bruce Peters,Trans Nzoia Ward 12,"-2.2725, 39.715566",2025-02-18,Conventional,Irrigated,No,21,31,23,0,14,0,15,0,0,5,0,0,1282,824,938,182,210,154,0,0,0,0,0,0,109
F002,Robin Hansen,Trans Nzoia Ward 5,"-3.670234, 41.69673",2023-01-08,Conventional,Irrigated,Yes,40,1,0,19,0,19,16,0,3,7,17,9,10,14,12,931,779,513,78,147,111,418,444,300,131
F003,David Wallace,Trans Nzoia Ward 2,"-3.631466, 40.426426",2024-11-01,Conventional,Irrigated,No,6,7,18,12,0,9,0,0,3,0,0,0,609,902,872,225,378,387,78,129,147,0,0,0,55
F004,Ashley Sanford,Trans Nzoia Ward 7,"-0.628192, 34.591119",2025-09-30,Organic,Irrigated,No,0,55,12,12,18,0,0,6,17,0,0,0,881,826,637,216,144,162,922,764,886,0,0,0,120
F005,Caleb Chase,Trans Nzoia Ward 9,"3.49535, 41.80483",2021-10-23,Organic,Irrigated,No,13,3,37,17,12,0,0,14,0,0,0,0,1599,1892,1347,84,108,108,126,210,154,0,0,0,96
F006,Franklin Parker,Trans Nzoia Ward 4,"-3.843188, 40.323564",2020-10-22,Organic,Irrigated,Yes,9,6,0,4,0,0,13,0,0,8,8,5,66,42,90,0,0,0,0,0,0,235,280,210,53
F007,Jose Fuller,Trans Nzoia Ward 4,"-0.575965, 35.847638",2023-11-09,Organic,Irrigated,Yes,33,40,37,14,3,9,3,0,4,0,10,0,1331,1482,1883,348,258,315,84,120,80,130,150,120,153
F008,Amy Morgan,Trans Nzoia Ward 1,"1.327941, 38.02298",2023-05-29,Organic,Irrigated,Yes,37,22,32,20,7,0,0,0,0,0,13,5,1064,1038,1428,56,91,56,0,0,0,394,301,341,136
F009,Kristy Wolfe,Trans Nzoia Ward 10,"0.465249, 40.757496",2020-09-28,Organic,Rain-fed,Yes,30,61,68,0,23,25,0,29,4,6,0,0,3363,3494,2969,911,1428,1549,517,289,301,0,0,0,246
F010,Henry Nguyen,Trans Nzoia Ward 8,"-2.626449, 39.02265",2024-04-27,Organic,Irrigated,Yes,33,13,34,0,7,15,1,0,17,0,0,0,1715,1728,805,371,610,520,340,476,425,0,0,0,120
F011,Aaron Taylor,Trans Nzoia Ward 8,"3.662839, 37.308814",2022-04-18,Conventional,Irrigated,Yes,0,47,0,53,0,41,36,5,0,0,2,25,611,705,470,1025,861,1066,35,45,35,1085,753,949,209
F012,Mary Campbell,Trans Nzoia Ward 4,"-1.05391, 38.376989",2021-08-07,Conventional,Rain-fed,Yes,68,14,73,0,0,0,0,42,11,0,0,0,3220,2198,2608,0,0,0,569,907,781,0,0,0,208
F013,Dennis King,Trans Nzoia Ward 10,"-0.53635, 37.689775",2025-09-19,Organic,Rain-fed,Yes,0,45,0,11,0,3,20,5,28,4,27,0,495,630,630,141,81,78,732,1318,798,405,189,405,143
F014,Justin Stevens,Trans Nzoia Ward 1,"1.685254, 36.091526",2022-08-08,Conventional,Rain-fed,Yes,42,75,0,0,0,25,0,0,21,16,10,3,1050,525,450,675,575,1000,693,819,546,164,157,172,192
F015,Debbie Walls,Trans Nzoia Ward 10,"4.233454, 34.355522",2022-08-03,Organic,Rain-fed,Yes,39,20,55,18,12,0,18,16,0,0,0,0,2610,2590,1390,120,132,96,112,128,144,0,0,0,178
F016,Elizabeth Li,Trans Nzoia Ward 8,"-0.306961, 34.557093",2025-12-13,Conventional,Rain-fed,Yes,45,51,17,28,10,9,34,0,37,0,0,0,1598,952,1496,461,560,408,1739,1369,1036,0,0,0,231
F017,Blake Lin,Trans Nzoia Ward 10,"-0.66231, 39.164629",2023-12-20,Conventional,Irrigated,Yes,12,30,53,11,11,24,29,2,8,0,0,0,2194,1701,2224,734,592,900,370,332,186,0,0,0,180
F018,Joyce Parker,Trans Nzoia Ward 1,"-0.861033, 35.568838",2020-03-22,Conventional,Rain-fed,No,5,29,44,31,1,43,0,31,34,0,0,0,2122,1888,1273,1124,954,1517,1685,1757,1333,0,0,0,218
F019,Lori Garcia,Trans Nzoia Ward 9,"-2.658095, 39.932002",2024-05-06,Organic,Rain-fed,No,20,17,42,50,9,7,22,11,19,0,0,0,1430,1740,1320,277,263,373,835,951,528,0,0,0,197
F020,Ms. Lauren Hammond,Trans Nzoia Ward 7,"-0.972602, 37.365407",2025-06-27,Organic,Rain-fed,Yes,59,0,0,20,34,39,31,37,0,0,0,0,0,0,0,1252,1510,1091,296,259,407,0,0,0,220
F021,Vincent Kelly,Trans Nzoia Ward 6,"1.935424, 36.394963",2023-03-03,Organic,Rain-fed,No,3,7,11,7,11,11,0,0,0,12,6,0,354,345,600,495,506,473,0,0,0,72,72,48,68
F022,Dale Taylor,Trans Nzoia Ward 6,"0.778732, 37.905272",2022-12-22,Conventional,Rain-fed,Yes,25,18,45,7,10,25,20,22,27,0,0,0,1638,1233,1503,1095,1250,1155,851,961,1278,0,0,0,199
F023,Brandy Chen,Trans Nzoia Ward 1,"-2.755994, 36.130191",2021-07-25,Conventional,Rain-fed,No,14,8,45,16,10,19,8,24,2,0,0,0,1173,1938,2002,518,574,649,306,246,444,0,0,0,146
F024,Donald Edwards,Trans Nzoia Ward 3,"-2.762706, 34.73327",2020-03-25,Conventional,Rain-fed,Yes,17,5,12,6,0,9,4,20,0,0,16,17,538,549,481,306,261,207,140,220,200,835,500,1023,106
F025,Mary Summers,Trans Nzoia Ward 2,"-2.226863, 34.244377",2022-04-10,Organic,Irrigated,No,40,23,7,0,0,0,32,17,14,0,0,0,308,427,485,0,0,0,699,840,730,0,0,0,133
F026,Dwayne Martinez,Trans Nzoia Ward 9,"1.51322, 40.236392",2023-09-19,Organic,Rain-fed,Yes,17,71,79,0,0,6,16,0,21,0,22,5,3191,3183,2409,234,120,276,945,1029,525,466,396,363,237
F027,Kevin Kelley,Trans Nzoia Ward 3,"-2.98196, 38.868898",2020-02-05,Conventional,Rain-fed,No,2,8,4,16,18,4,27,33,34,1,38,0,264,240,296,266,278,316,1692,1213,1892,570,266,266,185
F028,Jessica Ruiz,Trans Nzoia Ward 8,"2.836055, 38.786091",2022-01-04,Conventional,Rain-fed,Yes,54,7,34,4,4,17,0,10,16,0,0,1,1266,1403,1159,780,579,597,518,780,518,20,26,49,147
F029,Jason Daniels,Trans Nzoia Ward 5,"3.562625, 40.383231",2022-08-04,Organic,Irrigated,No,28,58,28,18,0,15,1,15,0,0,0,0,1052,1356,1134,750,480,525,195,150,90,0,0,0,163
F030,Todd Edwards,Trans Nzoia Ward 4,"3.874365, 41.012866",2022-01-05,Conventional,Rain-fed,Yes,18,3,23,42,19,27,3,46,16,0,0,0,778,875,824,889,1008,1221,1226,884,806,0,0,0,197
F031,Anthony Gonzales,Trans Nzoia Ward 2,"-0.395043, 34.787931",2020-07-07,Conventional,Irrigated,No,38,12,50,0,13,0,12,0,8,9,0,12,2020,2032,1808,156,169,104,376,216,192,468,312,372,154
F032,Mary Lopez,Trans Nzoia Ward 11,"-1.612751, 34.455952",2023-06-25,Conventional,Rain-fed,Yes,1,21,0,1,7,1,7,8,0,0,3,1,168,315,168,123,116,133,104,96,40,71,58,66,50
F033,Ann Johnson,Trans Nzoia Ward 9,"-0.319372, 36.280373",2024-07-23,Organic,Irrigated,Yes,8,45,7,19,0,16,21,14,0,0,0,0,869,449,844,672,608,432,112,154,126,0,0,0,130
F034,Lori Thomas,Trans Nzoia Ward 10,"-1.590011, 39.267778",2021-06-26,Conventional,Rain-fed,Yes,38,44,29,15,0,0,18,0,10,0,16,0,1585,1717,1628,0,0,0,420,460,260,176,160,144,170
F035,Andrew Ford,Trans Nzoia Ward 10,"3.334412, 41.815702",2023-05-09,Organic,Rain-fed,Yes,0,18,82,0,0,58,10,52,0,0,0,0,2576,1848,2512,1160,2726,2784,468,416,728,0,0,0,220
F036,Rhonda Atkins,Trans Nzoia Ward 4,"4.354979, 35.417604",2025-04-19,Conventional,Rain-fed,No,8,9,61,13,6,48,46,38,0,0,0,0,2164,2487,1886,1050,1584,2436,190,418,570,0,0,0,229
F037,Allen Weber,Trans Nzoia Ward 10,"-3.461771, 40.830458",2025-12-27,Conventional,Rain-fed,Yes,36,0,17,2,4,17,24,2,3,0,2,20,612,850,748,665,465,810,114,89,124,970,838,614,127
F038,Patricia Miller,Trans Nzoia Ward 1,"2.404645, 35.236655",2021-05-28,Organic,Rain-fed,No,14,1,2,0,0,0,9,13,0,6,9,4,97,62,105,0,0,0,156,91,130,286,206,217,58
F039,Jill Ryan,Trans Nzoia Ward 7,"-3.82489, 41.257421",2023-04-01,Organic,Rain-fed,No,47,0,42,13,14,0,0,23,18,0,0,0,1134,1680,1092,196,168,112,1117,891,930,0,0,0,157
F040,Matthew Hutchinson,Trans Nzoia Ward 2,"3.960396, 39.342608",2020-01-21,Organic,Irrigated,Yes,56,6,6,6,6,0,32,6,0,0,17,0,306,330,342,36,42,42,60,30,72,238,136,187,135
F041,Keith Ferguson DDS,Trans Nzoia Ward 6,"3.33915, 37.035107",2024-11-14,Organic,Irrigated,Yes,12,2,16,0,1,2,9,9,4,0,0,0,450,392,442,79,61,91,240,190,217,0,0,0,55
F042,Terry Haas,Trans Nzoia Ward 11,"-1.608499, 37.289564",2023-02-28,Conventional,Rain-fed,No,12,11,18,3,0,14,0,0,0,0,0,0,687,633,542,588,672,378,0,0,0,0,0,0,58
F043,Heidi Castro,Trans Nzoia Ward 1,"4.257323, 37.014552",2023-01-15,Organic,Rain-fed,Yes,30,5,31,0,3,15,0,0,6,0,5,0,1377,938,1517,378,336,750,288,120,300,25,50,35,95
F044,Albert Owens,Trans Nzoia Ward 2,"-2.408375, 38.159129",2024-04-18,Conventional,Rain-fed,No,0,77,0,0,44,39,36,0,3,0,0,0,1078,385,1078,2346,1327,2278,66,150,66,0,0,0,199
F045,Donald King MD,Trans Nzoia Ward 4,"4.285863, 36.824571",2020-07-08,Conventional,Irrigated,No,13,2,3,12,3,0,3,14,11,0,9,0,101,79,78,36,18,45,374,604,590,126,108,90,70
F046,Angela Fowler,Trans Nzoia Ward 5,"-1.380941, 39.346151",2025-06-01,Organic,Irrigated,Yes,48,64,0,12,33,0,0,7,9,0,0,0,576,384,640,396,198,198,301,332,368,0,0,0,173
F047,Ryan Nguyen,Trans Nzoia Ward 11,"1.01102, 41.830841",2024-01-05,Conventional,Rain-fed,Yes,72,15,10,38,1,19,5,37,37,0,0,0,475,380,325,622,713,920,1443,1480,2072,0,0,0,234
F048,Phillip Woodard,Trans Nzoia Ward 4,"-2.939811, 37.552171",2022-04-22,Organic,Rain-fed,Yes,25,9,0,0,23,9,4,19,1,0,0,0,72,126,54,740,651,583,311,122,234,0,0,0,90
F049,Joshua Hays,Trans Nzoia Ward 3,"-2.221921, 40.553034",2024-03-27,Organic,Rain-fed,Yes,37,0,97,35,0,30,0,24,5,0,0,0,2037,3201,2328,1260,1440,1350,537,297,436,0,0,0,228
F050,Stephen Oneill,Trans Nzoia Ward 2,"3.323726, 38.429549",2024-03-06,Conventional,Rain-fed,No,64,29,0,9,0,0,0,40,25,0,5,3,377,232,290,0,0,0,1275,1100,1470,134,185,159,175
