Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Courtney Cervantes,Turkana Ward 2,"-3.755369, 37.524665",2021-07-21,Organic,Rain-fed,Yes,57,0,34,0,23,6,22,21,3,0,0,0,1462,986,816,369,535,335,222,225,372,0,0,0,166
F002,Kevin Terry,Turkana Ward 7,"3.877898, 38.013246",2021-09-12,Conventional,Rain-fed,No,0,27,1,22,17,6,1,10,1,7,21,0,400,334,230,223,217,392,158,117,145,147,252,273,113
F003,Rodney Acosta,Turkana Ward 7,"4.342509, 40.706663",2025-07-03,Organic,Irrigated,Yes,45,30,27,2,14,22,1,0,28,1,3,0,1269,1743,1323,898,566,996,1204,1148,1344,45,30,42,173
F004,Katherine Delacruz,Turkana Ward 3,"3.388693, 34.081124",2021-01-04,Organic,Rain-fed,No,1,42,2,3,7,59,36,47,0,0,0,0,568,436,314,2756,1833,1982,470,423,611,0,0,0,197
F005,Tina Palmer,Turkana Ward 1,"-1.223689, 39.044675",2022-06-15,Conventional,Rain-fed,No,16,11,7,7,6,3,7,0,6,13,0,0,340,357,213,120,108,144,276,138,150,0,0,0,76
F006,Natasha Long,Turkana Ward 5,"-1.450793, 39.862161",2020-09-04,Organic,Rain-fed,No,22,29,3,0,0,0,2,10,0,0,0,0,467,585,279,0,0,0,150,60,70,0,0,0,66
F007,Debbie Stone,Turkana Ward 7,"-0.04346, 36.816904",2022-12-09,Conventional,Rain-fed,No,12,0,23,9,0,3,10,22,17,4,0,15,897,552,529,84,78,111,961,637,942,405,480,450,115
F008,Chelsea Smith,Turkana Ward 2,"2.068781, 37.620725",2020-10-16,Organic,Rain-fed,Yes,16,10,38,4,0,12,22,20,45,0,0,0,1542,1106,1546,528,540,552,1000,2015,1540,0,0,0,167
F009,Michele Willis MD,Turkana Ward 7,"-2.204829, 39.967446",2022-11-18,Organic,Irrigated,Yes,7,11,20,3,5,0,0,0,4,0,0,0,623,1121,975,75,75,70,88,136,124,0,0,0,50
F010,Heidi Rush,Turkana Ward 2,"-1.308181, 36.534299",2023-04-14,Conventional,Irrigated,No,29,29,49,12,31,8,0,0,8,0,0,0,1350,2105,1693,756,543,507,272,336,280,0,0,0,166
F011,John Richards,Turkana Ward 10,"3.901786, 41.711878",2021-05-04,Organic,Rain-fed,No,8,2,10,11,17,0,3,12,5,0,0,0,288,374,230,204,170,204,250,241,329,0,0,0,68
F012,Kimberly Lin,Turkana Ward 2,"-4.38117, 38.909084",2024-11-06,Conventional,Rain-fed,No,39,10,2,9,12,0,27,10,0,0,6,0,160,170,140,60,108,120,60,50,110,84,84,78,115
F013,Danielle Serrano,Turkana Ward 4,"-3.485441, 34.55309",2025-11-16,Organic,Rain-fed,Yes,47,27,0,8,1,3,3,11,27,0,0,0,324,243,135,146,113,147,1137,1346,1422,0,0,0,127
F014,Kristy Sanford,Turkana Ward 11,"0.713847, 37.005411",2020-02-23,Organic,Irrigated,Yes,33,21,3,9,0,9,0,17,31,5,0,0,240,312,429,414,324,207,1602,1103,1771,0,0,0,128
F015,Emily Carter,Turkana Ward 1,"3.041175, 35.27906",2023-01-14,Organic,Rain-fed,Yes,1,0,13,5,10,13,14,14,17,0,0,0,481,585,637,396,584,422,834,869,618,0,0,0,87
F016,Jeffrey Robinson,Turkana Ward 2,"2.788855, 34.433477",2020-04-05,Organic,Rain-fed,Yes,49,4,0,51,12,10,39,0,2,0,0,0,32,36,20,390,368,414,90,76,56,0,0,0,167
F017,Frank Warner,Turkana Ward 3,"1.666267, 39.93408",2020-06-24,Organic,Irrigated,Yes,14,27,22,7,3,1,1,0,0,0,0,0,891,1165,597,56,52,48,0,0,0,0,0,0,75
F018,April Gomez,Turkana Ward 1,"0.249823, 36.404894",2021-04-23,Organic,Irrigated,Yes,28,17,3,11,0,0,23,7,12,0,0,6,364,360,200,0,0,0,586,549,653,246,138,168,107
F019,Juan Burns,Turkana Ward 6,"-1.651419, 36.629459",2022-12-16,Conventional,Rain-fed,Yes,34,6,0,20,2,9,15,0,2,0,0,0,84,36,54,266,384,325,46,80,62,0,0,0,88
F020,Lance Watts,Turkana Ward 11,"3.668416, 38.40394",2021-09-06,Organic,Rain-fed,Yes,6,0,69,6,0,0,31,29,14,4,12,0,1932,1863,2622,0,0,0,640,935,1064,120,108,84,171
F021,Molly Stafford,Turkana Ward 8,"0.306682, 36.866972",2021-11-25,Conventional,Rain-fed,Yes,12,7,32,13,4,19,0,19,0,0,0,0,1062,1563,841,770,553,762,266,285,133,0,0,0,106
F022,Robert Burton,Turkana Ward 7,"-4.358589, 35.188718",2025-12-21,Conventional,Rain-fed,Yes,68,0,81,1,0,4,5,53,0,0,0,0,1863,3402,1782,156,108,120,689,689,583,0,0,0,212
F023,Randy Porter,Turkana Ward 5,"0.501678, 40.104805",2020-10-24,Organic,Rain-fed,No,11,39,63,0,50,38,25,0,24,0,0,0,2037,2778,1785,1744,1814,2234,984,984,984,0,0,0,250
F024,Erica Horne,Turkana Ward 10,"1.725718, 38.863221",2021-03-25,Organic,Irrigated,Yes,15,60,0,21,16,17,15,0,32,33,0,0,420,720,660,854,571,1007,1056,1088,1344,0,0,0,209
F025,Kristen Martinez,Turkana Ward 5,"-3.371318, 37.840901",2022-12-03,Conventional,Rain-fed,Yes,52,0,25,59,1,0,19,48,27,0,0,0,700,850,675,15,12,7,1332,1158,1686,0,0,0,231
F026,Dana Vaughn,Turkana Ward 6,"-2.364506, 39.657935",2021-09-17,Organic,Rain-fed,No,14,0,89,0,22,0,28,8,61,0,0,0,2581,2937,3738,132,176,242,2862,2435,2695,0,0,0,222
F027,Jimmy Jones DDS,Turkana Ward 4,"0.639728, 41.411419",2022-03-07,Conventional,Irrigated,No,33,10,12,0,6,3,0,2,19,0,0,0,534,630,454,102,123,159,700,508,818,0,0,0,85
F028,Tina Mcpherson,Turkana Ward 2,"2.716367, 36.747075",2022-12-05,Organic,Irrigated,No,22,4,32,8,4,11,0,6,22,0,0,0,988,916,1020,264,508,583,860,866,736,0,0,0,109
F029,Michael Myers,Turkana Ward 2,"-0.154362, 34.162486",2024-01-01,Conventional,Irrigated,No,71,7,53,0,0,0,27,37,38,0,0,0,2176,2052,2674,0,0,0,1590,2047,1666,0,0,0,233
F030,Christopher Jacobs,Turkana Ward 10,"-1.430226, 35.880328",2025-12-07,Organic,Irrigated,No,2,5,29,10,1,0,16,0,0,0,10,0,1496,683,1210,9,7,11,0,0,0,70,100,110,73
F031,Deborah Nelson,Turkana Ward 12,"1.592924, 37.762851",2020-01-04,Organic,Rain-fed,Yes,44,14,48,27,0,19,0,0,29,0,0,0,1058,2142,1814,494,703,703,667,783,1102,0,0,0,181
F032,Jessica Mcknight,Turkana Ward 8,"1.003721, 40.516785",2024-08-07,Conventional,Irrigated,No,0,87,75,0,0,0,14,28,0,16,1,19,4221,5055,2484,0,0,0,336,364,364,792,559,582,240
F033,Marissa Hart,Turkana Ward 9,"-1.584235, 39.876601",2024-07-27,Conventional,Rain-fed,No,88,6,23,1,12,18,15,55,4,0,0,0,756,607,548,744,786,798,521,540,722,0,0,0,222
F034,Troy Griffin,Turkana Ward 1,"-4.239654, 41.192192",2022-10-06,Conventional,Rain-fed,Yes,0,26,0,2,3,8,4,15,5,2,2,0,130,390,234,301,217,237,425,440,325,10,24,18,67
F035,Tiffany Robinson,Turkana Ward 2,"1.376058, 40.428569",2022-08-06,Organic,Irrigated,Yes,30,0,1,0,23,3,24,0,12,0,0,0,46,33,28,382,367,240,516,540,300,0,0,0,93
F036,Christian May,Turkana Ward 4,"-1.247364, 37.930612",2023-11-18,Conventional,Rain-fed,Yes,18,0,33,7,40,30,0,0,2,13,28,25,1485,1122,1188,1770,1910,1290,74,98,40,1274,858,917,196
F037,Travis Harris,Turkana Ward 2,"0.583221, 34.879776",2023-11-29,Organic,Rain-fed,Yes,0,61,24,9,32,16,6,34,0,0,0,12,1753,1454,1546,1056,1088,656,170,306,374,576,420,288,194
F038,Pamela Mcpherson,Turkana Ward 9,"-3.787981, 40.750348",2024-01-07,Conventional,Irrigated,No,0,21,41,11,7,8,5,35,15,0,0,0,1975,2118,2178,432,286,252,940,1015,1120,0,0,0,143
F039,Katelyn Bradley,Turkana Ward 7,"-1.644377, 38.209767",2020-12-10,Organic,Irrigated,Yes,0,29,75,32,31,0,34,1,0,0,4,10,3019,2373,3249,310,186,186,6,8,12,506,410,432,216
F040,Carl Hahn,Turkana Ward 1,"-1.296915, 40.375403",2024-05-03,Organic,Rain-fed,Yes,0,0,1,23,9,3,19,6,16,5,11,0,31,24,34,216,129,135,624,414,836,154,143,88,93
F041,Kyle Chan,Turkana Ward 10,"-3.897663, 40.441485",2021-07-14,Conventional,Irrigated,No,21,0,0,2,21,13,0,23,0,17,25,12,0,0,0,796,690,671,115,253,276,901,877,702,134
F042,Jenny Black,Turkana Ward 11,"1.183763, 37.792274",2024-04-11,Organic,Irrigated,No,69,72,0,2,19,12,15,3,8,0,0,0,792,360,648,668,449,636,194,352,274,0,0,0,200
F043,Donna Moore,Turkana Ward 8,"-3.724611, 38.818039",2023-07-21,Organic,Irrigated,Yes,16,4,7,4,12,1,4,0,3,0,0,0,331,382,244,143,120,103,81,93,84,0,0,0,51
F044,Arthur Fischer,Turkana Ward 1,"-0.606552, 35.09735",2024-11-08,Conventional,Rain-fed,Yes,43,84,0,16,6,30,0,0,2,0,32,31,672,1008,504,996,822,1488,68,80,92,1558,1035,1808,244
F045,Bryan Baker,Turkana Ward 5,"2.327607, 41.474191",2023-11-25,Organic,Rain-fed,No,1,19,32,10,9,6,4,0,3,0,0,0,1546,831,1170,354,309,237,75,150,138,0,0,0,84
F046,Jasmine Jones,Turkana Ward 3,"-0.740806, 34.152821",2021-10-13,Conventional,Rain-fed,Yes,57,32,69,11,1,40,0,0,0,0,0,0,3706,2003,2947,1972,1687,1933,0,0,0,0,0,0,210
