Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Anna Williams,Uasin Gishu Ward 3,"-2.985508, 38.24311",2025-12-14,Organic,Rain-fed,No,17,1,24,10,0,11,16,0,12,0,0,0,1160,1039,1013,462,506,484,276,396,540,0,0,0,91
F002,Ms. Michelle Juarez,Uasin Gishu Ward 4,"0.401717, 39.430148",2020-04-25,Organic,Irrigated,Yes,22,20,34,14,1,12,0,0,10,20,0,9,1042,1064,1626,363,333,603,330,230,300,315,207,243,142
F003,Andrew Jones,Uasin Gishu Ward 12,"3.047391, 39.74626",2024-07-31,Organic,Irrigated,Yes,21,0,31,8,11,22,0,0,6,0,0,0,1271,1209,1178,1232,858,550,138,192,174,0,0,0,99
F004,Joshua Phillips,Uasin Gishu Ward 6,"-0.21498, 34.483817",2020-01-20,Conventional,Rain-fed,Yes,16,0,20,8,36,44,30,46,26,0,0,0,400,480,760,1728,2128,2156,1514,1470,1446,0,0,0,226
F005,Thomas Thomas,Uasin Gishu Ward 8,"3.869382, 41.873735",2023-10-21,Conventional,Irrigated,No,2,33,9,4,9,0,3,12,17,0,0,0,507,465,690,81,99,54,638,877,933,0,0,0,89
F006,Matthew Hawkins,Uasin Gishu Ward 1,"-2.604481, 41.540894",2025-04-25,Conventional,Rain-fed,No,2,14,0,2,2,0,14,0,8,10,3,12,112,112,182,12,28,18,344,184,176,444,453,603,67
F007,Thomas Sanchez,Uasin Gishu Ward 5,"-2.881581, 34.452625",2022-10-18,Organic,Rain-fed,No,16,64,63,8,14,0,0,7,0,13,0,0,2660,2342,3291,210,210,168,63,63,35,0,0,0,185
F008,Monica Cruz,Uasin Gishu Ward 9,"2.830791, 37.993792",2024-09-18,Organic,Rain-fed,No,0,9,0,12,20,7,4,19,10,8,7,0,126,54,99,289,453,385,554,513,333,84,70,63,96
F009,Christopher Johnson,Uasin Gishu Ward 4,"-3.43, 37.530426",2025-06-15,Organic,Irrigated,Yes,0,42,1,8,25,11,11,10,3,0,0,0,611,322,651,431,439,445,143,223,183,0,0,0,111
F010,Jeremiah Jenkins,Uasin Gishu Ward 6,"-1.42602, 34.21584",2022-12-01,Organic,Rain-fed,No,7,29,9,10,11,19,0,0,25,22,0,0,325,586,567,492,1022,1003,725,625,600,0,0,0,132
