Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Robert Schneider,Vihiga Ward 8,"-4.3823, 41.324045",2024-01-27,Conventional,Rain-fed,No,0,10,2,10,0,5,5,13,3,3,5,0,228,122,226,160,205,140,182,215,212,40,70,35,56
F002,James Mckinney,Vihiga Ward 3,"-1.397752, 36.666221",2021-11-13,Organic,Irrigated,No,13,25,15,30,9,0,32,0,13,0,0,0,770,980,705,63,54,45,312,299,442,0,0,0,137
F003,Elizabeth Flowers,Vihiga Ward 5,"2.7084, 38.147604",2025-11-10,Organic,Irrigated,Yes,28,32,28,20,11,13,13,25,0,19,0,0,752,1348,1404,480,634,645,275,200,325,0,0,0,189
F004,Geoffrey Chavez,Vihiga Ward 6,"2.121224, 38.378096",2025-01-19,Conventional,Rain-fed,No,0,4,17,0,10,19,3,17,18,0,0,0,570,643,631,1001,841,603,692,1101,548,0,0,0,88
F005,Adam Johnson,Vihiga Ward 2,"-1.27821, 41.890382",2023-04-24,Organic,Irrigated,No,35,7,28,0,0,14,10,34,6,0,0,0,1337,1141,1393,700,308,560,522,588,644,0,0,0,134
F006,Terri Flowers,Vihiga Ward 7,"0.949367, 37.651553",2023-05-15,Conventional,Rain-fed,No,47,0,12,40,53,21,7,0,17,0,0,0,552,324,492,1274,854,1635,833,697,850,0,0,0,197
F007,Jason Hicks,Vihiga Ward 3,"-3.76056, 36.505193",2020-12-14,Conventional,Irrigated,No,27,56,0,9,37,3,12,0,12,1,9,7,840,728,392,500,628,465,300,564,324,341,266,429,173
F008,Phillip Frazier,Vihiga Ward 12,"3.572666, 34.409396",2023-10-17,Conventional,Rain-fed,Yes,11,30,18,10,11,0,0,0,15,0,0,0,1266,852,984,66,132,165,540,420,600,0,0,0,95
F009,David Camacho,Vihiga Ward 9,"1.545466, 39.50801",2022-09-27,Organic,Irrigated,No,18,20,40,52,0,11,32,11,31,0,0,0,1060,1660,1460,528,418,275,909,1496,1237,0,0,0,215
F010,Molly Simmons,Vihiga Ward 2,"3.627919, 40.643228",2025-05-28,Organic,Irrigated,Yes,0,42,28,0,37,16,0,43,36,3,0,24,1316,1568,966,638,930,744,1770,2193,1424,696,648,1032,229
F011,Patricia Bass,Vihiga Ward 2,"1.093979, 40.83037",2024-09-29,Organic,Irrigated,Yes,19,12,10,5,6,0,10,24,24,0,0,0,544,356,512,84,72,72,744,912,960,0,0,0,110
F012,Jason Brown,Vihiga Ward 6,"1.164154, 34.812449",2024-01-27,Conventional,Irrigated,No,59,26,2,0,18,19,4,0,30,0,0,0,350,302,252,1014,1039,527,1320,1260,1290,0,0,0,158
F013,Christina Baker,Vihiga Ward 11,"-3.209804, 37.162674",2023-07-11,Organic,Rain-fed,Yes,38,42,29,12,32,7,0,0,8,0,0,0,1925,1425,1728,476,374,476,264,368,400,0,0,0,168
F014,Joe Watson,Vihiga Ward 11,"0.448488, 34.826789",2023-09-01,Organic,Irrigated,Yes,26,0,56,24,1,0,6,28,0,0,0,0,2128,1680,2408,12,12,9,392,392,168,0,0,0,141
F015,Michael Williams,Vihiga Ward 2,"-1.870432, 37.726884",2025-06-16,Organic,Irrigated,No,0,0,74,5,0,11,0,35,37,0,20,24,2516,1628,3552,275,396,396,1532,1454,1542,1012,684,1284,206
F016,Scott Nunez,Vihiga Ward 5,"3.395995, 36.988929",2021-08-07,Conventional,Irrigated,Yes,0,62,87,0,28,0,32,0,35,0,0,0,4845,2447,3503,196,280,140,1470,805,875,0,0,0,244
F017,Matthew Melendez,Vihiga Ward 2,"1.20325, 39.207855",2021-02-18,Organic,Rain-fed,No,1,5,25,1,8,34,5,41,6,0,0,0,705,725,1135,1090,1128,1804,659,795,849,0,0,0,126
