Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,Daniel Simmons PhD,Wajir Ward 10,"-2.696095, 39.7242",2024-03-13,Organic,Irrigated,No,32,12,80,0,0,0,35,5,29,0,0,0,2624,2484,1744,0,0,0,625,1466,1398,0,0,0,193
F002,Michael Thomas,Wajir Ward 12,"-1.503001, 40.25324",2024-10-05,Conventional,Rain-fed,No,4,0,72,19,35,36,4,0,11,31,0,0,3168,3168,2304,1504,1291,1577,330,451,231,0,0,0,212
F003,Kristina Lewis MD,Wajir Ward 1,"-2.21918, 35.327453",2024-12-21,Organic,Irrigated,No,29,73,0,0,23,31,14,20,48,0,0,0,365,1022,803,1098,1160,997,2392,2632,2024,0,0,0,238
F004,Richard Leonard,Wajir Ward 11,"-3.845333, 41.750105",2024-07-10,Organic,Irrigated,No,0,69,28,0,24,19,20,8,12,0,0,0,2088,1618,1474,792,763,937,468,560,648,0,0,0,180
F005,Dawn May PhD,Wajir Ward 4,"-0.836855, 34.142446",2022-02-10,Organic,Irrigated,No,5,25,35,0,22,0,33,3,18,0,0,0,935,1495,1700,286,308,220,861,771,918,0,0,0,141
F006,Karla Smith,Wajir Ward 6,"-2.87145, 34.040457",2024-09-20,Conventional,Rain-fed,No,20,24,4,6,18,13,21,0,15,0,0,0,408,288,480,479,762,740,585,690,315,0,0,0,121
F007,Robert Coleman,Wajir Ward 12,"0.553249, 40.346705",2020-11-15,Conventional,Rain-fed,Yes,0,43,78,0,5,16,36,2,44,0,0,0,2243,4389,2283,423,510,534,1830,1302,2214,0,0,0,224
F008,Michael Smith,Wajir Ward 12,"-4.032031, 39.170725",2021-12-13,Organic,Rain-fed,Yes,0,34,37,0,22,17,18,0,0,0,0,0,2113,1012,1752,677,518,739,0,0,0,0,0,0,128
F009,Ryan White,Wajir Ward 3,"-0.829384, 36.438804",2023-02-10,Organic,Rain-fed,No,63,0,12,17,10,1,0,21,9,43,28,0,348,396,324,175,113,99,579,420,399,308,224,420,204
F010,Brian Leonard,Wajir Ward 2,"0.783549, 36.891209",2024-09-29,Conventional,Irrigated,Yes,9,86,76,0,1,55,0,5,0,0,0,12,2522,4128,2512,2761,2265,2373,70,70,55,552,252,492,244
