Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees
F001,James Wong,West Pokot Ward 5,"0.325275, 36.667189",2024-04-20,Conventional,Rain-fed,Yes,16,7,3,2,12,11,1,12,6,0,0,0,234,221,174,473,382,417,366,408,396,0,0,0,70
F002,Erin Marquez,West Pokot Ward 6,"3.514575, 39.204724",2022-03-29,Organic,Rain-fed,No,27,17,56,0,0,21,17,0,11,32,24,0,1475,2057,2052,756,777,567,242,374,462,360,216,192,205
F003,Nicole Anderson,West Pokot Ward 9,"-0.453877, 34.143028",2025-09-03,Organic,Irrigated,No,0,90,40,0,31,16,27,15,2,0,0,0,2900,2250,2530,745,1015,694,202,253,281,0,0,0,221
F004,Sarah Jackson,West Pokot Ward 2,"-2.02541, 34.125309",2022-11-25,Conventional,Irrigated,No,46,1,5,11,13,0,25,0,7,0,0,0,184,239,245,156,117,130,154,147,301,0,0,0,108
F005,Danielle Erickson,West Pokot Ward 11,"-1.907892, 38.234871",2023-11-27,Conventional,Irrigated,Yes,35,45,0,7,20,7,0,11,11,0,0,0,630,450,405,610,523,405,462,374,594,0,0,0,136
F006,Mary Green,West Pokot Ward 5,"-2.98166, 37.85439",2022-09-08,Conventional,Rain-fed,No,9,8,17,7,5,0,2,14,0,0,0,0,617,607,582,65,35,35,196,154,70,0,0,0,62
F007,Jeffrey Fischer,West Pokot Ward 12,"3.042839, 38.677779",2024-09-11,Conventional,Rain-fed,No,66,76,14,10,26,0,0,0,39,0,0,0,826,702,1030,234,182,286,1755,1287,1560,0,0,0,231
F008,Shannon Moore,West Pokot Ward 11,"-3.852766, 40.005419",2025-10-30,Conventional,Rain-fed,Yes,63,22,33,7,0,8,30,26,9,0,0,0,1749,1320,1859,296,264,176,805,688,657,0,0,0,198
F009,Karen Adkins,West Pokot Ward 5,"2.032225, 39.077049",2024-11-21,Organic,Rain-fed,Yes,19,15,0,0,6,3,6,3,0,1,0,0,75,105,225,174,168,177,45,18,24,0,0,0,53
F010,Robert Trujillo,West Pokot Ward 3,"-3.126906, 40.887472",2025-10-20,Conventional,Irrigated,No,14,8,17,6,4,0,1,4,0,0,1,1,897,596,438,56,28,40,56,20,20,37,43,48,56
